1-1|Een [ @alt verlate verlaten ] post
121-1|" In jouw [ @alt ogen oogen ] , maar in de [ @alt ~mijn~mijne mijne ] niet , " lachte zij vriendelijk , bevreesd hem uit zijn humeur te maken .
121-2|" Overigens nogal fortuin .
121-3|Ik reken op je hulp , Huug ... .
121-4|Maar scheelt er wat aan ? " vroeg zij , op eens het gesprek op hem zelf brengend .
121-5|" Ik vind dat je bleek ziet . "
122-1|" Ik ! " riep hij uit , als achtte hij zulk een veronderstelling van onwelzijn van een kloek man een [ @alt belediging beleediging ] .
122-2|" Maak je niet bezorgd , hoor !
122-3|... .
122-4|Neen , ik heb tegenwoordig het land , dat is het .
122-5|Ik verveel mij . "
123-1|" Waarom trouw je toch niet ? "
124-1|" Ja ... .
124-2|God !
124-3|... . maar met wie ? " riep hij uit , met een gebaar van wanhoop .
125-1|" Och kom , ieder wil je graag hebben , en er zijn toch meisjes genoeg ! "
126-1|" Geen naar mijn zin .
126-2|En als ik trouw , doe ik het magnifiek ... .
126-3|Voor de vrijwillige ballingschap moet ik ten minste ook vergoeding hebben , " wierp hij lachend tegen (
127-1|30 ) met [ @alt ~zijn~zijne zijne ] welluidende , klankrijke stem .
127-2|" Ik vind het ook werkelijk geen kwaad idée . "
128-1|Hij , van alles verzadigd en toch smachtend naar nieuwe emotie , was tot het besef gekomen dat éen levensgenot hem nog een gesloten paradijs gebleven was : het huiselijk geluk .
128-2|En schoon hij tot hiertoe de poort van het paradijs met [ @alt ~zijn~zijne zijne ] vrienden spottend was voorbijgegaan , nu wilde hij die eindelijk eens openen en daarbinnen een kijkje nemen , nieuwsgierig naar de zoete mysteriën daarachter verborgen , zeker - straks nog had hij onder het genot van een geurige havana op zijn sofa liggen peinzen over een mogelijk huwelijk , kalm overwegend , voorzichtig berekenend ... .
128-3|Een mooi en natuurlijk rijk meisje , jong als Aurora ... .
128-4|Zij zou hem een gezellig thuis geven - een paar kinderen ... . hij hield wel van kinderen .
128-5|Hij zou wat minder druk uitgaan - dat zou beter voor [ @alt ~zijn~zijne zijne ] gezondheid zijn ook ... .
128-6|Hij zou meer een geposeerd man worden , lid van dit en van dat ... . een huishouden geeft altijd meer (
129-1|31 ) waardigheid .
129-2|Hij was ook al [ @alt zo zoo ] jong niet meer ... .
129-3|Zeker , zeker , geen kwaad idée .
129-4|Het begon hem werkelijk meer en meer toe te lachen ... .
130-1|En [ @alt zo zoo ] lang als hij was , had hij zijn groot , vadsig , weldoorvoed lichaam eens [ @alt tussen tusschen ] de [ @alt fluwelen fluweelen ] pouffs uitgerekt , zich geheel overgevend aan [ @alt ~de~den den ] invloed der genotsprikkels , die van alle zijden op hem inwerkten door middel van een getemperd vuur , een smaakvol en weelderig gemeubeld vertrek , een droomerige stilte , een zachte ligging en [ @alt de den ] [ @alt fijne fijnen ] geur der havana .
131-1|Maar van al die overleggingen sprak hij geen woord tot [ @alt ~zijn~zijne zijne ] zuster .
132-1|" Als je een goede partij voor mij weet , " vervolgde hij [ @alt vrolijk vroolijk ] , " dan stuur je maar een boodschap . "
133-1|" Wel , " [ @alt zei zeide ] zij peinzend , voor [ @alt ~de~den den ] spiegel nog hier en daar de golfjes en krulletjes van haar kapsel een duwtje gevend , " een van de Graantjes bijvoorbeeld ; ... . zulke aardige meisjes ! " (
134-1|32 )
135-1|Hij maakte een afwerende beweging .
136-1|" Te [ @alt lelijk leelijk ] , hoor ! "
137-1|" Eva Wilson ? "
138-1|" Boe , die blauwkous kan ik niet uitstaan . "
139-1|" Haar logéetje dan ?
139-2|... .
139-3|Die moet puissant rijk zijn . "
140-1|" Maar de dochter van een parvenu ! " antwoordde hij , zijn [ @alt trots trotsch ] gelaat vol minachting .
141-1|" Laura van Vuren dan ? "
142-1|" Dat coquette schepsel !
142-2|Laat een ander daarmee in zijn ongeluk [ @alt lopen loopen ] !
142-3|... .
142-4|Och neen , Luus , houd maar op .
142-5|Ik geloof niet dat ik in de wieg ben gelegd voor het huwelijk .
142-6|Vrijheid bovenal !
142-7|Alle vrouwen vervelen me , [ @alt zodra zoodra ] ik denk dat ik ze levenslang tegenover me zal hebben . "
143-1|Eigenlijk verdroot het hem zich door [ @alt ~zijn~zijne zijne ] zuster in een dergelijke [ @alt kwestie quaestie ] te laten raden .
144-1|Op dit [ @alt ogenblik oogenblik ] draaide Renée het licht op [ @alt ~haar~hare hare ] kamer uit , gereed naar beneden (
145-1|33 ) te gaan ; maar het venster opschuivende , bleef zij geboeid door de stille pracht van [ @alt ~de~den den ] avondhemel .
146-1|Kleine , donzige wolken hingen bijna roerloos in het luchtruim en hoog boven hen troonde de maan , nu stralend in volle pracht , dan wegschuilend en slechts door een [ @alt matte matten ] glans verradend , waar zij was .
146-2|De avondkoelte blies ritselend in de dorre bladeren , die nog aan de heesters in [ @alt ~de~den den ] tuin hingen ; overigens was alles stil .
147-1|Renée kende de stemmen der natuur , zij was er vertrouwd mede ; en terwijl zij daar stond , kwam plotseling een gevoel van bevrediging , van vertroosting over haar .
147-2|Een diepe zucht steeg op uit [ @alt ~haar~hare hare ] borst , welsprekender dan [ @alt stromen stroomen ] van tranen .
147-3|Zij kon [ @alt ~de~den den ] blik niet afwenden van [ @alt ~die~dien dien ] avondhemel , die haar als een lieve oude bekende was .
147-4|Zij had willen heenvliegen als een vogel , dáár , ver door die glanzende ruimte , die schoonheid , die heerlijkheid te gemoet - en ver van dat salon beneden , vol vreemde [ @alt mensen menschen ] .
147-5|O , dat verlangen (
148-1|34 ) in haar hart ! - zij wist niet waarnaar ; - dat heimwee ! - zij wist niet waarheen .
148-2|In [ @alt ~haar~hare hare ] nieuwe omgeving gevoelde zij zich [ @alt zo zoo ] misplaatst , [ @alt zo zoo ] neergeworpen , als een plant , welker wortels ruw zijn losgerukt en in [ @alt de den ] [ @alt nieuwe nieuwen ] grond zich maar niet vasthechten kunnen .
148-3|Haar omzweefden duizend liefelijke herinneringen , gelijk ieder [ @alt mens mensch ] ze met zich omdraagt , visioenen van " vroeger , " van alles , wat eenmaal het geluk uitmaakte van het nu eenzame hart .
149-1|Zij gevoelde het , meer dan zij het onder woorden brengen kon : in dit huis was liefheid , aanhaligheid , schijnbare hartelijkheid - maar dit waren alle slechts armzalige nabootsingen van het heerlijke , zuivere goud der ware liefde , dat tot hiertoe zijn glans op haar had afgestraald .
150-1|Haar hart , overvloeiend van erkentelijkheid en van de warme genegenheid , die de jeugd [ @alt zo zoo ] spoedig heeft weg te schenken , had zich reeds bij de wel niet koele , maar toch evenmin warme ontvangst half gesloten , als de pas geopende rozeknop voor (
151-1|35 ) [ @alt de den ] [ @alt kille killen ] adem van [ @alt ~de~den den ] noordenwind : en nu lag het in [ @alt ~haar~hare hare ] borst als een gegrendelde schatkamer vol kostbaarheden : liefelijke herinneringen , zoete gedachten , lieve geheimen ...
152-1|Zij wendde zich van het venster af ; het was haar als had zij met het verleden gesproken .
152-2|Zij gevoelde zich verkwikt .
153-1|Toen zij vijf minuten later de gezelschapskamer binnentrad , was zij met haar opgewekt glimlachje geheel naar genoegen harer tante ; naar het scheen had zij al [ @alt ~haar~hare hare ] droefheid op [ @alt ~haar~hare hare ] kamer achtergelaten .
154-1|III .
155-1|Hoe zonderling dat wij voor een keerpunt in ons leven kunnen staan , zonder dat een geheim voorgevoel ons waarschuwt .
155-2|Hoe zonderling dat wij het wezen naderen dat de hoofdrol in ons lot spelen zal , - naderen , altijd meer , tot wij eindelijk van aangezicht tot aangezicht staan , - zonder dat ons ( 36 ) hart sneller klopt , of ons gesprek hapert , of onze hand beeft .
156-1|Renée Gerlings was rustig de trap afgedaald en met vlugge stapjes de vestibule [ @alt doorgelopen doorgeloopen ] zonder [ @alt enige eenige ] bijzondere gewaarwording ; en toen zij tegenover Hugo Freeze stond , zag zij hem onbevangen aan , eenvoudig denkende : " [ @alt Zo Zoo ] , [ @alt zo zoo ] , is dit nu de veelgeprezen Huug . "
156-2|En zij legde [ @alt ~haar~hare hare ] kleine hand in de [ @alt ~zijn~zijne zijne ] , omdat hij de broer harer tante was en begon op zijn innemende vragen met [ @alt de den ] [ @alt grootste grootsten ] eenvoud en natuurlijkheid te antwoorden .
157-1|Haar rijzig en slank figuurtje - slank van natuur en niet door kunstmiddelen - kwam allerliefst uit in het zilvergrijze japonnetje met polonaise en demi-traîne ; de zilveren sieraden pasten uitstekend daarbij en haar jong gezichtje kwam in die zachte nuances geheel tot zijn recht .
157-2|Het was waar , zij had blanker kunnen zijn , maar er was niets liefelijkers denkbaar dan dit crême en rose van haar gelaat , waarin de heldere bruine [ @alt ogen oogen ] fonkelden als zonnen , en dat (
158-1|37 ) omlijst werd door glanzend , golvend haar , hetwelk haar tot een volslagen brunette stempelde .
158-2|En ofschoon haar mond zeker wat kleiner had kunnen zijn , reiner , kinderlijker uitdrukking , dan in [ @alt ~de~den den ] vorm der lippen lag , was niet mogelijk , terwijl al [ @alt ~haar~hare hare ] bewegingen die rustige waardigheid hadden , welke men [ @alt soms somtijds ] opmerkt bij jongelieden , die met ernst zich een karakter vormen .
159-1|" U hebt pas uw papa verloren , niet waar ? " vroeg hij na de eerste voorstelling en begroeting , en in [ @alt ~de~den den ] blik , ( hij had dezelfde eigenaardige fluweelzwarte [ @alt ogen oogen ] zijner zuster ) waarmede hij op haar neerzag , lag een wereld van goedhartige deelneming .
160-1|" Ja , " antwoordde zij zacht en keek dankbaar naar hem op ; want zij had reeds bemerkt dat oom en tante niet gaarne meer dan strikt [ @alt nodig noodig ] was over [ @alt haar haren ] [ @alt lieve lieven ] [ @alt dode doode ] spraken .
161-1|" Hebt u hem gekend ? " vroeg zij met een flauwe flikkering van hoop .
162-1|" Neen , ik heb uw papa nooit ontmoet , " (
163-1|38 ) antwoordde hij met een stille spijt .
163-2|" Maar , " jokte hij haastig , " ik heb [ @alt dikwijls dikwerf ] mijn broer en zuster met veel sympathie over hem [ @alt horen hooren ] spreken ... .
163-3|Hij is zeker wel altijd een trouwe , lieve vader voor u geweest . "
164-1|" O ja , " [ @alt zei zeide ] zij , weer even zacht , en sloeg toen haastig de [ @alt ogen oogen ] neer , [ @alt ~terwijl~wijle wijl ] de herinnering aan die trouw en liefde er tranen in te voorschijn riep .
165-1|" Ik herinner mij , " ging hij vriendelijk voort , hoewel [ @alt enigszins eenigszins ] aarzelend , want heel zeker wist hij het niet meer , " indertijd uw oom Albert te hebben [ @alt horen hooren ] vertellen dat uw papa uit [ @alt ~de~den den ] dienst was gegaan om uwentwil . "
166-1|" Ja , ik was , toen mama stierf , [ @alt zo zoo ] aan de dienstboden overgelaten .
166-2|Papa heeft zich toen geheel aan mij gewijd . "
167-1|Hij vond dat hij nu genoeg over [ @alt ~de~den den ] overledene gepraat had en bracht met tact het gesprek op een ander onderwerp .
168-1|" Ik hoop nu maar dat u hier zult kunnen gewennen .
168-2|Dat gaat zeker nog niet best ? " (
169-1|39 )
170-1|" Waarom denkt u dat ? " vroeg zij , hem nog niet geheel aanziende , verlegen over [ @alt ~haar~hare hare ] tranen , die maar niet onder [ @alt ~haar~hare hare ] oogleden drogen wilden .
171-1|" Omdat ik mij dat wel begrijpen kan .
171-2|U voelt u ( ik geloof wel dat ik het kan raden ) als een veldbloempje overgeplant in een trekkas .
171-3|Is 't niet [ @alt zo zoo ] ? "
172-1|Hij had iets vertrouwelijks over zich , iets hartelijks , iets , wat iedere vrouw aantrok tot wie hij met zijn innemenden glimlach en bedaarde , vloeiende stem het woord richtte ; en [ @alt zoals zooals ] hij zich nu onder het spreken tot haar overboog , begon hij ook Renée zeer aantrekkelijk toe te schijnen .
173-1|" Wel een beetje , " gaf zij toe , verrast dat hij [ @alt zo zoo ] juist in woorden bracht wat zij onbewust had gevoeld .
173-2|" Maar er zijn vriendelijke tuinlui in de serre ... . "
173-3|Zij wilde er nog iets bijvoegen , maar bedwong zich , vreezende onoprecht te zullen worden .
174-1|Hier werd hun kort gesprek door de komst van andere gasten gestoord .
175-1|Hij raakte met de [ @alt heren heeren ] over politiek (
176-1|40 ) aan het disputeeren , zij werd door de dames in beslag genomen ; en een gegons van stemmen begon , nu en dan afgebroken door een opklinkenden lach of een korte stilte , maar overigens gestadig voortdurende tot de gasten zich aan de speel tafeltjes verdeelden .
177-1|Soms , als het gesprek meer algemeen werd , ontmoette Renée zijn welwillenden blik , maar merkte dit nauwelijks op ; althans zij ving [ @alt ~die~dien dien ] juist even rustig op als [ @alt ~de~den den ] blik der oude dame naast hem .
177-2|En hij , zonderling getroffen , [ @alt zei zeide ] tot zichzelf dat haar gedrag in niets geleek op dat van sommige [ @alt grootsteedse grootsteedsche ] gekkinnetjes , die hij kende .
177-3|Terwijl hij [ @alt ~zijn~zijne zijne ] [ @alt meningen meeningen ] uiteenzette over de handelingen van [ @alt ~de~den den ] Duitschen keizer , volgde hij haar heimelijk met zijn blik , en merkte op dat haar oog hem volstrekt niet zocht noch volgde ; zij was kalm in gesprek , of soms , als zij zich onbespied waande , staarde zij [ @alt dromerig droomerig ] voor zich uit , als waren [ @alt ~haar~hare hare ] gedachten elders .
177-4|En voortdurend bleef het verlangen in hem (
178-1|41 ) levendig nog eens zulk een gesprekje met haar te kunnen voeren .
179-1|Eerst tegen het souper gelukte hem dit .
180-1|Renée stond juist alleen .
180-2|Zij , nog geheel onder [ @alt ~de~den den ] indruk van haar groot verlies , was vermoeid van het vele [ @alt horen hooren ] en vele spreken , en dacht met verlangen aan haar stil vertrekje , waar zij weer met zichzelf alleen zou zijn , waar zij [ @alt ~haar~hare hare ] schatkamer openen mocht en naar hartelust toeven bij [ @alt ~haar~hare hare ] schatten .
180-3|Wat wist zij van deze mannen met [ @alt ~hun~hunne hunne ] verschillende gezichten , ernstig , flauw of energiek ; - en deze vrouwen , lieve en spraakzame , geestige , hartelijke of koele - en wat wisten zij allen van haar !
180-4|... .
180-5|Wat was hun verleden ?
180-6|... .
180-7|Waar waren zij opgegroeid ? en hadden zij die herinnering aan [ @alt ~hun~hunne hunne ] jeugd [ @alt zo zoo ] lief als zij de [ @alt ~haar~hare hare ] ?
180-8|... .
181-1|Dit was dan nu een dier conversatie-avondjes , waarover papa haar steeds met [ @alt zoveel zooveel ] vermakelijken spot had gesproken ; en nu begreep zij hem [ @alt zo zoo ] goed !
181-2|Zij was beu van het gegiegel en gebabbel en gelispel (
182-1|42 ) om haar heen , en toch kon zij zich voorstellen dat zij zich misschien zou hebben vermaakt , ware zij in een andere stemming geweest .
182-2|Maar nu was [ @alt ~haar~hare hare ] ziel nog geheel vervuld van een [ @alt grote groote ] treurigheid , die als een [ @alt schone schoone ] smart was , - als een treurmuziek , die voortzong en voortzong , haar boeiende en [ @alt ~haar~hare hare ] gedachten afleidende .
182-3|Mocht zij al uiterlijk een [ @alt vrolijk vroolijk ] jong meisje schijnen , innerlijk was zij een gebogen gedaante in rouwgewaad , wijlend ver van dit salon vol gemaakte [ @alt vrolijkheid vroolijkheid ] en schijn .
182-4|En haar oog was scherper en haar oor gevoeliger , waar tegen de waarheid gezondigd werd .
183-1|Hoor , dat groepje dames ginds lachte ; - hoe onnatuurlijk klonk die lach !
183-2|... .
183-3|Nu ving zij [ @alt enige eenige ] woorden van tante Lucie op , die in gesprek was met twee [ @alt heren heeren ] , en Renée vond dat [ @alt ~haar~hare hare ] stem gemaakt klonk en dat zij er geéchauffeerd uitzag ... .
183-4|Andere dames maakten [ @alt dezelfde denzelfden ] indruk ; het was als waren zij marionetten , opgewonden voor [ @alt enige eenige ] uren , om straks tehuis weer gewoon te zijn .
183-5|Blijkbaar streefden zij er (
184-1|43 ) allen in de eerste plaats naar dames du monde te zijn , daarna pas vrouw .
184-2|Zij niet , o neen , zij nimmer .
184-3|Zij zou altijd allereerst vrouw willen zijn , de rein-menschelijke vrouw , en daarna pas , als een onvermijdelijk iets , wereldlinge .
185-1|Zie , nu luisterde oom [ @alt ogenschijnlijk oogenschijnlijk ] met belangstelling naar iemand , die over de nieuwe richting in de letterkunde sprak , een onderwerp , waaromtrent hij [ @alt ~die~dien dien ] middag aan tafel nog verklaard had volkomen onverschillig te zijn ... .
185-2|En die dikke mijnheer dáár maakte aan tante een compliment over [ @alt ~haar~hare hare ] " eeuwige jeugd . "
185-3|Zou zij hem wel [ @alt geloven gelooven ] ?
185-4|... .
185-5|Maar zij glimlachte toch heel gracieuselijk !
186-1|Wat scheen zulk een bijeenzijn haar doelloos en vervelend !
186-2|Er was iets scheefs in , er haperde iets .
186-3|Haar aan zuivere [ @alt tonen toonen ] gewend oor vernam voortdurend dissonnanten .
186-4|Was dit genot , als dat hetwelk zij kende ?
186-5|Was dit vriendschap ?
187-1|Daar plaatste zich een [ @alt hoge hooge ] gestalte [ @alt tussen tusschen ] haar en het gewoel , waarop zij staarde . (
188-1|44 )
189-1|" Hoe bevalt u dit staaltje van onze steedsche soirées ? " vroeg hij met een zweem van ironie .
190-1|Zij was te oprecht om iets anders te zeggen dan zij meende en wilde hem toch niet hinderen , waarom zij een ontwijkend antwoord gaf .
191-1|" Naar één staaltje kan men ze niet in het algemeen [ @alt beoordelen beoordeelen ] , denk ik . "
192-1|" O , ja wel , zij gelijken alle op elkaar ... .
192-2|Nu , zeg het maar , het is niets voor u , geloof ik , " riep hij op goed geluk .
193-1|" Neen , " gaf zij aarzelend en een weinig verlegen toe ; maar toen , glimlachend naar hem opziende met het aangename gevoel hem te kunnen vertrouwen , [ @alt zei zeide ] zij vrijmoediger : " Het kaarten vond ik het prettigste gedeelte van [ @alt ~de~den den ] avond . "
194-1|" Eigenlijk dacht ik niet dat u die kunst verstondt ... . "
195-1|" Waarom niet ?
195-2|Juist op de dorpen wordt veel gespeeld .
195-3|Wij hadden enkele gezellige vrienden . "
196-1|" Was het niet eentonig daar , vooral met zulk een stil huishoudentje ? " (
197-1|45 )
198-1|" Een stil huishoudentje was het niet , " protesteerde zij met [ @alt ~haar~hare hare ] eigenaardige beslistheid .
198-2|" Daar was papa - en juf - en ik - en Toon de knecht - en de oude Kee - en dan Caesar .
198-3|Zij brachten allen [ @alt ~hun~hunne hunne ] drukte mee . "
199-1|" Wie was Caesar ? " vroeg hij , zijn arm gemakkelijk op [ @alt ~de~den den ] schoorsteenmantel leggend , waarbij zij stonden .
200-1|Hij schepte groot vermaak in haar eenvoud , en het was hem een verkwikking dat gezichtje vrij en rustig te mogen beschouwen , terwijl het naar hem opgeheven was .
200-2|Geen zweem van behaagzucht ontsierde het ; zij , die geen hulde zocht , bemerkte de [ @alt ~zijn~zijne zijne ] niet eens .
201-1|" Caesar was mijn hond , " antwoordde zij , denkend dat het toch vriendelijk van hem was haar [ @alt zo zoo ] belangstellend te vragen naar alles , wat zij had verlaten , en met [ @alt zoveel zooveel ] aandacht te luisteren naar alles , wat zij [ @alt zo zoo ] gaarne vertelde .
201-2|" Oom kreeg gisteren bericht van Toon dat de nieuwe huurder - een goed vriend van papa - de paarden (
202-1|46 ) zal overnemen .
202-2|Maar wie wil een oude hond hebben ?
202-3|Hij is nu bij Toon in huis .
202-4|Natuurlijk zal hij het daar niet [ @alt zo zoo ] prettig hebben , als bij ons ... .
202-5|Hier kan hij niet zijn , dat begrijp ik wel ; maar [ @alt zodra zoodra ] ik getrouwd ben , mag hij komen . "
203-1|Hij lachte gul .
204-1|" Maar uw man ?
204-2|... .
204-3|Die heeft toch ook wat te zeggen ? "
205-1|" Ja , dat is waar , " gaf zij toe , een weinig uit het veld geslagen .
205-2|" Maar misschien zal hij het wel goedvinden om mijnentwil , denkt u niet ? "
206-1|" Als ik hem spreek , zal ik het hem vragen , " schertste hij .
206-2|" [ @alt Zodra Zoodra ] u kunt , moet u mij zijn adres opgeven . "
207-1|Zij wist niet goed wat te antwoorden en zweeg daarom .
207-2|Zij had zeer weinig liefdesgeschiedenissen gelezen en beschouwde het huwelijk als de lotsbestemming van het meisje [ @alt zoals zooals ] een beroep de lotsbestemming is van een knaap .
207-3|Waarom lachte hij dan , nu zij [ @alt zei zeide ] : " [ @alt zodra zoodra ] ik getrouwd ben ? " (
208-1|47 )
209-1|" U correspondeert natuurlijk met Caesar ? " plaagde hij .
210-1|Nu lachte zij ook en pareerde [ @alt ~de~den den ] aanval .
211-1|" Ja zeker , in gedachten . "
212-1|" Waarlijk ?
212-2|- Nu , ik zou wat liefs willen geven om te weten wat u hem schrijft ... .
212-3|Eén ding zie ik , " vervolgde hij ernstiger , met [ @alt de den ] [ @alt lieve lieven ] glimlach , die zijn gezicht [ @alt zo zoo ] recht aantrekkelijk maken kon , " het hartje van de vrouw is al even trouw als dat van [ @alt ~de~den den ] hond .
212-4|Is 't [ @alt zo zoo ] niet ? "
213-1|Zij zag naar hem op .
