1-1|VOGELS VAN DIVERSE PLUIMAGE
119-1|Weldra zenden zij drie gezanten , Herakles , Poseidoon en [ @alt enen eenen ] Triballos , een caricatuurgod der barbaren , die koeterwaalsch praat .
119-2|Zij komen beleefd tot Peisthetairos , maar deze doet alsof hij ze niet ziet en gaat voort met de toebereidselen veer een smakelijk gebraad , dat [ @alt ~de~den den ] lekkerbek Herakles allengs verteedert en verleidt .
119-3|Peisthetairos is geneigd tot vrede met de goden , maar vooreerst moet Zeus hem [ @alt ~de~den den ] heerschersstaf geven , en dan zal hij de goden ten eten vragen .
120-1|Onmogelijk , zegt Poseidoon ; maar Herakles ruikt het gebraad en stemt al toe .
121-1|Vervolgens moet Zeus hem [ @alt ~zijn~zijne zijne ] dochter Basileia - het koningsgezag - tot vrouw geven .
122-1|Onmogelijk , zegt Poseidoon .
123-1|Ga maar mede in [ @alt ~de~den den ] hemel met hen om Basileia en al wat gij wilt te halen , zegt Herakles ; ik zal [ @alt intussen intusschen ] hier het gebraad klaarmaken .
124-1|Het stuk sluit hiermede dat Peisthetairos terugkomt , reeds van verre schitterend als de zon , en naast hem de [ @alt schone schoone ] bruid Basileia .
124-2|Hij zwaait [ @alt ~de~den den ] bliksem , het gevleugelde werptuig van Zeus , en een heerlijke geur stroomt door alles heen .
124-3|Het koor jubelt hem een hymenlied te gemoet en bezingt de macht van [ @alt ~de~den den ] bliksem , gevoerd door [ @alt ~de~den den ] [ @alt ~nieuwe~nieuwen nieuwen ] Zeus , en [ @alt ~zijn~zijne zijne ] prachtige bruid Basileia .
125-1|En [ @alt zo zoo ] eindigt deze halsbrekende vogelutopie .
126-1|Maar wij , hoe komen wij weer heelhuids uit deze wolkenvogelstad op de gewone aarde en bij ons eenvoudig pluimgedierte ?
127-1|Doch [ @alt zo zoo ] gaat het in het leven .
127-2|De lezer dient er zich mee te troosten , dat het plotseling geschiede , zonder overgang .
127-3|[ @alt Evenzo Evenzoo ] worden wij met een schok wakker uit de schoonste [ @alt dromen droomen ] , en na de omzwervingen in [ @alt ~de~den den ] ether zien wij opeens onze voeten op de [ @alt straatstenen straatsteenen ] staan .
127-4|Toch blijft van dat zweven in de wolken altijd iets in de herinnering rondzingen .
128-1|NOTEN :
129-1|( 1 )
129-2|Deze bundel , ofschoon de oudste stukken bevattende , verscheen eerst in 1874 na anderen van jongeren oorsprong , die in 1872 het licht had gezien .
130-1|( 2 )
130-2|Een stuk van ouden datum , niet herdrukt .
130-3|Verscheen in Nederland , 1856
131-1|TWEE KUNSTENAARS .
132-1|Eens waren de geesten overal .
132-2|Van alle stof waren zij de bezieling , zij woonden in de lucht , in de [ @alt stromen stroomen ] , in de zon , in de starren , in [ @alt ~de~den den ] bloemkelk en de kleine beek , in [ @alt ~de~den den ] [ @alt mens mensch ] en [ @alt ~zijn~zijne zijne ] omgeving , in zijn denken en voelen , en heel het leven was van hen vervuld .
132-3|In de lucht en de [ @alt bossen bosschen ] maakten zij muziek , aan de starren en wolken gaven zij spraak , en leerden haar , evenals [ @alt ~de~den den ] bergen , [ @alt bomen boomen ] en wateren , de heerlijkste dingen vertellen ; aan de bloemen schonken zij de poëzie der kleuren , [ @alt ~de~den den ] [ @alt mens mensch ] de verbeelding , en [ @alt zowel zoowel ] in als buiten hem ontstond door hen de liefelijkste wereld .
133-1|Het is niet de schuld der wetenschap , dat het niet meer [ @alt zo zoo ] is .
133-2|Integendeel .
133-3|Dat hebben de geestverdrijvers , waarvan sommige de wetenschap tot hun doel gebruiken , verspreid om [ @alt ~de~den den ] smet van zich af te werpen .
133-4|Het was aan de domheid te wijten en aan de [ @alt mensen menschen ] , die niet denken en gevoelen , maar alleen grof zinnelijk waarnemen .
134-1|En de geesten verdwenen .
135-1|Hoe verdwenen zij ?
136-1|Toen de [ @alt mensen menschen ] de geesten niet meer begrepen en kenden , beweerden zij dat deze niet bestonden .
136-2|Zij knepen hun [ @alt ogen oogen ] dicht en spraken : de zon is weg .
136-3|- Ziet ! zeiden de geestendooders , men heeft ons vroeger wijsgemaakt dat er geesten waren in de natuur , maar wij weten het nu beter .
137-1|En zij namen een boom en zaagden hem door , tot anderen , die nog twijfelden zeggende : - Ziet gij wel dat er geen geest in zit ; het is alleen schors , spint en hout .
138-1|Anderen namen een schoon beeld .
138-2|- Als er geest in zit , zeiden zij , dan moet hij er ook uitkomen , - en zij braken het open .
138-3|Eerst de [ @alt benen beenen ] , en toen zij niets vonden , het lijf , en toen het hoofd , en toen alles te morzel lag , riepen alle omstanders uit : - Zij hebben gelijk , daar is geen geest in ; ook in de kunst is geen geest .
139-1|Daarna kwamen er , die hun [ @alt ~dikke~dikken dikken ] , vetten buik en hun dikke , vette wangen bevoelende , uitriepen : - Kijk , dat eerst is werkelijkheid , maar wat men niet tasten kan , bestaat niet .
139-2|- En alle [ @alt mensen menschen ] vonden het ook [ @alt zo zoo ] .
140-1|In [ @alt ~de~den den ] staat maakten zij [ @alt ene eene ] wet , dat niemand meer van geest mocht spreken , want dat geesten gebleken waren ijdele hersenspooksels te zijn , die niet bestaan en volstrekt van geen practisch nut zijn .
141-1|- Ach , waar zijn de geesten heengevlogen ? klaagden de kinderen , - waarom komen zij niet meer [ @alt zo zoo ] heerlijk voor ons zingen , en ons van allerlei goeds en schoons vertellen ?
141-2|Ach , waar zijn de geesten ?
142-1|- In [ @alt ~de~den den ] kelder , in het turfhok , stoute bengels ! riepen de [ @alt mensen menschen ] .
143-1|Toen er aldus bewezen was , dat in alles wat er goed , waar en schoon op aarde verschijnt , [ @alt gene geene ] geesten zaten ; toen de beste en verstandigste der [ @alt mensen menschen ] elkander geleerd hadden en overgeleverd , dat nergens meer geest is , en het maar alleen de kinderen waren , met de oude bestjes en zwakke zielen , die slechts een duister besef hadden , dat er toch behalve al die stoffen ook geesten waren in het heelal , toen wisten de lieden niet beter of het was op het kerkhof , en in [ @alt ~de~den den ] toren bij [ @alt ~de~den den ] nachtuil en in het spookkasteel , en bij de dwaallichten en [ @alt ~de~den den ] driesprong , en in het koffiedik , dat zij de geesten moesten zoeken ; en in de plaats van de reine etherische wezens , stelden zij ze zich niet anders voor dan als geraamten en [ @alt bleke bleeke ] spoken , katten en duivels uilen en heksen op bezemstelen , ruischende door de holle en galmende gangen van eenzame gebouwen , joelende op de hei en door de [ @alt schoorstenen schoorsteenen ] , zwierende , gierende en jankende door de nachtelijke duisternis .
144-1|De geesten leefden ook niet meer onder de [ @alt mensen menschen ] ; zij gingen [ @alt hoger hooger ] wonen en maakten zich onzichtbaar .
144-2|Niet langer spraken zij onmiddellijk tot de aardbewoners uit elke plant , uit het [ @alt bos bosch ] , uit het meer , uit de zon ; zij bewogen zich niet meer in het klare licht van [ @alt ~de~den den ] dag en onder de woelende , zwoegende menigte der stofaanbidders ; het waren slechts uitverkorenen , aan wie zij zich bleven [ @alt vertonen vertoonen ] .
145-1|Doch als de nacht , de engel met het kalme , reine gelaat , de beschermende duisternis over de schepping uitspreidt , als de geestverjagers en stofaanbidders slapen , dan komen zij overal te voorschijn .
145-2|Dan vieren zij feest en reien in de [ @alt bossen bosschen ] en op de velden , dan spelen zij met de karbonkels van [ @alt ~de~den den ] starrenhemel en dobberen wiegelend op de koppen der golven ; dan zingen zij in de suizende lucht en vermeien zich in de kelken der bloemen .
145-3|Zij dringen door in de kamer van [ @alt ~de~den den ] werkenden dichter en omringen hem met muziek ; zij omzweven de sponde van [ @alt de den ] [ @alt slapende slapenden ] kunstenaar en kussen zijn hoofd , [ @alt ~zijn~zijne zijne ] ziel met [ @alt ~nieuwe~nieuwen nieuwen ] gloed vervullende .
146-1|Alles , alles is dan weer bezield en over alle stof zweeft weer de geest .
147-1|Het was winter , het was een heerlijke , bezielde nacht , toen ik eens twee van die geesten gewaarwerd , die in [ @alt ~mijn~mijne mijne ] kamer werkzaam waren .
148-1|- Welkom , welkom , [ @alt schone schoone ] etherische verschijnselen , wie gij ook zijn [ @alt mag moogt ] , welkom , want ik gevoel , dat gij geluk aanbrengt !
149-1|- Ik heet Lucht , [ @alt zei zeide ] de een .
150-1|- En ik ben Vorst , sprak de ander , wij zijn van de geesten der kunst .
151-1|- Hoe ! riep ik verbaasd , zijt gij kunstenaars ?
151-2|Ik dacht dat lucht niet anders deed dan zuurstof , koolstof en stikstof verwerken , en wind , regen en nevels maken , en dergelijken .
151-3|En vorst dacht ik mij slechts als een besneeuwden grijsbaard , met [ @alt nors norsch ] gelaat en ijs om zijn hoofd en zijn hart .
151-4|Hoe ! stroomt de gloed der bezieling door uwe gedaanten , en zijt gij nog iets meer dan natuurwetten ?
152-1|- [ @alt ~Lange~Langen Langen ] tijd , [ @alt zei zeide ] de een , hebben wij ons met vele beslommeringen en drukten moeten , bezighouden .
152-2|Wij hebben hagel en sneeuw moeten maken , de aarde verharden en met [ @alt ene eene ] sneeuwlaag overdekken , duizenden schadelijke dieren en insecten verjagen en [ @alt doden dooden ] .
152-3|Met machtigen adem heb ik in stormen geloeid en de bladeren afgeschud , en de [ @alt gehele geheele ] natuur tot de rust van [ @alt ~de~den den ] winter bereid .
153-1|- Ja , zei Vorst , ik heb mijn gezel moeten helpen , [ @alt sloten slooten ] en wateren met [ @alt ene eene ] dichte , doorschijnende korst bevloeren .
153-2|Dat was onze nuttige arbeid , de [ @alt aardse aardsche ] en stoffelijker zijde van onzen werkkring , en algemeen was het alleen deze , die men beschouwde , want wat daar ook kunstigs en schoons in mocht zijn , niemand , die daar op lette of dat begreep .
153-3|Zij vroegen maar : is het nuttig ?
153-4|[ @alt Zo Zoo ] ja , was het goed , [ @alt zo zoo ] neen , weg er mede .
153-5|Het was of het ijs bij de schepping slechts bestemd was voor narresleden en het vermaak van schaatsenrijders ; de bloemen op de glazen werden [ @alt verwenst verwenscht ] en weggevaagd ; de reine sneeuw met [ @alt ~haar~hare hare ] kunstige vlokken , met [ @alt ~haar~hare hare ] starren en rozen , werd bevuild , [ @alt zodra zoodra ] zij onder de [ @alt mensen menschen ] kwam .
153-6|En die [ @alt schone schoone ] ijzelkristallen , die als een bekleedsel van edele [ @alt stenen steenen ] aan trossen de takken en bladeren der [ @alt bomen boomen ] omhulden , en waaraan wij [ @alt zo zoo ] veel kunst besteedden , wie heeft ze met kunstzin beschouwd ?
154-1|- En wat is men wispelturig en tegenstrijdig in [ @alt ~zijn~zijne zijne ] [ @alt wensen wenschen ] en [ @alt meningen meeningen ] , riep Lucht uit , Dan eens is men kwaad , omdat Vorst uit scherts hier of daar een neus purper kleurt ; dan is men blij , omdat men schaatsenrijden kan .
154-2|Nu wil men dooi hebben - voor de scheepvaart [ @alt zo zoo ] het heet - doch eigenlijk , omdat men zelf op reis moet ; dan wil men vorst tegen het schadelijk veldgedierte en omdat het gezonder is .
155-1|- Dan zijn wij te streng , zei Vorst , en dan zijn wij weer te zacht .
155-2|Velen schijnen ook geheel onverschillig omtrent ons en cijferen , eten , drinken en slapen , alsof wij niet bestonden ; anderen hebben een afkeer van ons , omdat òf stoffelijke armoede , òf armoede des geestes hen onvatbaar maakt om ons te begrijpen en te genieten .
156-1|- En gij wordt niet ontmoedigd en staaktet uw arbeid niet ?
157-1|- Denkt gij , sprak Lucht , denkt gij dat wij slechts werken uit vrees voor straf , of in hoop van [ @alt beloning belooning ] ?
157-2|Weet gij dan niet dat men evenals het goede ook het [ @alt schone schoone ] moet doen om zijns zelfs wille ?
158-1|Zij waren [ @alt intussen intusschen ] niet werkeloos geweest , maar zweefden en golfden af en aan , en waren druk bezig bij [ @alt ~mijn~mijne mijne ] ramen .
158-2|De glazen kraakten en ik ontdekte toen een treffend schouwspel .
159-1|- O , wat kunstige en [ @alt grootse grootsche ] arbeid riep ik verrukt .
160-1|- Noem het geen arbeid , [ @alt zei zeide ] Lucht , het is uitspanning , het is genot , het is loutere liefde voor het [ @alt schone schoone ] .
161-1|- Heerlijk , heerlijk , zongen zij beiden opgetogen ; - zie , [ @mwu_alt overdag des daags ] hebben de [ @alt mensen menschen ] ons verjaagd , maar des nachts , onder het geestrijk licht der maan , als de [ @alt mensen menschen ] met hun bespottelijke [ @alt eisen eischen ] en hun kunstdoodenden ijver , die zeker ons werk terstond zou vernietigd hebben , slapen , dan werken wij aan ons lievelingswerk , heerlijke goddelijke kunst !
162-1|Welke geheimzinnige kunstenaars waren zij !
162-2|Evenals eenmaal in de middeleeuwen de vrome meesters de kerkvensters , [ @alt zo zoo ] overdekten zij de glazen onzer huizen met de dichterlijkste en schoonste gewrochten van hun geest : waarlijk schenen zij niet om roem of eer te werken , naarom de kunst [ @alt zelf zelve ] .
162-3|En evenals bij die oude meesters , schenen hun arbeid en [ @alt ~hun~hunne hunne ] middelen een geheim voor de menigte verborgen .
163-1|Slechts even had ik [ @alt ~hun~hunne hunne ] handeling gezien .
163-2|Helaas , ook ik moest in de straf [ @alt delen deelen ] , die de geestverjagers hadden [ @alt belopen beloopen ] , en ik mocht de geesten in [ @alt ~hun~hunne hunne ] kunstoefening niet langer aanschouwen .
164-1|- Slaap , slaap , zeiden de geesten , en zij wiegden mij en legden mij [ @alt neer neder ] .
164-2|- Slaap , slaap , gij kunt ons niet langer zien arbeiden , maar morgen zult gij onze werken zien .
165-1|- Moeder , moeder , riepen 's morgens de kinderen , die het 't eerst ontdekten , naar de glazen [ @alt lopende loopende ] , - wat heerlijke bloemen en beelden !
166-1|Dat hadden 's nachts de geesten gedaan .
167-1|Herinneringen aan alle streken der aarde penseelden zij op die ruiten .
167-2|Er was geen plekje op de aarde , waar Lucht niet geweest was , en Vorst had ook veel gezien , [ @alt zodat zoodat ] zij [ @alt ene eene ] rijke verbeelding en een schat van ideeën hadden , die onuitputtelijk was .
168-1|Uit het verre Westen , de nieuwe wereld , brachten zij herinneringen van [ @alt brede breede ] rivieren en watervallen , van reusachtige wouden en berggevaarten .
169-1|Uit het Zuiden had Lucht vroegere herinneringen van krachtvollen plantengroei en exotische bloemenpracht , en van de heerlijkste gedaanten uit dat land der [ @alt schone schoone ] vormen , en Vorst etste ze met fijne stift op het glas .
170-1|Uit het Oosten bootsten zij palmen en waaierboomen , aloë's en cactussen na , en edelgesteenten , met de weelderige gedachten en vormen van het morgenland , de wieg des menschdoms .
171-1|Al die beelden uit een lang en werkzaam leven , die herinneringen van [ @alt ~hun~hunne hunne ] veelvuldige omzwervingen en reizen op de aarde , kwamen in de schoonste vormen door hun rijk en weelderig genie te voorschijn , en werden door de kunstenaars met steeds vernieuwde oorspronkelijkheid voortgebracht .
172-1|Onbaatzuchtig , als alle ware kunst is , werkten zij niet alleen voor rijken , maar ook voor armen ; zelfs waren er bij sommigen der aan zienlijkste lieden , waar nacht en dag in alle vertrekken [ @alt ene eene ] zoele zomerhitte [ @alt heerste heerschte ] , [ @alt gene geene ] sporen hunner kunst ontdekt , en daar waar [ @alt gene geene ] gordijnen zelfs waren om de glazen te [ @alt bekleden bekleeden ] , bedekten zij die met [ @alt ~hun~hunne hunne ] keurigste scheppingen .
172-2|Edele [ @alt belangeloze belangelooze ] kunst , die [ @alt ~haar~hare hare ] gaven uitstrooit zonder aanzien des persoons .
173-1|Doch hoe [ @alt groots grootsch ] en machtig het genie van [ @alt ~mijn~mijne mijne ] kunstenaars was , doorgaans werden zij weinig begrepen en geacht .
173-2|Daar zat een geleerde te werken , terwijl [ @alt ~zijn~zijne zijne ] glazen met planten en gewassen overdekt waren , cactussen , cederen , palmen , orchydaeën , en wat al meer , vreemder en zeldzamer dan die der rijkste broeikassen of botanische tuinen ; fossielen , [ @alt vissen visschen ] , schelpen en kristallen zonder wederga ; maar de geleerde lette er niet op of keurde ze [ @alt ~zijn~zijne zijne ] aandacht niet waard .
173-3|Het was immers maar kunstwerk !
174-1|Wat verder stond een kantoorman voor zijn raam , en krabde er [ @alt ~de~den den ] nagel de keurige ciseleersels af , om een open plekje te maken , waar hij doorheen kon zien .
174-2|[ @alt Zo Zoo ] moest wel het kunstwerk een [ @alt ogenblik oogenblik ] zijn oog treffen , maar toen hij onder al die voorstellingen geen enkel cijfer zag , niet eens [ @alt enige eenige ] afbeelding van een bankbrief of [ @alt ene eene ] coupon , ging hij spoedig weer aan zijn lessenaar zitten , want hij vond er niet het minste nut in .
175-1|Hier waren weder de schoonste lijnen en vormen , de bevalligste versierselen , het weelderigste loofwerk ; maar de beschaafden waren er ongevoelig voor .
176-1|Ginds waren het de stoutste stukken juweel , de meest verscheidene pracht van edele [ @alt stenen steenen ] , maar noch wereldlingen , noch pronk- en prachtminnaars , noch vrouwen keken er naar .
177-1|Elders spreidden zich de vreemdste natuurtafereelen uit , zonder dat men ze vermoedde , en men reisde naar verre vreemde landen .
178-1|[ @alt Zo Zoo ] onverschillig , ja zelfs [ @alt zo zoo ] nauw bewust van al die schoonheid waren de [ @alt mensen menschen ] ; hun brein was [ @alt zo zoo ] arm geworden , hun waarnemingsvermogen [ @alt zo zoo ] ongeoefend en verdoofd voor wat bovenzinnelijk is , dat alleen wat grof tastbaar was voor de zinnen , door die ruwe werktuigen kon worden gevat .
178-2|- Bah ! riep de zoon der stof en der werkelijkheid , ik kan door de ruiten niet heenzien , en hij veegde terstond de kunstgewrochten weg , [ @alt zoals zooals ] hij het reeds vroeger in [ @alt ~zijn~zijne zijne ] ziel alle fijne draden en weefselen had gedaan .
178-3|Maar de kunst en het [ @alt schone schoone ] bleven er niettemin om voortleven en de kunstenaars aan [ @alt ~hun~hunne hunne ] roeping voldoen en [ @alt ~hun~hunne hunne ] bestemming vervullen .
179-1|Ziet , de zon komt door , de nevelen trekken weg , en de warme stralen vallen recht op de kunststukken mijner glazen .
179-2|Heerlijk , dubbel heerlijk zien zij er nu uit .
179-3|De [ @alt bossen bosschen ] en bergen krijgen nieuwe en verhoogde tinten , de edele [ @alt stenen steenen ] nieuwe flikkeringen en kleurspelingen , de bloemen en planten nieuwe gloed en verven .
180-1|Maar het duurt slechts [ @alt enige eenige ] [ @alt ogenblikken oogenblikken ] en weemoedig zie ik de gedaanten veranderen en verwelken , de kleuren [ @alt verbleken verbleeken ] .
180-2|Langzaam vormt zich een [ @alt druppel droppel ] , die meer en meer zwelt en glinstert , totdat hij , zijn toppunt bereikt hebbende , door [ @alt ~zijn~zijne zijne ] eigen ontwikkeling valt , om de aarde slechts te vermeerderen met een weinig slijk .
180-3|Nu volgt alles [ @alt ~de~den den ] eersten [ @alt druppel droppel ] en smelt meer en meer , en eindelijk lessen zich al die kunstrijke gewrochten , in droppelen van de glazen vallende , als een liefelijke droom bij het ontwaken in louter tranen op .
180-4|Het is of de [ @alt betovering betoovering ] is verbroken .
180-5|[ @alt Bossen Bosschen ] , cederen , bloemen , zeegewassen , edelgesteenten , ijsbergen - weg , weggesmolten , als de idealen der maagd , als de tranen der [ @alt mensen menschen ] , als de [ @alt dromen droomen ] der wijzen , en de [ @alt schone schoone ] kunstwerken leven niet meer , dan als de herinnering van iets , dat eens groot en liefelijk geweest is .
181-1|Is het een bewijs dat daarom het [ @alt schone schoone ] , dat wij gezien hebben , ijdel is en niet bestaat ?
181-2|Men heeft het honderden malen beweerd en zegt het nog .
181-3|Maar het zou even juist zijn vol te houden , dat de zon niet bestaat , omdat zij soms onzichtbaar is of onder gaat .
182-1|[ @alt Intussen Intusschen ] begint die zon , die onze kunststukken heeft vernietigd , ons te verwarmen en te verlichten .
182-2|Als bron van warmte en licht bezit zij beide hart en verstand , maar [ @alt verenigd vereenigd ] in harmonie en niet eenzijdig werkend als een van beide op zichzelve .
182-3|In haar vurigen glans verschijnt zij mij als de Hindoesche godheid , met het vernielend , maar tevens het scheppend beginsel , dat zij in zich saamvat .
182-4|Zij heeft onze kunststukken vernietigd , maar zij roept nieuwe uitkomsten in het leven .
182-5|Vorst verdwijnt en de werking van Lucht verandert en wordt gewijzigd naar de eeuwige wetten ; in een [ @alt zoele zoelen ] wind suist het en fluistert mij in het oor :
183-1|- Troost u , de kunstwerken zijn vergaan , maar andere en nieuwe komen weer te voorschijn en zullen verrijzen , nog schitterender en gloeiender , en oorspronkelijker dan de vorige .
183-2|Het zijn slechts veranderlijke vormen die voorbij zijn gegaan , maar de kunst en het [ @alt schone schoone ] gaan niet voorbij : [ @alt ~hun~hunne hunne ] verschijnselen in de vormen der stof zijn vergankelijk , maar zij zijn eeuwig !
184-1|EEN OUDE STRIJD .
185-1|Wat de dichterlijke geest der middeleeuwen in [ @alt ~zijn~zijne zijne ] [ @alt fantastische phantastische ] doodendansen op [ @alt zo zoo ] menigvuldige wijze afbeelden , en met [ @alt zo zoo ] veel diepen en bijtenden humor op de wanden der kerken , in de [ @alt tekeningen teekeningen ] der handschriften of de initialen der eerste drukwerken voorstelde , heeft niet opgehouden te bestaan .
185-2|Het is nog altijd de oude strijd [ @alt tussen tusschen ] leven en dood .
185-3|Als de [ @alt Noordse Noordsche ] reuzen , Zomer en Winter , werpen zij elkander beurtelings onder .
185-4|Altijd heeft wel Holbeins knekelman de overhand - maar slechts voor een gegeven tijd , en telkens staat een nieuw leven op om [ @alt ~de~den den ] strijd te hervatten en op [ @alt ~zijn~zijne zijne ] beurt [ @alt ~de~den den ] " koning de verschrikking " te overstelpen .
185-5|Het gras schiet onder de zeis van [ @alt ~de~den den ] onverbiddelijken maaier toch weder op .
185-6|Uit de stof van het vergane ontwikkelt zich een nieuwe groei .
186-1|Noemt gij onder de vele tegenstellingen , die elkander kruisen , en elkander schijnen te [ @alt vereisen vereischen ] om elkander aan te vullen , die van leven en dood [ @alt alledaags alledaagsch ] , zij is niet minder snijdend en gedurig nieuw in de bijzondere vormen , waarin zij optreedt .
187-1|Ziet daar [ @alt ~de~den den ] stoet , die de [ @alt doden dooden ] wegbrengt , langzaam de straten doorgaan , en de scherpste tegenstelling vormen met al wat hij ontmoet .
187-2|Er zijn bakkers , die aan de levenden brood brengen ; artsen , die het leven gaan verdedigen ; kooplieden , die , vast op het leven steunende , twintig jaren vooruit [ @alt ~hun~hunne hunne ] plannen berekenen ; lange rijen van fraaie huizen in aanbouw gaat hij voorbij ; verder een orgel , waarvoor kinderen dansen ; het orgel houdt even op voor de zwarte mannen , en de kinderen kijken naar [ @alt ~de~den den ] stoet met een [ @alt verbaasde verbaasden ] glimlach om wat zij niet begrijpen , en het speelt weder voort .
187-3|Verder gaat de stoet en nadert de uiteinden der stad ; eerst nog voorbij drukke pakhuizen , en fabrieken niet , [ @alt ~haar~hare hare ] stoomende , snuivende , rammelende en kletterende bezigheid ; de haven laat hij links liggen , met al [ @alt ~haar~hare hare ] schepen , waar het bootsvolk zingend bezig is de zeilen te [ @alt hijsen hijschen ] voor de reis naar een ver land om van daar de geriefelijkheden voor de levenden weer mede te brengen .
188-1|De zwarte wagenmenner , die onder de wippende huilebalk zijn winst zit te berekenen , is de stad uitgereden , en langzaam gaat het nu door dreven , waar de natuur met haar [ @alt fris frisch ] groen , [ @alt ~haar~hare hare ] vruchten en bloemen niets dan weelderig leven verkondigt .
