1-1|DE KLEINE JOHANNES
94-8|Dat was een mooi gezicht !
95-1|Er waren veel gasten .
95-2|Johannes voelde zich maar half thuis in de vreemde menigte en drong dicht tegen Windekind aan .
95-3|Hij zag er vreemde dingen .
95-4|Een mol sprak druk met een veldmuis over de fraaie verlichting en de decoratie .
95-5|In een hoekje zaten twee dikke padden hoofdschuddend tegen elkaar te jammeren over het aanhoudend droge weer .
95-6|Een [ @alt kikvors kikvorsch ] poogde gearmd met een hagedis een wandeling door de zaal te maken , wat hem slecht afging , daar hij verlegen en gejaagd was en telkens te ver sprong , waarbij hij soms de wandversiering danig in wanorde bracht .
96-1|Op [ @alt ~de~den den ] troon zat Oberon , de elfenkoning , omringd door een klein gevolg elfen , die [ @alt enigszins eenigszins ] minachtend op de omgeving neerzagen .
96-2|De koning zelf was naar vorstenwijze allerminzaamst en onderhield zich vriendelijk met verschillende gasten .
96-3|Hij kwam van een reis uit het Oosten en had een vreemd gewaad van schitterend gekleurde bloembladen aan .
96-4|Zulke bloemen groeien hier niet , dacht Johannes .
96-5|Op het hoofd droeg hij een donkerblauw bloemkelkje , dat nog een [ @alt frisse frisschen ] geur verspreidde , als was het [ @alt zoëven zooeven ] geplukt .
96-6|In de hand hield hij [ @alt ~de~den den ] meeldraad van een lotosbloem als koningsstaf .
97-1|Alle aanwezigen waren vol stillen lof over zijn goedheid .
97-2|Hij had het maanlicht in de duinen geroemd en gezegd dat de glimwormen hier bijna even schoon waren als de [ @alt Oosterse Oostersche ] vuurvliegen .
97-3|Ook had hij met genoegen naar de wandversiering gekeken en een mol had zelfs opgemerkt , dat hij goedkeurend met het hoofd had geknikt .
98-1|' Ga mede , ' zei Windekind tot Johannes , ' ik zal u voorstellen . '
98-2|En zij drongen tot aan 's konings zitplaats door .
99-1|Oberon spreidde de armen vol vreugde uit , toen hij Windekind herkende en kuste hem .
99-2|Dit gaf een gefluister onder de gasten en afgunstige blikken van het elfengevolg .
99-3|De twee dikke padden in [ @alt ~de~den den ] hoek mompelden samen iets van ' vleiers ' en ' kruipen ' en ' niet lang duren ' ; toen knikten ze elkaar [ @alt veelbetekenend veelbeteekenend ] toe .
100-1|Windekind sprak lang in een vreemde taal tot Oberon en wenkte toen
101-1|Johannes om dichterbij te komen .
102-1|' Geef mij de hand , Johannes ! ' zei de koning .
102-2|' Windekind's vrienden zijn de [ @alt ~mijn~mijne mijne ] .
102-3|Waar ik kan , zal ik u bijstaan .
102-4|Ik zal u een [ @alt teken teeken ] van ons verbond geven . '
102-5|Oberon maakte van zijn halsketen een klein gouden sleuteltje los en gaf dat aan Johannes , die het vol eerbied aannam en vast in [ @alt ~zijn~zijne zijne ] hand sloot .
102-6|' Dat sleuteltje kan uw geluk zijn , ' ging de koning voort .
102-7|' Het past op een gouden kistje dat kostbare schatten bevat .
102-8|Maar wie dat heeft , kan ik u niet zeggen .
102-9|Gij moet maar ijverig zoeken .
102-10|Als gij goede vrienden met mij en Windekind blijft en standvastig en trouw zijt , zal het u wel gelukken . '
102-11|De elfenkoning knikte daarbij hartelijk met het [ @alt schone schoone ] hoofdje en overgelukkig dankte Johannes hem .
103-1|Daar begonnen drie kikkers , op [ @alt ene eene ] kleine verhevenheid van vochtig mos gezeten , de inleiding tot een langzame wals te zingen en er vormden zich paartjes .
103-2|De niet dansenden werden door een groen hagedisje , dat als ceremoniemeester werkzaam was en schutterig heen en weer vloog , naar de kanten gedrongen , tot [ @alt grote groote ] ergernis van de twee padden , die klaagden dat zij niets konden zien , en daarna begon de dans .
104-1|Dat was eerst grappig .
104-2|Ieder danste op zijn eigen manier en verbeeldde zich natuurlijk , dat hij het veel beter deed dan de anderen .
104-3|De muizen en [ @alt kikvorsen kikvorschen ] sprongen hoog op hun achterste [ @alt poten pooten ] , een oude rat draaide [ @alt zo zoo ] woest , dat alle dansers voor hem op zij weken , en ook een vette boomslak waagde een toertje met een mol , maar gaf het spoedig op , onder voorwendsel dat ze er een steek van in de zij kreeg , de ware reden was , dat ze het niet best kon .
105-1|Het ging echter zeer ernstig en plechtig toe .
105-2|Men maakte er een gewetenszaak van , en gluurde angstig naar [ @alt ~de~den den ] koning om een [ @alt teken teeken ] van goedkeuring op zijn gelaat te zien .
105-3|Maar de koning was bang om ontevredenen te maken en keek zeer strak .
105-4|Zijn gevolg rekende het beneden [ @alt ~hun~hunne hunne ] danskunst mede te doen .
106-1|Johannes had zich bij [ @alt ~die~dien dien ] ernst lang goed gehouden .
106-2|Doch toen hij een klein padje zag rondzwieren met een lange hagedis , die het ongelukkige padje soms hoog boven [ @alt ~de~den den ] grond tilde en een [ @alt halve halven ] cirkel in de lucht liet beschrijven , barstte zijn [ @alt vrolijkheid vroolijkheid ] in een schaterlachen uit .
107-1|Dat gaf opschudding .
107-2|De muziek zweeg .
107-3|De koning keek verstoord om .
107-4|De ceremoniemeester vloog in volle vaart op [ @alt ~de~den den ] lacher toe en verzocht hem dringend zich wat gepaster te gedragen .
107-5|' Dansen is een ernstige zaak , ' [ @alt zei zeide ] hij , ' en volstrekt geen bezigheid om uit te lachen .
107-6|Het is hier een deftig gezelschap , waar men niet [ @alt zo zoo ] maar voor de grap danst .
107-7|Ieder deed zijn best en niemand verlangde uitgelachen te worden .
107-8|Dat is een grofheid .
107-9|Men is hier bovendien op een treurfeest om droevige redenen .
107-10|Men moet zich hier fatsoenlijk gedragen en niet handelen , alsof men bij [ @alt mensen menschen ] was ! '
108-1|Daar verschrikte Johannes van .
108-2|Overal zag hij vijandige blikken .
108-3|Zijn vertrouwelijkheid met [ @alt ~de~den den ] koning had hem vele vijanden bezorgd .
109-1|Windekind trok hem ter zijde :
110-1|' Het is maar beter , dat wij weggaan , Johannes ! ' fluisterde hij , ' gij hebt het weer verkorven .
110-2|Ja !
110-3|Ja ! dat komt er van , als men bij [ @alt mensen menschen ] is opgevoed ! '
111-1|Haastig glipten zij onder de vleugels van [ @alt ~de~den den ] vleermuisportier door en kwamen in de duistere gang .
111-2|De beleefde glimworm wachtte hen op .
112-1|' Hebt gij u goed geamuseerd ? ' vroeg hij .
112-2|' Hebt gij koning Oberon gesproken ! '
113-1|' O ja ! het was een [ @alt vrolijk vroolijk ] feest , ' zei Johannes , ' moet gij hier altijd in de donkere gang blijven ? '
114-1|' Dat is eigen vrije keuze , ' [ @alt zei zeide ] de glimworm op weemoedig bitteren toon .
114-2|' Ik houd niet meer van die ijdelheden . '
115-1|' Kom , ' [ @alt zei zeide ] Windekind , ' dat meent gij niet . '
116-1|' Het is [ @alt zoals zooals ] ik zeg .
116-2|Vroeger , - vroeger was er een tijd dat ik ook naar feesten ging en danste en mij met zulke beuzelingen ophield .
116-3|Maar nu ben ik door het lijden gelouterd , nu ... '
117-1|En hij werd [ @alt zo zoo ] geroerd , dat zijn lichtje weder uitging .
117-2|Gelukkig waren zij dicht bij [ @alt ~de~den den ] uitgang en het konijntje , dat hen hoorde aankomen , ging een weinig op zijde , [ @alt zodat zoodat ] het maanlicht naar binnen scheen .
118-1|[ @alt Zodra Zoodra ] zij bij het konijntje buiten waren , [ @alt zei zeide ] Johannes : ' Vertel ons uwe geschiedenis eens , glimworm ! '
119-1|' Ach ! ' zuchtte de glimworm , ' die is eenvoudig en droevig .
119-2|Zij zal u niet vermaken . '
120-1|' Vertel haar , vertel haar toch maar , ' riepen allen .
121-1|' Nu : gij weet dan toch allen wel , dat wij glimwormen zeer bijzondere wezens zijn .
121-2|Ja , ik geloof dat niemand zou durven tegenspreken , dat wij glimwormen het hoogst begaafd zijn van al wat leeft . '
122-1|' Waarom ? dat weet ik niet , ' [ @alt zei zeide ] het konijntje .
123-1|Met minachting vroeg de glimworm toen : ' Kunt gij licht geven ? '
123-2|' Neen ! dat nu wel niet , ' moest het konijntje bekennen .
124-1|' Nu , wij geven licht !
124-2|Allen !
124-3|En wij kunnen het laten schijnen of [ @alt verdoven verdooven ] naar willekeur .
124-4|Licht is de beste gave der natuur , en licht geven het hoogste , waartoe een levend wezen komen kan .
124-5|Zou iemand nog onzen voorrang willen betwisten !
124-6|Wij mannetjes hebben bovendien vleugels en kunnen mijlen ver vliegen . '
125-1|' Dat kan ik ook niet , ' bekende het konijntje nederig .
126-1|' Door de goddelijke gave des lichts , die wij hebben , ' ging de glimworm
127-1|voort , ' ontzien ons ook andere dieren , geen vogel zal ons aanvallen .
128-1|Alleen één dier , het laagste onder allen , zoekt ons en neemt ons mede .
129-1|Dat is de [ @alt mens mensch ] , het verfoeilijkst gedrocht der schepping . '
130-1|Johannes keek Windekind aan bij [ @alt ~dezen~deze dezen ] uitval , als begreep hij het niet .
130-2|Doch Windekind glimlachte en wenkte hem te zwijgen .
130-3|' Eens vloog ik [ @alt vrolijk vroolijk ] rond , als een helder dwaallicht [ @alt tussen tusschen ] de donkere heesters .
130-4|En op een eenzaam , vochtig grasveldje , aan [ @alt ~de~den den ] oever van een sloot , daar woonde zij , wier bestaan onafscheidelijk aan mijn geluk was verbonden .
130-5|Schoon schitterde zij in [ @alt bleken bleeken ] smaragd-glans , als zij [ @alt tussen tusschen ] de glanshalmen rondkroop en machtig bekoorde zij mijn jong hart .
130-6|Ik vloog om haar heen en deed mijn best door verwisseling van glans [ @alt ~haar~hare hare ] aandacht te trekken .
130-7|Dankbaar zag ik , hoe zij mijn groet bespeurde en zedig haar lichtje verduisterde .
130-8|Sidderend van aandoening was ik op het punt mijn vleugels samen te vouwen en in verrukking bij [ @alt ~mijn~mijne mijne ] stralende geliefde neer te zinken , toen een ontzaglijk geluid de lucht vervulde .
130-9|Donkere gestalten naderden .
130-10|Het waren [ @alt mensen menschen ] .
130-11|Ik nam verschrikt de vlucht .
130-12|Zij joegen mij na , en sloegen naar mij met [ @alt grote groote ] , zwarte dingen .
130-13|Doch sneller dan hun logge [ @alt benen beenen ] droegen mij [ @alt ~mijn~mijne mijne ] vleugels . '
130-14|' Toen ik terug kwam ... '
131-1|Hier begaf [ @alt ~de~den den ] verhaler de stem .
131-2|Eerst na een [ @alt ogenblik oogenblik ] van stille aandoening , waarin de drie hoorders eerbiedig zwegen , - ging hij voort :
132-1|' Gij kunt het reeds vermoeden .
132-2|Mijn [ @alt tedere teedere ] bruid , - de glansrijkste en schitterendste onder allen , zij was verdwenen , medegesleept door [ @alt ~de~den den ] boosaardigen [ @alt mens mensch ] .
132-3|Het stille , vochtige grasveldje was vertrapt en haar geliefd plekje aan de sloot was duister en ledig .
132-4|Ik was alleen op de wereld . '
133-1|Hier haalde het gevoelige konijntje wederom een oor naar beneden om een traan uit het oog te [ @alt wissen wisschen ] .
134-1|' Sinds [ @alt ~die~dien dien ] tijd ben ik veranderd .
134-2|Ik heb een walg van alle ijdele vermaken .
134-3|Ik denk alleen aan haar , die ik verloren heb en aan [ @alt ~de~den den ] tijd dat ik haar zal [ @alt weerzien wederzien ] . '
135-1|' [ @alt Zo Zoo ] ! hebt ge daar nog hoop op ? ' vroeg het konijntje verheugd .
135-2|' Ik heb meer dan hoop , ik heb zekerheid .
135-3|Daarboven zal ik [ @alt ~mijn~mijne mijne ] geliefde [ @alt weerzien wederzien ] . '
136-1|' Maar ... ' wilde het konijntje inbrengen .
137-1|' Konijn ! ' [ @alt zei zeide ] de glimworm ernstig , ' ik kan mij begrijpen , dat iemand twijfelt , die in het duister moet rondtasten .
137-2|Maar wanneer men kan zien , met eigen [ @alt ogen oogen ] zien ? dan is elke onzekerheid mij een raadsel .
137-3|Daar ! ' [ @alt zei zeide ] het glimwormpje en keek vol eerbied naar [ @alt ~de~den den ] van sterren fonkelenden hemel .
137-4|' Daar zie ik hen ! al mijn vaderen , al mijn vrienden en ook haar , duidelijk stralen , in nog heerlijker glans dan hier op aarde .
137-5|Ach ! wanneer zal ik mij uit dit lage leven kunnen opheffen , en tot haar vliegen , die mij lonkend wenkt ?
137-6|Ach ! wanneer ? wanneer ? '
138-1|Zuchtend verliet het glimwormpje [ @alt ~zijn~zijne zijne ] toehoorders en kroop weder in het donkere hol .
139-1|' Arm schepsel ! ' [ @alt zei zeide ] het konijntje , ' ik hoop dat hij gelijk heeft . '
140-1|' Ik hoop het ook , ' voegde Johannes er bij .
141-1|' Ik vrees er voor , ' [ @alt zei zeide ] Windekind , ' maar het was zeer aandoenlijk . '
142-1|' Lieve Windekind , ' begon Johannes , ' ik ben heel moe en heb slaap . '
143-1|' Kom dan naast mij , ik zal u met mijn mantel toedekken . '
144-1|Windekind nam zijn blauwe manteltje en spreidde dat over Johannes en [ @alt zichzelf zichzelven ] uit .
144-2|[ @alt Zo Zoo ] legden zij zich neer , in het geurige mos op de duinhelling , de armen om elkanders hals geslagen .
145-1|' Uwe hoofden liggen wat laag , ' riep het konijntje , ' wilt ge die tegen mij laten rusten ? '
146-1|Dat deden zij .
147-1|' Nacht moeder ! ' [ @alt zei zeide ] Windekind tot de maan .
148-1|Toen sloot Johannes zijn gouden sleuteltje vast in de hand , vlijde zijn hoofd tegen het donzige vel van het goede konijntje en sliep rustig in .
149-1|III
150-1|Waar is hij dan , Presto ?
150-2|Waar is het kleine baasje dan ?
150-3|Welk een schrik , wakker te worden in de boot , in het riet - geheel alleen , de baas spoorloos verdwenen .
150-4|Het was om angstig van te worden .
151-1|En loop je hem nu al [ @alt zolang zoolang ] te zoeken , onder voortdurend zenuwachtig piepen ?
151-2|Arme Presto !
151-3|Hoe kon je ook [ @alt zo zoo ] vast slapen en niet merken dat de baas uit de boot ging ?
151-4|Anders word je dadelijk wakker , [ @alt zodra zoodra ] hij [ @alt enige eenige ] beweging maakt .
152-1|Nauwelijks kon je herkennen , waar de baas aan land was gegaan en hier in de duinen ben je nu het spoor geheel bijster geraakt .
152-2|Het ijverig snuffelen hielp niet .
152-3|Welk een wanhoop ! de baas weg ! spoorloos weg !
152-4|Zoek dan Presto , zoek hem dan !
153-1|Wacht ! daar recht voor je , tegen die duinhelling , ligt daar niet een kleine donkere gedaante ? zie eens goed !
154-1|Een [ @alt ogenblik oogenblik ] staat het hondje onbeweeglijk , en ziet ingespannen in de verte .
154-2|Dan strekt het op eens [ @alt ~de~den den ] kop vooruit en holt , vliegt met al de kracht van zijn vier dunne pootjes , naar dat donkere plekje op de duinhelling .
155-1|Maar toen dat werkelijk het [ @alt zo zoo ] smartelijk vermiste baasje bleek te zijn , toen vond hij alle pogingen nog ontoereikend om zijn [ @alt ganse gansche ] blijdschap en dankbaarheid uit te drukken .
155-2|Hij kwispelde , verdraaide zijn [ @alt gehele geheele ] lijfje , sprong , jankte , blafte en duwde zijn kouden neus [ @alt ~de~den den ] lang gezochte likkend en snuffelend in 't gezicht .
156-1|' Koest , Presto , in je mand ! ' riep Johannes half slapend .
157-1|Hoe dom van [ @alt ~de~den den ] baas !
157-2|Er is geen mand in de buurt , [ @alt zover zoover ] men zien kan .
158-1|Langzaam begon de schemering te dagen in de ziel van [ @alt de den ] [ @alt kleine kleinen ] slaper .
158-2|Het snuffelen van Presto , dat was hij [ @alt iedere iederen ] morgen [ @alt zo zoo ] gewoon .
158-3|Maar voor zijn geest hingen nog lichte droombeelden van elfen en maneschijn , als morgennevelen om een duinlandschap .
158-4|Hij vreesde dat de kille adem van [ @alt ~de~den den ] ochtend die zou verjagen .
158-5|' [ @alt Ogen Oogen ] toehouden , ' dacht hij , ' anders zie ik de klok en het behangsel weer , als altijd ! '
159-1|Maar hij lag vreemd .
159-2|Hij voelde , dat hij geen deken had .
159-3|Langzaam en voorzichtig opende hij de oogleden op een kier .
160-1|Helder licht .
160-2|Blauwe hemel .
160-3|Wolken .
161-1|Toen opende Johannes de [ @alt ogen oogen ] wagenwijd en [ @alt zei zeide ] : ' Is het dan toch waar ? '
162-1|Ja , hij lag midden in het duin .
162-2|[ @alt Vrolijke Vroolijke ] zonneschijn verwarmde hem , [ @alt frisse frissche ] morgenlucht ademde hij in , een fijne nevel omgaf de [ @alt bossen bosschen ] in 't verschiet .
162-3|Hij zag alleen [ @alt de den ] [ @alt hoge hoogen ] beuk bij [ @alt ~de~den den ] vijver en het dak van zijn huis , dat uitstak boven het groen .
162-4|Bijen en kevers gonsden om hem heen , boven hem zong de stijgende leeuwerik , in de verte klonk hondengeblaf en het gerucht der verwijderde stad .
162-5|Het was alles klare werkelijkheid .
163-1|Maar wat had hij gedroomd en wat niet ?
163-2|Waar was Windekind ? en het konijntje ?
164-1|Hij zag geen van beiden .
164-2|Alleen Presto zat [ @alt zo zoo ] dicht mogelijk bij hem en keek hem in afwachting aan .
165-1|' Zou ik aan 't slaapwandelen geweest zijn ? ' prevelde Johannes zacht .
166-1|Naast hem was een konijnenhol .
166-2|Maar [ @alt zo zoo ] waren er [ @alt zoveel zooveel ] in 't duin .
166-3|Hij richtte zich op om het goed te bezien .
166-4|Wat voelde hij daar in de nog vastgesloten hand ?
167-1|Een tinteling liep van de kruin van zijn hoofd tot zijn voeten , toen hij de hand opende .
167-2|Daar schitterde een klein gouden sleuteltje .
168-1|Een tijd lang zat hij sprakeloos .
169-1|' Presto ! [ @alt zei zeide ] hij toen , terwijl de tranen hem in de [ @alt ogen oogen ] kwamen .
170-1|' Presto , het is toch waar ! '
171-1|Presto sprong op en trachtte door blaffen [ @alt ~zijn~zijne~zijnen zijnen ] meester aan 't verstand te brengen , dat hij honger had en naar huis wilde .
172-1|Naar huis ?
172-2|Ja ! daaraan had Johannes niet gedacht en hij had er weinig zin in .
172-3|Maar spoedig hoorde hij door verschillende stemmen zijn naam roepen .
172-4|Toen begon hij te begrijpen , dat zijn gedrag volstrekt niet braaf en fatsoenlijk zoude gevonden worden en dat hem lang geen vriendelijke woorden te wachten stonden .
173-1|Een [ @alt ogenblik oogenblik ] scheelde het weinig , of zijn vreugdetranen waren in één moeite door , tranen van angst en berouw geworden .
173-2|Maar toen dacht hij aan Windekind , die nu zijn vriend was , zijn vriend en vertrouweling , aan het geschenk van [ @alt ~de~den den ] elfenkoning en aan die heerlijke , onbetwistbare waarheid van al het gebeurde en hij zocht kalm en op alles voorbereid [ @alt ~de~den den ] weg naar huis op .
174-1|De ontmoeting viel niet mede .
174-2|[ @alt Zo Zoo ] erg had hij zich de onrust en vrees van zijn [ @alt huisgenoten huisgenooten ] niet voorgesteld .
174-3|Hij moest plechtig beloven , nimmer meer [ @alt zo zoo ] ondeugend en onvoorzichtig te zijn .
175-1|' Dat kan ik niet , ' [ @alt zei zeide ] hij vastberaden .
175-2|Daar zag men vreemd van op .
175-3|Hij werd ondervraagd , gesmeekt , bedreigd .
175-4|Maar hij dacht aan Windekind en hield vol .
176-1|Wat konden hem straffen schelen als hij Windekind's vriendschap maar behield en wat zou hij niet voor Windekind willen lijden !
176-2|Vast klemde hij het sleuteltje aan zijn borst en de lippen opeen , terwijl hij iedere vraag met schouderophalen beantwoordde .
176-3|' Ik kan niets beloven , ' zei hij weer .
177-1|Doch zijn vader [ @alt zei zeide ] : ' Laat hem nu maar met vrede , het is hem ernst .
177-2|Er moet iets bijzonders met hem gebeurd zijn .
177-3|Eens zal hij het ons wel vertellen . '
178-1|Johannes glimlachte , at zwijgend zijn boterham en sloop naar zijn kamertje .
178-2|Daar sneed hij een stuk van het gordijnkoord af , deed er het kostbare sleuteltje aan en hing het zich om [ @alt ~de~den den ] hals op de [ @alt blote bloote ] borst .
178-3|Toen ging hij getroost naar school .
179-1|Het ging zeer slecht [ @alt ~die~dien dien ] dag op school .
179-2|Hij kende zijn lessen geen van alle en lette volstrekt niet op .
179-3|Voortdurend vlogen zijn gedachten naar [ @alt ~de~den den ] vijver en naar de wonderbare gebeurtenissen van [ @alt de den ] [ @alt vorige vorigen ] avond .
179-4|Hij kon het zich nauwelijks denken , dat een vriend van [ @alt ~de~den den ] elfenkoning nu weer verplicht zou zijn , sommen te maken en werkwoorden te vervoegen .
179-5|Maar het was toch alles waar geweest , en niemand om hem heen wist er iets van of zou het kunnen [ @alt geloven gelooven ] of begrijpen , zelfs de meester niet , hoe [ @alt bars barsch ] hij ook keek en hoe minachtend hij Johannes ook een luien rekel noemde .
179-6|Blijmoedig verdroeg hij de kwade [ @alt aantekening aanteekening ] en maakte hij het strafwerk , dat zijn verstrooidheid hem op [ @alt ~de~den den ] hals haalde .
180-1|' Zij hebben er toch geen van allen begrip van .
180-2|Zij mogen mij uitschelden , [ @alt zoveel zooveel ] zij willen .
180-3|Ik blijf Windekind's vriend , en Windekind is mij meer waard dan zij allemaal te zamen .
180-4|Ja , met [ @alt ~de~den den ] meester er bij . '
181-1|Dat was niet eerbiedig van Johannes .
181-2|Maar zijn achting voor zijn [ @alt medemensen medemenschen ] was , na al het kwaad dat hij er [ @alt de den ] [ @alt vorige vorigen ] avond van had moeten [ @alt horen hooren ] , niet gestegen .
