1-1|Multatuli
98-2|En daar ik graag reden geef van m'n geloof , wil ik hier 'n voorval inlasschen dat iets vroeger had plaats gevonden .
99-1|Wouter ontving geen zakgeld .
99-2|Z'n moeder zei dat hoefde niet omdat hy thuis alles kreeg wat-i noodig had .
99-3|'t Stuitte hem altyd te moeten wachten op vergunning om " meetedoen " als z'n kameraadjes
100-1|( 10)met [ @alt ~de~den den ] bal speelden , en hem verweten dat hy 't zyne niet had bygedragen tot aanschaffing van dat meubel .
100-2|'t Kostte drie duiten in Wouter's tyd .
100-3|Nu zal 't wel duurder wezen ... neen , goedkooper ... door de staathuishoudkunde .
101-1|En by veel gelegenheden meer had-i verdriet over z'n voortdurende geldeloosheid .
101-2|Later zullen we zien of 't waar was , wat z'n moeder zei , dat-i thuis alles ontving wat hy noodig had .
101-3|Zéker is het , dat men hem thuis niet de gelegenheid gaf om nu-en-dan over 'n kleinigheid te beschikken naar eigen wil .
101-4|Wat toch [ @alt zo zoo ] heel prettig is voor kinderen .
101-5|En voor menschen .
102-1|De Hallemannetjes - die [ @alt zo zoo ] byzonder fatsoenlyk waren - gaven hem heel duidelyk te kennen dat het hun verveelde , langer alleen de kosten te dragen van 't verkeer .
102-2|Fransje berekende dat Wouter's vriendschap hun al negen stuivers gekost had - wat ik duur vind , niet om de vriendschap , maar om 't berekenen - en Gus zei dat het nog meer was , maar dat laat ik daar .
102-3|Ook had deze hem vier griften voorgeschoten , welke hy noodig had om z'n hof te maken by lange Ceciel die niet van hem weten wou omdat i 'n insteekpakje droeg.1 Maar de griften had ze aangenomen , en overgedaan aan Gus voor 'n zoen .
103-1|De bittere verwyten der Hallemannetjes - die [ @alt zo zoo ] byzonder fatsoenlyk waren - maakten Wouter wanhopig .
104-1|- Ik heb gevraagd aan m'n moeder , [ @alt zei zeide ] hy , maar ze wil me niets geven .
105-1|- Dat gaat ons niet aan , antwoordden de Hallemannetjes d. z. b. f. w. Je bent 'n klaplooper .
106-1|Wouter hoorde dit woord voor 't eerst , maar begreep het terstond .
106-2|Niets maakt scherpzinniger dan bitterheid van hart .
107-1|- Klaplooper , klaplooper ... ik ben 'n klaplooper !
108-1|Schreiend liep hy heen , en koos 'n omweg om de straat te myden , waar lange Ceciel's vader 'n lappenwinkel " deed " .
108-2|Och , als ze gezien had hoe hy als 'n klein kind liep te huilen op straat ... zeker , dat was èrger dan de broek boven 't buisje .
