1-1|Een [ @alt verlate verlaten ] post
128-2|En schoon hij tot hiertoe de poort van het paradijs met [ @alt ~zijn~zijne zijne ] vrienden spottend was voorbijgegaan , nu wilde hij die eindelijk eens openen en daarbinnen een kijkje nemen , nieuwsgierig naar de zoete mysteriën daarachter verborgen , zeker - straks nog had hij onder het genot van een geurige havana op zijn sofa liggen peinzen over een mogelijk huwelijk , kalm overwegend , voorzichtig berekenend ... .
128-3|Een mooi en natuurlijk rijk meisje , jong als Aurora ... .
128-4|Zij zou hem een gezellig thuis geven - een paar kinderen ... . hij hield wel van kinderen .
128-5|Hij zou wat minder druk uitgaan - dat zou beter voor [ @alt ~zijn~zijne zijne ] gezondheid zijn ook ... .
128-6|Hij zou meer een geposeerd man worden , lid van dit en van dat ... . een huishouden geeft altijd meer (
129-1|31 ) waardigheid .
129-2|Hij was ook al [ @alt zo zoo ] jong niet meer ... .
129-3|Zeker , zeker , geen kwaad idée .
129-4|Het begon hem werkelijk meer en meer toe te lachen ... .
130-1|En [ @alt zo zoo ] lang als hij was , had hij zijn groot , vadsig , weldoorvoed lichaam eens tusschen de fluweelen pouffs uitgerekt , zich geheel overgevend aan [ @alt ~de~den den ] invloed der genotsprikkels , die van alle zijden op hem inwerkten door middel van een getemperd vuur , een smaakvol en weelderig gemeubeld vertrek , een droomerige stilte , een zachte ligging en [ @alt de den ] [ @alt fijne fijnen ] geur der havana .
