1-1|Jules Verne
138-5|De beeltenis mijner aangebedene wierp mij dus plotseling uit de wereld der naakte werkelijkheid in die der hersenschimmen , der herinneringen .
139-1|Ik zag de getrouwe gezellin van mijn arbeid en van [ @alt ~mijn~mijne mijne ] vermaken terug .
139-2|Zij hielp mij iedereen dag om de kostbare steenen van mijn oom te rangschikken ; zij plaatste er met mij de briefjes op .
139-3|Juffrouw Gräuben was zeer sterk in de delfstofkunde !
139-4|Meer dan één geleerde zou een lesje bij haar hebben kunnen halen .
139-5|Zij onderzocht gaarne grondig de netelige vraagstukken der wetenschap .
139-6|Wat al zoete uren hadden wij doorgebracht met samen te studeeren , en hoe benijdde ik [ @alt soms somtijds ] het lot dier gevoellooze steenen , die zij met [ @alt ~haar~hare hare ] bekoorlijke handen aanraakte .
140-1|Als daarna het uur van uitspanning kwam , gingen wij beiden uit ; wij kozen de lommerrijke lanen van de Alster en begaven ons gezamenlijk naar [ @alt ~de~den den ] ouden geteerden molen , die zich [ @alt zo zoo ] goed voordoet aan het uiteinde van het meer ; onderweg keuvelden wij , elkander bij de hand houdende ; ik vertelde haar allerlei , waarover zij luidkeels lachte ; [ @alt zo zoo ] kwamen wij aan [ @alt ~de~den den ] oever der Elbe en na de zwanen , die tusschen de groote witte plompen rondzwemmen , [ @alt ~goeden~goede goeden ] nacht gewenscht te hebben , keerden wij per stoomboot naar de kaai terug .
141-1|[ @alt Zo Zoo ] ver was ik met mijn gepeins , toen mijn oom , met [ @alt ~zijn~zijne zijne ] vuist op de tafel slaande , mij met geweld tot de werkelijkheid terugvoerde .
142-1|" Laat eens zien , " [ @alt zei zeide ] hij , " de eerste gedachte die zich aan [ @alt ~de~den den ] geest moet voordoen om de letters van een volzin te verwarren is , dunkt mij , om de woorden onder in plaats van naast elkander te schrijven . "
143-1|" Wel mogelijk ! " dacht ik .
144-1|" Wij zullen zien , wat dat geeft Axel ! schrijf [ @alt ~de~den den ] een of anderen volzin op dit stukje papier ; maar zet de letters in plaats van achter elkander in geregelde rijen , elke van vijf of zes , onder elkander . "
