1-1|VOGELS VAN DIVERSE PLUIMAGE
130-2|Een stuk van ouden datum , niet herdrukt .
130-3|Verscheen in Nederland , 1856
131-1|TWEE KUNSTENAARS .
132-1|Eens waren de geesten overal .
132-2|Van alle stof waren zij de bezieling , zij woonden in de lucht , in de stroomen , in de zon , in de starren , in [ @alt ~de~den den ] bloemkelk en de kleine beek , in [ @alt ~de~den den ] mensch en [ @alt ~zijn~zijne zijne ] omgeving , in zijn denken en voelen , en heel het leven was van hen vervuld .
132-3|In de lucht en de bosschen maakten zij muziek , aan de starren en wolken gaven zij spraak , en leerden haar , evenals [ @alt ~de~den den ] bergen , [ @alt bomen boomen ] en wateren , de heerlijkste dingen vertellen ; aan de bloemen schonken zij de poëzie der kleuren , [ @alt ~de~den den ] mensch de verbeelding , en zoowel in als buiten hem ontstond door hen de liefelijkste wereld .
133-1|Het is niet de schuld der wetenschap , dat het niet meer [ @alt zo zoo ] is .
133-2|Integendeel .
133-3|Dat hebben de geestverdrijvers , waarvan sommige de wetenschap tot hun doel gebruiken , verspreid om [ @alt ~de~den den ] smet van zich af te werpen .
133-4|Het was aan de domheid te wijten en aan de menschen , die niet denken en gevoelen , maar alleen grof zinnelijk waarnemen .
134-1|En de geesten verdwenen .
135-1|Hoe verdwenen zij ?
136-1|Toen de menschen de geesten niet meer begrepen en kenden , beweerden zij dat deze niet bestonden .
136-2|Zij knepen hun oogen dicht en spraken : de zon is weg .
136-3|- Ziet ! zeiden de geestendooders , men heeft ons vroeger wijsgemaakt dat er geesten waren in de natuur , maar wij weten het nu beter .
137-1|En zij namen een boom en zaagden hem door , tot anderen , die nog twijfelden zeggende : - Ziet gij wel dat er geen geest in zit ; het is alleen schors , spint en hout .
138-1|Anderen namen een schoon beeld .
138-2|- Als er geest in zit , zeiden zij , dan moet hij er ook uitkomen , - en zij braken het open .
138-3|Eerst de beenen , en toen zij niets vonden , het lijf , en toen het hoofd , en toen alles te morzel lag , riepen alle omstanders uit : - Zij hebben gelijk , daar is geen geest in ; ook in de kunst is geen geest .
139-1|Daarna kwamen er , die hun [ @alt ~dikke~dikken dikken ] , vetten buik en hun dikke , vette wangen bevoelende , uitriepen : - Kijk , dat eerst is werkelijkheid , maar wat men niet tasten kan , bestaat niet .
