1-1|FERDINAND HUYCK
50-6|Wat later gebeurt , kan mij niet schelen : al wil men het uitgeven ; want dan zullen de daarin voorkomende portretten wel niet meer dan antiquiteiten zijn . "
51-1|" Ik beloofde zulks en deed nog meer : ik veranderde al de namen , ten einde niemand , die bij toeval het stuk in handen kreeg , zoû weten of het waar , dan wel verzonnen ware .
51-2|Nu zijn die veertig jaren om , en ik wil niet , dat men het na mijn dood onder [ @alt ~mijn~mijne mijne ] papieren vinde : men mocht eens denken , dat het eigen compositie ware .
51-3|Neem het dus en handel er meê naar welgevallen . "
52-1|Ik aanvaardde met gretigheid het aangeboden geschenk , en las het , [ @alt zodra zoodra ] ik te huis was , met belangstelling .
52-2|Of echter de veranderingen , welke het oorspronkelijke heeft ondergaan , zich alleen tot de namen bepaald hebben , en of Mejuffrouw Stauffacher er niet hier en daar een weinig uit haar eigen brein heeft [ @alt tussen tusschen ] gevoegd , wil ik niet beslissen .
52-3|Het laatste meen ik vooral daarom te moeten [ @alt geloven gelooven ] , omdat , schoon haar naauwgezetheid [ @alt zoverre zooverre ] is gegaan , dat zij alle jaartallen en data heeft weggelaten , er hier en daar , bij toespelingen op bekende gebeurtenissen , bij het schetsen van sommige zeden , gebruiken , kleederdrachten enz. , ja bij het doen van enkele aanhalingen , het een of ander voorkomt , dat mij toescheen niet tot het tijdvak , waarin het verhaalde voorvalt , maar iets vroeger of iets later te huis te [ @alt behoren behooren ] .
52-4|Ik had echter [ @alt gene geene ] gelegenheid Mejuffrouw Stauffacher deswege nader te onderhouden ; daar ik haar niet weder alleen aantrof , en zij kort daarop , tot bittere droefheid van haar vrienden , tot een beter leven werd opgeroepen .
53-1|Ik was het [ @alt gehele geheele ] Handschrift vergeten , toen het mij , dezer dagen , bij het opruimen van oude papieren onder de [ @alt ogen oogen ] kwam .
53-2|Bij de herlezing scheen het mij toe , dat wellicht diezelfde vreemde avonturen , met welker lezing ik mij vermaakt had , ook bij anderen [ @alt enig eenig ] belang zouden kunnen wekken , en dat , na verloop van [ @alt zo zoo ] vele jaren , [ @alt gene geene ] zwarigheid meer bestond , om de geschiedenis van [ @alt ~de~den den ] Heer Ferdinand Huyck ( gelijk hij door Mejuffrouw Stauffacher herdoopt is ) , wereldkundig te maken .
53-3|Daar uw naam echter meer dan de [ @alt ~mijn~mijne mijne ] in de letterkundige wereld bekend is , wend ik mij tot u , met de vraag of gij de peetschap over het papieren kind wilt op u nemen , overtuigd dat enz ... .
54-1|Uw vriend
55-1|P.
56-1|Dat ik aan het verlangen van mijn vriend voldeed , blijkt uit de navolgende bladzijden .
56-2|Ik beken echter , dat ik niet [ @alt zo zoo ] volkomen gerust ben omtrent de echtheid van het werk , als mijn vriend schijnt te zijn .
56-3|Ook heb ik Mejuffrouw Stauffacher niet [ @alt zo zoo ] van nabij gekend als hij , en durf dus niet beslissen , of haar waarheidsliefde [ @alt zoverre zooverre ] ging , dat zij nooit knollen voor citroenen verkocht : en [ @alt soms somtijds ] rijst bij mij het vermoeden op , of zij , ondanks haar betuigingen van het tegendeel , niet eens in haar leven tot de verzoeking vervallen is van een roman te schrijven en , hoewel huiverig om [ @alt ~die~dien dien ] bij haar leven uit te geven , echter heeft willen zorgen , dat hij na haar dood het licht zage .
56-4|Wat hiervan zij , ik geef het boek [ @alt zo zoo ] als ik het ontvangen heb : en heb er niets aan veranderd , zelfs de spelling niet ; waaromtrent ik moet doen opmerken , dat Mejuffrouw Stauffacher overal de klanklooze e achter het onbepalend lidwoord en veelal ook achter de possessiva weglaat , tenzij wanneer het eerste een telwoord wordt of wanneer de laatsten bijzonderen nadruk [ @alt vereisen vereischen ] .
56-5|Zij schreef misschien niet volgens vaste regelen ; misschien meer dan zij [ @alt zelf zelve ] wist ; maar zij volgde in [ @alt alle allen ] [ @alt gevallen gevalle ] haar gehoor : en , voor [ @alt zoverre zooverre ] men schrijven moet gelijk men spreekt , geef ik haar daarin geen ongelijk .
57-1|DE UITGEVER .
58-1|EERSTE HOOFDSTUK .
59-1|WAARIN , ONDER MEER ANDERE WETENSWAARDIGE ZAKEN , HET PORTRET VAN DEN HELD DEZER GESCHIEDENIS GEVONDEN WORDT .
60-1|Dikwijls , mijn kinderen ! wanneer wij na afloop van [ @alt ~de~den den ] avond-disch een naauwer kring om [ @alt ~de~den den ] haard sloten , en ik nog een laatste pijp stopte , terwijl uw lieve grootmoeder , half wakend , half slapend , nieuwe hieltjes aan de versletene kousjes der kleintjes breide , en een van u mij met een vleiende stem toeriep : " och , grootvader ! vertel ons nog eens wat van [ @alt ~de~den den ] Carnaval te Venetiën , of van [ @alt ~de~den den ] Landgraaf van Hessen , of van de Frankforter mis ! " heb ik aan uw nieuwsgierigheid voldaan en u [ @alt enige eenige ] der belangrijkste episoden verteld van die reis , welke ik als jongeling door [ @alt Duitsland Duitschland ] en Italiën deed : ja , [ @alt zo zoo ] menigmalen hebt gij naar het gepraat van [ @alt de den ] [ @alt oude ouden ] man geluisterd , dat gij op het laatst mijn ontmoetingen en wederwaardigheden [ @alt zo zoo ] goed en beter kendet dan ik zelf , en vaak , wanneer mijn door ouderdom [ @alt enigszins eenigszins ] verzwakt geheugen te kort schoot , mij de kleine bijzonderheden herinnerdet , welke tot aanvulling mijns verhaals moesten strekken .
60-2|Nimmer echter heeft een uwer mij ondervraagd betreffende hetgeen mij na mijn terugkomst van die [ @alt ~reize~reis~reizen reize ] overkomen is ; waarschijnlijk omdat gij , wetende hoe kalm en gerust ik , sedert mijn huwelijk , de dagen mijns levens in [ @alt ~de~den den ] schoot mijns huisgezins gesleten heb , verondersteldet , dat ik , te huis komende , [ @alt zo zoo ] maar dadelijk een vrouw en een aanzienlijk vermogen gevonden had , en dat [ @alt gene geene ] zorg noch wederwaardigheid die dagen van kalmte was voorafgegaan .
60-3|[ @alt Intussen Intusschen ] bedriegt gij u zeer : en het tijdvak , dat onmiddellijk op mijn reis volgde , was het gewichtigste en , in zijn bijzonderheden , het belangrijkste mijns levens .
60-4|Dat ik er tot heden nimmer over gesproken heb , en ik ook thans , in plaats van u de voorvallen , die daarin plaats vonden , bij monde mede te [ @alt delen deelen ] , die in geschrifte stel , ten einde gij die na mijn dood zoudt kunnen te weten komen , moet gij niet aan een dwaze gril toeschrijven : ik had daar een gezonde reden toe .
60-5|De gebeurtenissen , waarbij mij de omstandigheden een werkzame rol deden spelen of wier invloed [ @alt zo zoo ] krachtdadig op mijn volgenden levensloop werkte , waren van [ @alt ~die~dien dien ] aard , dat zij deels uw jeugdig verstand te boven gingen , deels voor uw grootmoeder te droevige herinneringen opwekten : ja , ik zou die geheel aan de vergetelheid opgeofferd hebben , ware het niet , dat gij , naar ik mij voorstelde , bij het vorderen in jaren , daaruit nutte les en [ @alt lering leering ] zoudt kunnen trekken .
60-6|Ik heb derhalve mijn herinneringen , [ @alt zoveel zooveel ] in mij was , bijeenverzameld , ten einde niets te vergeten van hetgene in verband staat met de lotgevallen , welke de navolgende bladen zullen behelzen .
60-7|Ofschoon ik voor u schreef , en u steeds gedurende mijn arbeid voor [ @alt ogen oogen ] had , heb ik , ter vermijding der verwarring , welke door het gebruik der tweede persoon [ @alt zo zoo ] licht ontstaan kon in een verhaal , waarin [ @alt zovele zoovele ] samenspraken zijn [ @alt ingelast ingelascht ] , dat verhaal [ @alt zodanig zoodanig ] ingericht , als schreef ik voor dat [ @alt grote groote ] publiek , jegens hetwelk men , uit eerbied , altijd de derde persoon moet bezigen , en welks welwillendheid ik , ( die niet weet hoe het t' avond of morgen dit geschrijf onder de [ @alt ogen oogen ] krijgen kan ) bij [ @alt ~dezen~deze dezen ] inroep .
61-1|Het was in [ @alt ~de~den den ] zomer van het jaar 17 .. , dat ik , na een afwezigheid van twee jaren , [ @alt de den ] [ @alt vaderlandse vaderlandschen ] grond weder betrad .
61-2|Een oudoom van mij , die te Leiden woonde , bij wien ik , gedurende mijn academiejaren , dagelijks aan huis verkeerde , en die voor het einde mijner studiën overleed , had mij een vrij aardig sommetje gelegateerd , onder voorwaarde , dat ik daarvoor een reis naar Italiën zoude doen , iets hetwelk bij bij zijn leven altijd hoogstnoodzakelijk placht te stellen om de jeugd te vormen .
61-3|Hij zelf was nooit verder dan [ @alt ~de~den den ] Haag geweest en [ @alt zei zeide ] altijd , dat het hem speet ; ofschoon ik de reden nog niet begrijp , welke hem , die ongehuwd en onafhankelijk was , heeft kunnen terughouden van datgene te doen , wat hij anderen aanprees .
62-1|Verschillende oorzaken hadden medegewerkt om mij langer te doen uitblijven , dan ik oorspronkelijk van [ @alt mening meening ] geweest was , en onder die oorzaken waren de navolgende de voornaamsten .
62-2|[ @alt Tussen Tusschen ] het handelshuis van Bempden van Baaien en Co. te Amsterdam en een ander huis te Livorno , hadden , sedert een [ @alt geruime geruimen ] tijd , over een netelige handelsquaestie , briefwisselingen bestaan , welke tot geen beslissing leidden .
62-3|Daar nu een mijner Tantes in het eerstgenoemde Huis een groot gedeelte van haar vermogen had zitten , schreef zij mij , of ik ook kans zou zien , de zaak gedurende mijn verblijf in Italiën in het effen te brengen .
62-4|Ik had , hij geluk , juist kennis gemaakt met een der [ @alt deelgenoten deelgenooten ] der Livornoosche firma en , bij nog [ @alt groter grooter ] geluk , zijn gunst en vertrouwen gewonnen ; [ @alt zodat zoodat ] ik , minder ten gevolge mijner bekwaamheden als gevolmachtigde , dan omdat ik met een rekkelijk man te doen had , die rede wist te verstaan , volkomen mocht slagen in het ter stand brengen [ @alt ener eener ] schikking , waarmede beide partijen tevreden waren .
62-5|- Hiermede echter was , hoe vlot het ook ging , toch altijd een vrij lange tijd [ @alt verlopen verloopen ] .
63-1|Mij een paar maanden later te Napels bevindende , ontmoette ik [ @alt ~de~den den ] Jonker van Ypendael , een hoogst beminnelijk jongeling , die , even als ik , voor zijn genoegen reisde en wiens kennismaking mij ten uiterste welkom was .
63-2|Wij vormden het besluit , onze reis gezamentlijk voor te zetten .
63-3|In Siciliën overviel hem een kwaadaardige ziekte , welke van [ @alt ~lange~langen langen ] duur werd en waaruit hij slechts langzaam herstelde .
63-4|Het spreekt van zelf dat ik mijn vriend en reisgenoot niet verliet en hem , [ @alt zo zoo ] trouw ik kon , oppaste en verzorgde ; maar dit onvoorziene toeval vertraagde mijn terugkomst opnieuw .
64-1|Des te zoeter was , na een [ @alt zolang zoolang ] uitblijven , ons beider gevoel , toen wij voor het eerst weder , over Munsterland teruggekeerd , de moedertaal , al was het dan ook met [ @alt ~de~den den ] Overijselschen tongval , hoorden spreken ; en met aandoening was ik een dag later getuige van de heuglijke [ @alt vereniging vereeniging ] mijns reisgenoots met zijn familie , die een Ridderhofstad aan gene zijde van Amersfoort bewoonde .
64-2|Ondanks mijn vrij natuurlijke begeerte om mijn weg zonder oponthoud te vervolgen , ten einde hetzelfde geluk te smaken , dat mijn vriend was te beurt gevallen , kon ik zijn dringend aanzoek niet weêrstaan , om nog [ @alt ~die~dien dien ] dag met hem te blijven doorbrengen en deel te nemen in het vrolijke familiefeest , waarop zijn behouden terugkomst gevierd werd en hetwelk volgens de uitdrukking der blijde ouders , niet volkomen zou zijn , indien de reisgenoot van hun zoon er aan ontbrak en zij de gelegenheid moesten missen om mij te bedanken voor de trouwe verzorging van hun Eduard .
64-3|Ik kan niet anders zeggen of , niettegenstaande mijn gedachten meestal te Amsterdam waren , ik deed eer aan het maal en vergastte mij recht op de [ @alt zo zoo ] lang ontbeerde dorperwtjes , op het heerlijk [ @alt rundvlees rundvleesch ] en de geurige fruit , die mij werden toegediend ; want welke [ @alt voordelen voordeelen ] ook de Hoogduitsche keuken moge hebben , ik gaf toch aan [ @alt ~de~den den ] Hollandschen pot de voorkeur en groette elken mondvol , [ @alt ~die~dien dien ] ik nam , met hetzelfde vermaak , waarmede ik een lang gemisten vriend de hand zou gedrukt hebben .
65-1|" Kom , nog een glas borgonje ! " riep mij de oude , dikke landedelman toe , terwijl zijn bolle wangen gloeiden van het geluk dat hem de wederkomst van zijn zoon verschafte , en van de herhaalde offers , aan Bacchus gebracht : " Deze wijn kan u geen kwaad : hij is van het echte merk en niet van die zure clairetwijnen , waar men in mijn jongen tijd niets van af wist , en waarmede men ons nu in de [ @alt kleren kleêren ] wil steken .
65-2|Kom , mijn jongen ! de gezondheid van uw vader !
65-3|Lang moge hij leven , tot heil van Amstels burgerij , en tot handhaving der goede Justitie ! "
66-1|" Van harte gaarne ! " [ @alt zei zeide ] de oudste broeder mijns vriends , zijn glas vullende : " en dat hij er spoedig in moge slagen , [ @alt ~die~dien dien ] gevreesden Zwarten Piet meester te worden , die , gelijk men zegt , de verstrooide bende van wijlen Jaco heeft [ @alt verenigt vereenigt ] en er het Sticht mede afloopt .
67-1|" Wel [ @alt zo zoo ] ! " [ @alt zei zeide ] lachende Eduard , " wilt gij die eer aan onze Stichtsche Baljuwen niet gunnen ?
67-2|Is dat nu een [ @alt wens wensch ] voor [ @alt ~de~den den ] erfgenaam [ @alt ener eener ] Heerlijkheid , welke het recht van [ @alt hoge hooge ] en lage jurisdictie bezit ? - maar genoeg daarvan : Moeder schudt het hoofd en Leentje wordt bleek , wanneer wij [ @alt zo zoo ] van dieven spreken .
67-3|Ik laat [ @alt ~de~den den ] Hoofdschout daar , Ferdinand ! en drink de gezondheid uws vaders . "
68-1|" En [ @alt ~dezen~deze dezen ] dronk , " vervolgde de Baron , zijn geledigd glas weder vullende , " wijde ik uwer brave moeder ! "
69-1|Het was reeds de derde reis , dat de goede man al de leden mijner familie met zijn toasten ( gelijk men die thans noemt ) was rondgegaan : en ik begon te [ @alt vrezen vreezen ] , dat de gezondheid van de mijnen mij nog ziek zoude maken : ik verzocht dus , [ @alt zodra zoodra ] ik mijn glas geledigd had , om verlof , van mij naar mijn kamer te mogen begeven , tot [ @alt verschoning verschooning ] bijbrengende , dat ik [ @alt de den ] [ @alt volgende volgenden ] dag , wilde ik nog met [ @alt ~de~den den ] avond te huis zijn , vroegtijdig vertrekken moest .
70-1|" Het blijft dan uw vast besluit ons morgen te verlaten ? " vroeg de oude Heer .
71-1|" UEd. kan [ @alt zelf zelve ] beöordeelen , of ik mijn vertrek langer mag uitstellen . "
72-1|" De jonge heer heeft gelijk , " [ @alt zei zeide ] mevrouw van Ypendael : " en hoe gaarne wij langer zijn gezelschap zouden willen genieten , mogen wij hem echter niet tegen zijn zin hier houden ; daar wij aan ons eigen hart kunnen gevoelen , hoezeer zijn familie naar zijn terugkomst verlangen moet .
72-2|Wij zonden het ook niet aardig gevonden hebben , indien men onzen Eduard langer van huis gehouden had . "
72-3|- Met deze woorden drukte zij de hand van haar teruggekeerden lieveling .
73-1|" Gij hebt wel gelijk , moeder ! " [ @alt zei zeide ] deze , haar omhelzende : " ik vind mij nu [ @alt zo zoo ] gelukkig : en zou ik dan mijn vriend beletten , dat zelfde geluk [ @alt zo zoo ] spoedig mogelijk te smaken ? "
74-1|" En hoe denkt gij de reis te doen ? " vroeg mij de Baron .
75-1|" Mijn voornemen is , te voet tot Naarden , en verder per schuit te gaan . "
76-1|" Te voet ! " [ @alt zei zeide ] de oude Heer , lachende : " gij zijt , dunkt mij , ook van de leer : haast u langzaam .
76-2|Verbruid ! ware ik in uwe plaats , en de zoon van een [ @alt rijke rijken ] Amsterdammer , ik nam te Amersfoort een wagentje bij Jan Stoffelsz , die rijdt flinke paarden : en dan : voort koetsier ! [ @alt ~de~den den ] zweep er over gelegd en dubbel drinkgeld [ @alt zo zoo ] gij dubbelen spoed maakt . "
77-1|" Ik geloof , " merkte glimlachende de oudste zoon aan , " dat onze vriend Ferdinand een kleine huichelaar is , en als een apostel bij zijn vader te huis wil komen , om hem te doen denken dat hij op zijn [ @alt ganse gansche ] reis [ @alt altijd altoos ] [ @alt zo zoo ] zuinig op zijn équipage geweest is . "
78-1|Ik glimlachte en zweeg ; want ik achtte het [ @alt onnodig onnoodig ] , de ware reden mijner handelwijze bloot te leggen , namelijk dat ik geen geld genoeg meer bij mij had , om de onkosten van een rijtuig te dragen ; want van [ @alt ~de~den den ] laatsten mij gezonden wissel op Munster had ik geen gebruik gemaakt , in [ @alt ~de~den den ] waan , dat hetgeen ik nog aan contanten overig had , toereikende zoude zijn om mij tot Amsterdam te brengen .
78-2|Het bleek mij echter dat ik mij verrekend had ; maar ik was nu te [ @alt trots trotsch ] of te beschroomd om geld van mijn gastheer ter leen te vragen , en evenmin wilde ik een rijtuig op crediet nemen en bij mijn thuiskomst beginnen met mijn vader te verzoeken , het rijtuig te betalen : iets , dat hem voorzeker slechte denkbeelden van mijn wijze van huishouden zou hebben ingeboezemd ; want hij was geen vriend van onnutte geldverteringen ; en ofschoon ik geloof , dat hij bij deze gelegenheid de kosten van een rijtuig zou verschoond hebben , wilde ik echter geen gevaar [ @alt lopen loopen ] van een vermaning .
78-3|Bovendien kende ik [ @alt de den ] [ @alt zandige zandigen ] weg van Amersfoort tot Naarden ; en ondanks [ @alt ~de~den den ] lof , door [ @alt ~de~den den ] Heer van Ypendael aan de paarden van Jan Stoffelsz gegeven , wist ik zeer wel , dat wij de grootste helft stappende zouden afleggen , en dat ik te voet omtrent even spoedig , en zeker op een veel aangenamer wijze , mijn doel bereiken zou .
79-1|" Nu , " [ @alt zei zeide ] de Baron : " een [ @alt mens mensch ] zijn zin , een [ @alt mens mensch ] zijn leven ; - maar het eind is toch wat ver om geheel te [ @alt lopen loopen ] : wij zullen u van hier naar Amersfoort laten brengen !
79-2|... ik denk dat Eduard zich daarmede wel zal willen belasten , [ @alt zo zoo ] ik er hem vriendelijk om verzoek . "
80-1|Dit aanbod was te [ @alt heus heusch ] om afgeslagen te worden .
80-2|Na het drinken van een afscheidsdronk , en nog , tot slotte , van een glas cognacq , hetwelk de Heer van Ypendael zijn slaapmutsje noemde , werd het mij vergund [ @alt ~de~den den ] aftocht te blazen .
