1-1|Multatuli
93-2|Proefje van 't bitter [ @alt lijden lyden ] der deugdzame Amalia .
93-3|Privat en Jouvin met [ @alt huwelijken huwelyken ] en godsdienstige waskaarsen , de palladia der [ @alt zedelijkheid zedelykheid ] .
93-4|[ @alt Bewijs Bewys ] van het fatsoen der Hallemannen , waaruit men tevens kan te weten komen hoe [ @alt eerlijkheid eerlykheid ] [ @alt rijk ryk ] maakt .
94-1|Wouter dacht volstrekt niet aan heldeneeuwen , toen-i heel ongevoelig voor de afwezige schoonheid van 't landschap aan 'n moddersloot kwam , waarover 'n [ @alt onnodig onnoodig ] brugje lag , welks leuning hy uitkoos tot lezenaar , na goed te hebben rondgezien , en zich overtuigd dat-i alleen was , en ongestoord kon overgaan tot het verslinden van z'n [ @alt rover roover ] .
95-1|Ik heb 'n [ @alt ogenblik oogenblik ] [ @alt ~de~den den ] lust in [ @alt mij my ] voelen opkomen , [ @alt ~de~den den ] lezer deelgenoot te maken van Wouter's genot , door 't leveren [ @alt ener eener ] schets van 't [ @alt onsterfelijk onsterfelyk ] werk dat hem [ @alt zo zoo ] boeide .
95-2|Maar , behalve dat ik Glorioso's geschiedenis niet recht ken - wat me trouwens niet volstrekt beletten zou er over te spreke - heb ik u veel andere zaken te verhalen van dringender aard , en ben dus wel genoodzaakt u te [ @alt verwijzen verwyzen ] naar de hartenstraat , in de hoop dat ge daar zult terechtkomen zonder uwen weg te nemen over d'ouwen-brug .
95-3|Laat het u genoeg zyn te weten dat het " heel mooi " was .
95-4|" De deugdzame Amalia , die , [ @alt bij by ] flikkerend toortslicht , aan het treurig sterfbed van [ @alt ~haar~hare hare ] verëerde moeder , in het somber cypressendal , plechtig had gezworen , dat [ @alt ~haar~hare hare ] vurige liefde , voor [ @alt de den ] [ @alt edele edelen ] [ @alt rover roover ] , door het yzingwekkende valluik , en de verroeste ketenen , met derzelver zilte tranen ... kortom , 't was treffend .
95-5|Ook was er meer [ @alt zedelijkheid zedelykheid ] in dan in al die flauwe navolgingen .
95-6|Al de leden der bende waren [ @alt behoorlijk behoorlyk ] getrouwd , en droegen handschoenen .
95-7|In de grot stond 'n altaar met kaarsen , en de hoofdstukken waarin meisjes geschaakt werden , eindigden met eerbare puntjes of geheimzinnige gedachtenstrepen die Wouter vergeefs tegen 't licht hield om er meer van te weten .
96-1|Hy las tot " sterf verrader " .
96-2|Toen was 't donker , en hy begreep dat het [ @alt tijd tyd ] werd 'n eind te maken aan de voorgewende wandeling met de Hallemannetjes " dat zulke [ @alt fatsoenlijke fatsoenlyke ] kinderen waren . "
96-3|Met weerzin sloot hy 't dierbaar boekjen , en liep haastig weg , omdat-i vreesde beknord te worden over z'n lang [ @alt uitblijven uitblyven ] .
97-1|" Hy zou nooit weer permissie [ @alt krijgen krygen ] " werd er [ @alt bij by ] [ @alt zo'n zoo'n ] gelegenheid gedreigd .
97-2|Maar Wouter begreep wel dat dit geen ernst was .
97-3|Daartoe wist-i te goed dat men graag de kinderen " eens van de vloer heeft , als men [ @alt zo zoo ] klein behuisd is . "
97-4|En : " de Hallemannetjes waren [ @alt zo zoo ] buitengewoon [ @alt fatsoenlijk fatsoenlyk ] .
97-5|Ze woonden naast 'n huis met 'n balkon , en hadden onlangs heel lief hun petjes afgenomen . "
98-1|Ik voor [ @alt mij my ] geloof niet dat de Hallemannetjes [ @alt fatsoenlijker fatsoenlyker ] waren dan de andere mannetjes onder Wouters kennissen .
98-2|En daar ik graag reden geef van m'n geloof , wil ik hier 'n voorval [ @alt inlassen inlasschen ] dat iets vroeger had plaats gevonden .
99-1|Wouter ontving geen zakgeld .
99-2|Z'n moeder zei dat hoefde niet omdat hy thuis alles kreeg wat-i [ @alt nodig noodig ] had .
99-3|'t Stuitte hem altyd te moeten wachten op vergunning om " meetedoen " als z'n kameraadjes
100-1|( 10)met [ @alt ~de~den den ] bal speelden , en hem verweten dat hy 't [ @alt zijne zyne ] niet had [ @alt bijgedragen bygedragen ] tot aanschaffing van dat meubel .
100-2|'t Kostte drie duiten in Wouter's [ @alt tijd tyd ] .
100-3|Nu zal 't wel duurder wezen ... neen , [ @alt goedkoper goedkooper ] ... door de staathuishoudkunde .
101-1|En [ @alt bij by ] veel gelegenheden meer had-i verdriet over z'n voortdurende geldeloosheid .
101-2|Later zullen we zien of 't waar was , wat z'n moeder zei , dat-i thuis alles ontving wat hy [ @alt nodig noodig ] had .
101-3|Zéker is het , dat men hem thuis niet de gelegenheid gaf om nu-en-dan over 'n kleinigheid te beschikken naar eigen wil .
101-4|Wat toch [ @alt zo zoo ] heel prettig is voor kinderen .
101-5|En voor [ @alt mensen menschen ] .
102-1|De Hallemannetjes - die [ @alt zo zoo ] [ @alt bijzonder byzonder ] [ @alt fatsoenlijk fatsoenlyk ] waren - gaven hem heel [ @alt duidelijk duidelyk ] te kennen dat het hun verveelde , langer alleen de kosten te dragen van 't verkeer .
102-2|Fransje berekende dat Wouter's vriendschap hun al negen stuivers gekost had - wat ik duur vind , niet om de vriendschap , maar om 't berekenen - en Gus zei dat het nog meer was , maar dat laat ik daar .
102-3|Ook had deze hem vier griften voorgeschoten , welke hy [ @alt nodig noodig ] had om z'n hof te maken [ @alt bij by ] lange Ceciel die niet van hem weten wou omdat i 'n insteekpakje droeg.1 Maar de griften had ze aangenomen , en overgedaan aan Gus voor 'n zoen .
103-1|De bittere [ @alt verwijten verwyten ] der Hallemannetjes - die [ @alt zo zoo ] [ @alt bijzonder byzonder ] [ @alt fatsoenlijk fatsoenlyk ] waren - maakten Wouter wanhopig .
104-1|- Ik heb gevraagd aan m'n moeder , [ @alt zei zeide ] hy , maar ze wil me niets geven .
105-1|- Dat gaat ons niet aan , antwoordden de Hallemannetjes d. z. b. f. w. Je bent 'n klaplooper .
106-1|Wouter hoorde dit woord voor 't eerst , maar begreep het terstond .
106-2|Niets maakt scherpzinniger dan bitterheid van hart .
107-1|- Klaplooper , klaplooper ... ik ben 'n klaplooper !
108-1|Schreiend liep hy heen , en koos 'n omweg om de straat te [ @alt mijden myden ] , waar lange Ceciel's vader 'n lappenwinkel " deed " .
108-2|Och , als ze gezien had hoe hy als 'n klein kind liep te huilen op straat ... zeker , dat was èrger dan de broek boven 't buisje .
109-1|- Klaplooper , klaplooper !
110-1|Hy ontmoette veel [ @alt grote groote ] [ @alt mensen menschen ] die misschien ook klaploopers waren , maar ze huilden er niet om als Wouter .
111-1|- Klaplooper !
112-1|Hy zag 'n diender , en haalde diep adem toen die [ @alt voorbij voorby ] was .
112-2|'t Bevreemdde hem dat de man hem niet gevangen nam .
113-1|- Klaplooper !
114-1|Daar kwam de man van de vuilniskar , die 't woord naklepperde met z'n ratel , 't Was niet uittehouden !
115-1|( 11 )
116-1|Onze arme [ @alt lijder lyder ] herinnerde zich , hoe de Hallemannetjes d. z. b. f. w. hem eens hadden voorgespiegeld welke winst er viel te behalen op 'n kleinhandel in peperment .
116-2|Voor vierentwintig stuivers had men 'n [ @alt grote grooten ] zak vol .
116-3|[ @alt Bij By ] verkoop tegen [ @alt zóveel zóóveel ] stuks voor 'n duit zou 't voordeel enorm wezen , als men maar kapitaal had om te beginnen .
116-4|Dit hadden de Hallemannetjes precies uitgerekend .
116-5|Want ze waren niet alleen [ @alt bijzonder byzonder ] [ @alt fatsoenlijk fatsoenlyk ] , maar knap ook .
116-6|Knapheid en fatsoen gaan meestal samen .
116-7|Maar , hadden ze gezegd , er moest kapitaal wezen .
116-8|[ @alt Zij Zy ] zouden de [ @alt inkopen inkoopen ] doen , [ @alt zij zy ] zouden zich belasten met [ @alt ~de~den den ] verkoop , en als Wouter maar één gulden kon [ @alt bijdragen bydragen ] , was de zaak gezond .
117-1|- Klaplooper ... klaplooper ...
118-1|Wouter stal 'n gulden uit het " knipje " van z'n moeder , en bracht die aan de Hallemannetjes d. z. b. f. w.
119-1|- Hoe kom je 'r aan ? vroeg Gus , maar zorgde dat Wouter geen [ @alt tijd tyd ] had om te antwoorden , en tevens dat-i 't antwoord niet verstond , dat deze gaf door zwygende verlegenheid .
120-1|- Hoe kom je 'r aan - zonder [ @alt vraagteken vraagteeken ] [ @alt alzo alzoo ] - zie , nu zullen Franssie en ik ieder 'n dubbeltje [ @alt bijleggen byleggen ] , dat maakt vierentwintig , en dan [ @alt kopen koopen ] [ @alt wij wy ] de peperment .
120-2|Op de Rozengracht is 'n fabriek ... [ @alt zó'n zóó'n ] zak voor vier schellingen !
120-3|[ @alt Wij Wy ] zullen al de moeite doen , Franssie en ik .
120-4|[ @alt Bij By ] ons op school is meer gelegenheid om te [ @alt slijten slyten ] , weetje !
120-5|Kris Kloskamp heeft er al twaalf besteld - hy zal betalen na de vakantie - [ @alt wij wy ] zullen ons al de moeite getroosten ... jy hoeft niets te doen , Wouter ... en [ @alt gelijk gelyk ] [ @alt delen deelen ] , daar kunje-n-op aan ...
121-1|Wouter ging naar huis , en droomde van ongehoorde winst .
121-2|Hy zou 'n daalder teruggeven in 't knipje van z'n moeder , en voor lange Ceciel 'n potlood [ @alt kopen koopen ] van [ @alt ~de~den den ] man die er gaten mee prikte in 't hout van z'n kruiwagen .
121-3|[ @alt Zó Zóó ] sterk waren ze !
121-4|Dat was wat ànders dan 'n paar griften , dacht-i , en als lange Ceciel hem dan nòg niet wou hebben tot 'n vryertje , dan ... neen , verder dacht Wouter niet .
121-5|Daar zyn op [ @alt ~de~den den ] weg onzer verbeelding afgronden die we niet durven peilen .
121-6|[ @alt Wij Wy ] worden ze instinktmatig gewaar , schrikken terug , sluiten de [ @alt ogen oogen ] , en ... ik weet niet verder .
121-7|Maar dit weet ik , dat Wouter [ @alt ~die~dien dien ] [ @alt avond avend ] heel gelukkig insliep , in de hoop dat-i weldra 'n goed geweten hebben zou over 't bestolen knipjen en 'n voldaan hart over z'n liefde tot lange Ceciel .
122-1|Helaas , helaas , Wouter had gerekend buiten de knapheid en 't fatsoen van de Hallemannetjes !
123-1|[ @alt De Den ] [ @alt volgende volgenden ] dag [ @alt namelijk namelyk ] zochten [ @alt zij zy ] hem op toen-i de school verliet .
123-2|Wouter die zich gevleid had hen te zien [ @alt hijgen hygen ] onder 't gewicht van 'n [ @alt grote grooten ] zak , Wouter die [ @alt zo zoo ] verlangend was te weten of Kris Kloskamp z'n kordate bestelling had volgehouden , Wouter die brandde van nieuwsgierigheid naar [ @alt ~de~den den ] uitslag ... och , hy voelde zich bitter teleurgesteld toen-i Gus Halleman ontwaarde , die niet alleen geen zak peperment droeg , maar bovendien 'n zeer ernstig gezicht meebracht .
123-3|Ook Franssie keek als de deugd .
124-1|( 12 )
125-1|- Wel , hoe staat de zaak ? vroeg Wouter zonder 'n woord te spreken .
125-2|Hy was te nieuwsgierig om niet te vragen , en te angstig om die vraag anders te uiten dan door 't geluideloos openen van z'n mond en 't vooruitsteken van zyn gelaat .
126-1|- Hoor eens , Wouter , we hebben ons bedacht ... er is veel tégen .
127-1|Arme Wouter !
127-2|Daar verongelukten in één schipbreuk z'n geweten en z'n hart .
127-3|Weg , [ @alt dromen droomen ] van [ @alt zedelijke zedelyke ] rehabilitatie , weg , gapend " moeder's knipje " weg , houtborend potlood dat 'n opening klieven zou in 't hart van lange Ceciel ... weg ... weg ... weg ... alles weg !
128-1|- Je [ @alt begrijpt begrypt ] , Wouter , die peperment zou smelten ...
129-1|- Ja...a...a , hikte de arme jongen .
130-1|- En die Kris Kloskamp , die 'r twaalf besteld heeft , weetje ?
130-2|...
131-1|- Ja...a...a ...
132-1|Of Kris ook smelten zou ?
133-1|... hy gaat van-school , en zal zeker niet weerom komen na de vakantie .
134-1|- Zoo...o...o ?
135-1|- Ja , en daarom ... en ook ... we hebben uitgerekend , Franssie en ik , dat er veel minder in 'n pond gaan dan we meenden , omdat de peperment tegenwoordig heel zwaar is , weetje ?
136-1|- Ja , voegde Fransjen er [ @alt bij by ] , met [ @alt ~hoge~hogen hoogen ] ernst als iemand die in levensgevaar 'n " eerst " beginsel verkondigt , ja , de peperment is heel zwaar tegenwoordig .
136-2|Voel eens , maar je moet 't weeromgeven .
137-1|En hy bood Wouter 'n pepermentjen aan , dat deze heel goedmoedig woog op z'n vinger .
137-2|De arme jongen gaf het trouw terug .
137-3|Zwáár vond-i 't ... och , hy was [ @alt zo zoo ] bedrukt , en zou alles zwaar gevonden hebben op dat [ @alt ogenblik oogenblik ] .
138-1|Fransje stak 't zware pepermentjen in z'n mond , en zei , al zuigende :
139-1|- Ja [ @alt wezenlijk wezenlyk ] , heel zwaar ...
139-2|'t is engelsche , weetje ?
139-3|En dan is 'r nog wat ... niet waar Gus ?
139-4|'t Fatsoen !
139-5|Toe Gus , zeg jy 't maar .
140-1|- 't Fatsoen , Wouter ! riep Gus [ @alt bedenkelijk bedenkelyk ] .
141-1|- We [ @alt menen meenen ] 't fatsoen , herhaalde Fransjen , alsof-i wat ophelderde .
142-1|Wouter zag beiden beurtelings aan , en scheen begrip tekort te komen .
143-1|- Zeg jy 't maar , Gus .
144-1|- Ja , Wouter , onze pa is in de diakenie , weetje , en-i gaat rond met 'n zakje , en [ @alt bij by ] ons " op " de gracht ...
145-1|- Ja , riep Fransje , [ @alt bij by ] ons op de gracht ... weetje ... daar woont [ @alt mijnheer m'nheer ] Krullewinkel die 'n buiten heeft ...
146-1|- En 'n balkon ...
147-1|- 't Is maar om 't fatsoen ... weetje , Wouter ?
147-2|En als er huisbezoek komt , dan prezenteert onze mama ...
148-1|( 13 )
149-1|- Ja , dan prezenteert ze madera ... [ @alt heus heusch ] , en onze tabakspot is van zilver ...
150-1|- Né , Franssie ... maar 't is net als zilver , weetje Wouter ?
151-1|De arme jongen zei maar dat-i 't wist , hopende [ @alt eindelijk eindelyk ] te weten te komen wat-i inderdaad niet wist : het verband [ @alt tussen tusschen ] al die dingen en zyn vervlogen hoop .
151-2|Hy stamelde :
152-1|- Ja , Gus ... ja , Franssie ... maar de peperment ?
153-1|- 't Is maar , weetje-n om je te zeggen dat we heel erg [ @alt fatsoenlijk fatsoenlyk ] zyn .
154-1|- Ja .
154-2|Gus .
155-1|- En braaf .
156-1|- Ja...a...a ...
156-2|Franssie !
157-1|Arme Wouter !
158-1|- En daar je zei dat je geen zakgeld [ @alt krijgt krygt ] ...
159-1|- Ja , Wouter , en weetje , omdat onze pa [ @alt zo zoo ] [ @alt fatsoenlijk fatsoenlyk ] is ... als 't winter wordt kan je 't zien , dan gaat-i rond met 'n weesjongen ...
160-1|- Ja , en-i schelt aan al de deuren .
160-2|Nu , daarom zyn we bang dat je ...
161-1|- Dat je ...
162-1|- Die gulden ...
163-1|- Die gulden , weetje ?
164-1|- Dat je 'm niet ...
165-1|- Dat je 'r niet [ @alt eerlijk eerlyk ] aankomt ... dàt is het , zei Fransje , die 'n tweede pepermentjen uit z'n zak haalde en in [ @alt ~de~den den ] mond stak , tot versterking zeker na dat beslissend woord .
166-1|'t Was er uit !
166-2|Arme , arme Wouter !
167-1|- En daarom , Wouter , willen we niet met je mee doen .
167-2|Maar [ @alt gelijk gelyk ] [ @alt delen deelen ] ... dat is afgesproken !
168-1|- Ja , [ @alt gelijk gelyk ] [ @alt delen deelen ] , riep Gus .
168-2|Je [ @alt begrijpt begrypt ] ... [ @alt wij wy ] hebben al de moeite gehad , en daarom ... ziedaar , [ @alt gelijk gelyk ] [ @alt delen deelen ] !
169-1|De Hallemannetjes waren knap .
169-2|[ @alt Gelijk Gelyk ] [ @alt delen deelen ] : ( 20+2×2 ) / 3 = 8 , en [ @alt alzo alzoo ] ...
169-3|Wouter ontving acht stuivers .
170-1|- Weetje , zei Gus , 't is omdat onze pa diaken is .
171-1|- Ja ... en onze tabakspot ... al is 't dan geen zilver , 't [ @alt lijkt lykt ] precies op zilver .
172-1|Op deze waarachtige historie grondt zich myn ongeloof aan de buitengewone fatsoenlykheid van de Hallemannetjes , en ik hel over tot de [ @alt mening meening ] dat dit fatsoen [ @alt eigenlijk eigenlyk ] niets was dan 'n uitvindsel van Wouter's moeder , omdat ze " nauw behuisd " was .
172-2|'t Is de vraag of [ @alt zij zy ] ooit iets [ @alt zo zoo ] [ @alt bijzonder byzonder ] fatsoenlyks in die kinderen zou ontdekt hebben , als ze kans had gezien Wouter met wat nut te gebruiken in 't huishouden.2
173-1|( 14 )
174-1|1 De overgang van [ @alt zo'n zoo'n ] " insteekpakjen " op 't " buisje boven [ @alt ~de~den den ] broek " was 'n enorme sprong , vooral omdat [ @alt daarbij daarby ] 'n vest te-pas kwam , waarvoor [ @alt bij by ] [ @alt zo'n zoo'n ] insteekpakje geen plaats was .
174-2|[ @alt Hierbij Hierby ] [ @alt namelijk namelyk ] was het buisje gesloten , en de broek van alle [ @alt zijden zyden ] daarop vastgeknoopt .
174-3|Of die hierarchie in 't kindertoilet nog bestaat , is me onbekend .
174-4|In Wouter's [ @alt tijd tyd ] speelde ze 'n [ @alt grote groote ] rol .
174-5|En ook jaren daarna .
174-6|Ikzelf heb [ @alt menige menigen ] traan geschreid omdat het " open buis " met [ @alt daarbij daarby ] [ @alt behorend behoorend ] " vest " [ @alt mij my ] [ @alt onmenselijk onmenschelyk ] lang onthouden werd .
174-7|( M. )
175-1|2 In I. 366 [ @alt schrijft schryft ] M. 't ontstaan van veel wetten en zeden toe aan gebrek aan ruimte .
176-1|Verloren suikerpotten en zoekgeraakte [ @alt bijbels bybels ] voor de rechtbank van 't geweten .
176-2|De onmannelykheid der natie , volgens Siegenbeek en andere moralisten .
176-3|De verdiensten en de gebreken van Leentje , beschouwd uit 'n menschenvriendelyk oogpunt .
176-4|Verregaande onkiesheid van de voorprinselyke spelmethode .
176-5|De [ @alt Hollandse Hollandsche ] graven in verband met de [ @alt prijzen pryzen ] van 't [ @alt vlees vleesch ] , en de ongegronde verdenking van Pennewip's eer .
176-6|Leentje's onzichtbaar talent om [ @alt kleren kleeren ] en zielen te herstellen .
177-1|Hoe 't [ @alt zij zy ] met die principe-barende vruchtbaarheid van de nauwte , Wouter kende de vrucht , al was-i niet [ @alt zo zoo ] [ @alt wijsgerig wysgeerig ] ingelicht omtrent [ @alt ~de~den den ] oorsprong .
177-2|Over z'n laat thuiskomen bekommerde hy zich dus niet [ @alt zó zóó ] erg , als over de vreeselyke straf die hem wachtte als men z'n nieuw testament met gezangen zou missen .
177-3|Hy was teruggekeerd van z'n uitstapjen in de Abruzzen , en [ @alt bij by ] z'n terugkeer in Amsterdam viel hem de herinnering aan z'n boosheid - of liever 't voorzien van de straf die er volgen zou op die boosheid - drukkend zwaar op 't gemoed .
178-1|Maar Wouter troostte zich met de bedenking dat-i ditmaal geen vingerhoed had weggemaakt , [ @alt zoals zooals ] laatst .
178-2|Men zou 't Nieuw-Testament niet [ @alt zo zoo ] gauw missen , dacht-i , omdat de Zondag nog vèr was , en in de week zou er niet naar gevraagd worden .
179-1|Nogeens : 't was geen vingerhoed , geen breipen , geen suikerpot , of [ @alt zo zoo ] -iets van [ @alt dagelijks dagelyksch ] gebruik ...
180-1|Toen onze held thuiskwam , verstopte hy [ @alt ~de~den den ] vetten Glorioso achter de latafel van Leentje , van dezelfde Leentje die na [ @alt ~de~den den ] poortsprong z'n broekje herstelde dat [ @alt zo zoo ] gaapte aan de knie , [ @alt zodat zoodat ] z'n moeder 't nooit geweten heeft .
181-1|Ja , ze is ten-grave gedaald zonder kennis aan die gescheurde broek !
181-2|Ik weet niet of " broek " [ @alt mannelijk mannelyk ] is , en heb geen lust het optezoeken , vooral omdat ik 't toch niet [ @alt begrijpen begrypen ] zou , al vond ik " broek , m. " in 'n woordenlystje .
181-3|Onlangs vond ik géén m. achter natie .
181-4|Dat zal 'n scherpe geestigheid van Siegenbeek geweest zyn .
182-1|Of Wouters's broek [ @alt mannelijk mannelyk ] was , weet ik niet , maar Leentje had de scheur geheeld , dat is de waarheid .
182-2|[ @alt Zo Zoo ] heelde ze meer breuken , en ontving daarvoor zeven stuivers in de week , en 's avends 'n boterham .
183-1|Lang na Habakuk , dacht Wouter nog meermalen aan haar deemoedig : " goeien [ @alt avond avend ] , juffrouw .
183-2|Goeien [ @alt avond avend ] , [ @alt mijnheer m'nheer ] en jonge-juffrouwen .
183-3|Goeien [ @alt avond avend ] , Wouter " ... en de rest .
184-1|Want Wouter's moeder heette " juffrouw " om de schoenmakery .
184-2|De jonge-juffrouwen waren z'n zusters , die dansen geleerd hadden .
184-3|En z'n broer was " [ @alt mijnheer m'nheer ] " sedert diens benoeming tot derden ondermeester aan de stads-tusschenschool .
184-4|Hy had toen verlengstukken aan z'n buis gekregen om ontzag inteboezemen aan de schooljeugd , en " Stoffel " paste toen niet langer , meende Wouter's moeder .
184-5|Maar [ @alt ~dezen~deze dezen ] noemde Leentje eenvoudig Wouter , omdat-i nog maar 'n kleine jongen was .
184-6|Ook was hy haar drie stuivers schuldig , of [ @alt eigenlijk eigenlyk ] zes-en-twintig duiten , die hy haar nooit heeft teruggegeven , want toen hy , jaren later , die schuld wilde afdoen , waren er geen duiten meer , en Leentje was ook dood .
185-1|( 15 )
186-1|Dit speet hem zeer , want-i had veel van haar gehouden .
186-2|Ze was foei-leelyk , nogal vuil , en bovendien wat onrecht van leest .
186-3|Ook beweerde Stoffel de schoolmeester , dat ze 'n [ @alt boze booze ] tong voerde .
186-4|Ze zou [ @alt namelijk namelyk ] hebben oververteld dat-i bessen met suiker had gedronken in de Nederlanden .
187-1|Ik wil dit wel [ @alt geloven gelooven ] , maar wat kan men verlangen voor zeven stuivers en 'n boterham ?
187-2|'k Heb hertoginnen gekend met ruimer inkomen , en toch niet aangenaam in [ @alt ~de~den den ] omgang .
188-1|Dat Leentje scheef was , kwam van 't aanhoudend naaien .
188-2|Ze hield het [ @alt ganse gansche ] gezin " heel " en verstond de kunst om een broek , twee buisjes en 'n lakenschen pet te maken uit 'n duffelsche jas , en toch schoten er nog lappen over voor de sous-pieds die Stoffel [ @alt nodig noodig ] had voor z'n examen als sekondant naar de Kaap .
188-3|Dat niet lukte , door 'n fout in Euklides .
189-1|Niemand buiten Wouter was tevreden met Leentje .
189-2|Ik denk dat men bang was haar te bederven door te [ @alt grote groote ] zachtzinnigheid .
189-3|De " jonge-juffrouwen " spraken gedurig van " stand " en " dat ieder op z'n plaats moest [ @alt blijven blyven ] . "
189-4|Dit gold háár .
189-5|Leentje's vader [ @alt namelijk namelyk ] was 'n schoenmaker geweest die achterlapte , en de vader van de jonge-juffrouwen had 'n winkel " gedaan " waarin-i schoenen verkocht die uit Parys kwamen .
189-6|Dit maakt 'n groot verschil .
189-7|Want het is deftiger iets te [ @alt verkopen verkoopen ] dat gemaakt is door 'n ander , dan zelf wat te maken .
190-1|De moeder meende dat Leentje wel wat [ @alt zindelijker zindelyker ] wezen kon .
190-2|Dat juist gemeend was .
190-3|Maar ik kom weer terug op [ @alt ~de~den den ] [ @alt prijs prys ] , en op de moeielykheid van 't [ @alt wassen wasschen ] , voor iemand die geen [ @alt tijd tyd ] , geen zeep , geen ruimte en geen water heeft .
190-4|Duinwater was er nog niet , en al was 't er geweest , het zou toch niet doorgedrongen zyn tot Leentje.1
191-1|Stoffel beschuldigde haar van [ @alt die dien ] [ @alt verkeerde verkeerden ] val in z'n hemdsboordjes , " die [ @alt zo zoo ] [ @alt nadelig nadeelig ] werkte op 't respekt " en klaagde dat ze hem altyd [ @alt zo zoo ] mal aankeek , als-i " [ @alt heren heeren ] had . "
192-1|Dat " [ @alt heren heeren ] hebben " was 'n privatissimum over de leerwyze van Prinsen , die nog niet was uitgevonden , maar door Stoffel werd voorgevoeld .
192-2|Leentje bracht thee [ @alt bij by ] die zaak , en was eenmaal niet geslaagd in 't wegbyten van 'n lach , toen ze Stoffel z'n naam hoorde spellen , en uitvaren tegen 't [ @alt onkiese onkiesche ] ouwerwetsche " esse té " dat dan ook [ @alt lelijk leelyk ] is .
193-1|En dan , die bessen met suiker !
194-1|Aldus had ieder z'n grieven tegen 't arme Leentje .
194-2|Maar Wouter hield veel van haar , en was met niemand buiten haar in huis gemeenzaam , misschien wel omdat de anderen niet van hèm hielden , en hy dus wel genoodzaakt was , of genoopt althans , z'n troost te zoeken [ @alt bij by ] haar .
194-3|Want alle aandoening zoekt 'n uitweg , en er gaat niets verloren , evenmin in de [ @alt zedelijke zedelyke ] als in de [ @alt stoffelijke stoffelyke ] wereld .
195-1|( 16 )
196-1|Wouter's moeder noemde hem : " die jongen . "
196-2|Z'n broers - er waren er meer dan Stoffel - beweerden dat-i [ @alt vals valsch ] en gniepig was , omdat hy weinig sprak en niet van knikkeren hield .
196-3|Maar àls-i wat zei , verweet men hem 'n geheel onbewezen verwantschap met de kat van koning Salomo .
196-4|De zusters verklaarden hem voor " sleets " of " [ @alt sleets sleetsch ] . "
196-5|Ik weet niet hoe ze 't spelden , omdat ik het alleen heb van hooren-zeggen .
196-6|Maar [ @alt bij by ] Leentje kon onze Wouter altyd terecht .
196-7|[ @alt Zij Zy ] troostte hem , en vond het schande dat men niet meer " werk maakte van 'n jongen als hy . "
196-8|Ze scheen dus te hebben ingezien dat-i niet 'n kind was als 'n ander .
196-9|En dit vind ik ook .
196-10|Anders zou ik niet de moeite nemen z'n geschiedenis te vertellen .
197-1|Tot kort na de expeditie naar ouwenbrug , hartenstraat en aschpoort , was Leentje Wouter's [ @alt enige eenige ] vertrouwde .
197-2|Haar liet-i de verzen lezen die versmaad waren door lange Ceciel .
197-3|Haar klaagde hy z'n smart over de onrechtvaardigheid van meester Pennewip , die hèm " [ @alt redelijk redelyk ] " gaf , en " uitmuntend " met 'n krul , aan 't roodharig Keesje .
197-4|Aan Keesje , die geen " som " alleen wist te maken en altyd steken bleef in de [ @alt hollandse hollandsche ] graven .
