1-1|EEN TWAALFTAL SAMENSPRAKEN
45-2|[ @alt ~Zijn~Zijne Zijne ] [ @alt wensen wenschen ] waren : een mak , maar welgebouwd en welgezadeld paard voor hemzelf , om naar regts en links zich vrij te kunnen bewegen ; nog een paard voor [ @alt ~zijn~zijne zijne ] boeken en schrijfbenoodigdheden ; een derde paard voor een vlug en knap bediende , desnoods in staat uit naam zijns meesters [ @alt ene eene ] litterarische boodschap te gaan verrigten ; eindelijk een klein vast inkomen , genoeg om in het onderhoud van knaap en dieren ongestoord te kunnen voorzien , en onverdeeld zich aan [ @alt ~zijn~zijne zijne ] studien te kunnen wijden .
45-3|Voor het overige niemands knecht , niemands afhankelijke huisgenoot , niemands loontrekkend dienaar . ( 22 )
46-1|Gedurende [ @alt de den ] [ @alt gehele geheelen ] namiddag van zijn zeventigjarig leven is deze bescheiden overvloed Erasmus ' deel geweest ; en hij heeft [ @alt ~zijn~zijne zijne ] eenmaal verworven onafhankelijkheid verdedigd met de angstvallige zorg van iemand die bij ondervinding [ @alt de den ] [ @alt bittere bitteren ] bijsmaak van het brood der maatschappelijke ballingschap kende , en hoe zwaar het valt vreemde trappen te beklimmen .
46-2|[ @alt Ene Eene ] nederlandsche Statenvergadering bood wel wat laat hem een eervol geschenk in geld aan ; engelsche vrienden hielpen hem aan [ @alt ene eene ] of meer prebenden ; keizer Karel V benoemde hem tot staatsraad , met vrijheid zijn traktement ( indien het betaald werd ) te verteren op de plaats zijner keus .
47-1|Jaren lang heeft Erasmus op die wijze , eerst bij afwisseling , daarna voor goed , onbezorgd te Bazel kunnen leven ; heeft naar welgevallen zich kunnen verplaatsen ; te Freiburg zich een huis kunnen doen bouwen ; paus Paulus III voor een kardinaalshoed kunnen bedanken ; het zich niet behoeven aan te trekken , dat de inkomsten van een door [ @alt ~die~dien dien ] kerkvoogd hem toegedacht deventersch prioraat hem ontgingen .
48-1|Hadden de krachten slechts toegereikt , zijn middelen zouden in het laatste levensjaar hem niet verboden hebben Besançon als woonplaats te kiezen , en er [ @alt ~de~den den ] bazelschen hervormingsijver te gaan ontwijken .
48-2|Uit [ @alt ~zijn~zijne zijne ] nalatenschap , die zevenduizend dukaten bedroeg , konden de [ @alt algemene algemeene ] armen te Bazel ruim bedacht worden , en goede vrienden tot een aandenken een of ander kostbaar voorwerp ontvangen . ( 23 )
49-1|Heeft Shakespeare het zaliger gevonden een huis en een inboedel te kunnen [ @alt kopen koopen ] ?
49-2|Of was Erasmus gelukkiger iets te kunnen nalaten ?
49-3|Een testament te kunnen dikteren aan een notaris ? ( 24 )
50-1|Wie zich [ @alt ene eene ] voorstelling [ @alt wenst wenscht ] te vormen van hetgeen , toen het zonnetje van [ @alt ~de~den den ] betrekkelijken voorspoed nog door moest breken , Erasmus in [ @alt ~zijn~zijne zijne ] jongelingsjaren uitgestaan en geleden heeft , denke zich een man als onzen voortreffelijken land- en ouderen tijdgenoot Groen van Prinsterer ( sommige portretten van Erasmus en sommige van Groen [ @alt vertonen vertoonen ] een zweem van gelijkenis , ( 25 ) ) en vrage zich hoe het zulk een fijnbewerktuigden geest in een tenger [ @alt lichaam ligchaam ] te moede zou geweest zijn , [ @alt zo zoo ] hij gedurende de eerste veertig levensjaren met [ @alt ene eene ] [ @alt gemene gemeene ] soort van armoede had moeten worstelen ?
50-2|Te moede , ondanks het gunstig verschil [ @alt tussen tusschen ] de maatschappelijke toestanden en hulpmiddelen in de eerste helft der 19de eeuw en de laatste helft der 15de .
50-3|Ondanks het stammen uit een met onderscheiding bekend geslacht , en het niet schrijnen of knagen van als een stigma beschouwde kloostergeloften .
50-4|Enkel onder het dagelijks stuiten van een groot verstand op [ @alt ene eene ] botte omgeving ; van een gevoelig hart op de [ @alt algemene algemeene ] onverschilligheid ; van uitgezochte kundigheden op [ @alt ene eene ] onwetendheid van de ruwste soort .
50-5|Onder het botsen , in één woord , van een schuw en stil ideaal op het walgelijke [ @alt ener eener ] werkelijkheid , die , nachtmerrie bij dag , zulk een geest bovenal van [ @alt ene eene ] lompe en luidruchtige paardemarkt doet [ @alt dromen droomen ] .
51-1|Voor alle mannen met buitengewone gaven die als vondelingen in het leven geworpen worden , is de wereld [ @alt ene eene ] harde leerschool ; het hardst voor mannen met een [ @alt vrouwelijke vrouwelijken ] aard , op wier genie de tegenspoeden , welke andere karakters louteren of sterken , de werking van een hagelslag doen .
52-1|Het hangt zamen met het bijzondere in Erasmus dat de teleurstellingen zijner lange leerjaren niet in staat zijn geweest zijn humeur te bederven , al prikkelden zij in [ @alt hoge hooge ] mate zijn ongeduld .
52-2|In [ @alt ene eene ] eeuw toen alle [ @alt mensen menschen ] in alle dingen met heftigheid partij kozen , en men geen goed burger scheen te kunnen zijn [ @alt zo zoo ] men niet wit of zwart , vierkant vóór of vierkant tegen was , wist hij met ongeëvenaarde geestkracht zich voor uitersten te hoeden en , gelijk hij tot een werelddeel het woord rigtte , een werelddeel te staan .
52-3|De lutheranen hebben hem verweten onverbeterlijk [ @alt rooms roomsch ] , de roomschen meer dan een halve lutheraan te zijn .
52-4|Humanisten hebben hem gehavend als een afvallige , en theologen wegens zijn humanisme hem uitgemaakt voor een libertijn .
52-5|Een filoloog heeft hem gescholden wegens zijn berispen [ @alt ener eener ] ciceroniaansche latiniteit ; en zijn roem was [ @alt latijnse latijnsche ] brieven te kunnen schrijven , fraaijer dan sedert Cicero iemand in Europa gedaan had .
52-6|Een paus aanvaardde de opdragt van zijn Nieuw Testament , en een pausgezind keizer liet door dienaren der Inquisitie de exemplaren ophalen en vernietigen .
52-7|Tijd- en [ @alt landgenoten landgenooten ] van hem zijn levend verbrand wegens het voorstaan van [ @alt meningen meeningen ] die ook de [ @alt ~zijn~zijne zijne ] waren ; en hijzelf zou al [ @alt ~zijn~zijne zijne ] [ @alt meningen meeningen ] verloochend hebben , liever dan één zijner [ @alt medemensen medemenschen ] op het schavot te brengen .
52-8|Geboren Nederlander , was hij tegelijk een geboren kosmopoliet .
52-9|Voortgekomen uit het volk , haatte hij noch het volk , noch de burgers , noch de edelen .
52-10|Gehoorzaam zoon der katholieke kerk , was hij onvermoeid in het plagen harer bestuurders .
52-11|Onkundige monniken waren het schrikbeeld van [ @alt ~de~den den ] gewezen augustijner ; doch hij vond de [ @alt lutherse luthersche ] hagepredikers geen aanwinst voor de beschaving .
52-12|Gekroonde hoofden vereerden hem met [ @alt ~hun~hunne hunne ] vriendschap ; toch ontsnapten zelfs de dragers [ @alt ener eener ] driedubbele niet altijd aan [ @alt ~zijn~zijne zijne ] kritiek .
52-13|Hij was misschien de wijste man van zijn tijd , en zou blijven leven als type van [ @alt ~de~den den ] lofredenaar der dwaasheid .
53-1|Er bestaan van Erasmus , behalve zijn boeken , meer dan achttien honderd brieven . ( 26 ) Geen ander menscheleven der 16de eeuw is in dezelfde mate , uit duizend bijzonderheden , bekend als het [ @alt ~zijn~zijne zijne ] .
53-2|Doch te vergeefs zal men iemand zoeken die meer dan hij een man uit één stuk geweest is ; hetgeen de kunstkenners een rok zonder naad , de manskleedermakers onzer dagen , in de dievetaal der mode , un complet noemen .
53-3|Al [ @alt ~zijn~zijne zijne ] deugden hebben de daarbij [ @alt behorende behoorende ] gebreken tot foelie ; al [ @alt ~zijn~zijne zijne ] gebreken zijn de gebreken zijner deugden .
54-1|Of op welke andere wijze te verklaren dat in [ @alt ~zijn~zijne zijne ] jeugd , ondanks de gevoeligheid zijner zenuwen , de armoede gemakkelijker zijn [ @alt lichaam ligchaam ] dan zijn geest ten onder zou [ @alt gebracht gebragt ] hebben ; en in de dagen zelf van zijn verblijf te Parijs of te Orleans , toen een schamel kosthuis de [ @alt enige eenige ] weelde was die hij zich veroorloven kon , het aandacht schenken aan [ @alt ene eene ] vechtpartij [ @alt tussen tusschen ] [ @alt ~zijn~zijne zijne ] hospita en haar dienstmaagd , hem geen onwaardig tijdverdrijf scheen ?
55-1|Ik doel op een der brieven uit het jaar 1500 of daaromtrent , die , in vakantiedagen uit Nederland aan vrienden in Engeland of Frankrijk , op werkdagen uit Frankrijk aan vrienden in Nederland gerigt , van Erasmus ' toenmalige stemming , en van het ongemeen karakter dat levenslang het [ @alt ~zijn~zijne zijne ] geweest is , ons zulk een goed denkbeeld geven .
56-1|Een geletterd en welgesteld nederlandsch koopman , van wien wij niets anders weten dan dat hij Christiaan heette en een jongere broeder door hem naar Parijs gezonden was om onder Erasmus ' leiding [ @alt ~zijn~zijne zijne ] studiën te voltooijen of aan te vangen , bekomt vandaar nu en dan een schrijven .
57-1|" Ik heb , " meldt Erasmus hem op een keer , " ik heb het buitengewoon druk gehad vandaag .
57-2|Waarmede ? zult gij vragen .
57-3|Antwoord : met het bijwonen [ @alt ener eener ] tooneel- , [ @alt ene eene ] boeijende tooneelvoorstelling .
58-1|" Was het een blijspel , was het een treurspel ?
58-2|Al naar gij het nemen wilt .
58-3|Weet alleen dat geen der spelers dramatisch uitgedost was ; het stuk telde maar één bedrijf ; geen fluiten begeleidden het koor ; de vertooners hadden geen [ @alt hoge hooge ] schoeisels aan , maar gingen barvoets ; er werd niet gedanst ; het [ @alt toneel tooneel ] was de vlakke bodem , mijn eetvertrek het amfitheater .
58-4|Naarmate zij zich verwikkelde werd de handeling spraakzamer , en omstreeks de [ @alt ontknoping ontknooping ] was de luidruchtigheid volkomen .
59-1|" Gij denkt dat ik voor uw amusement [ @alt ene eene ] klucht verzin ?
59-2|Toch niet , Christiaan , ik ben historieschrijver .
59-3|De voorstelling waarvan ik getuige was werd gegeven door [ @alt ~mijn~mijne mijne ] huiswaardin , in tweegevecht met [ @alt ~haar~hare hare ] maarte .
59-4|De klaroen had reeds [ @alt geruime geruimen ] tijd weerklonken vóór de strijd aanving ; ik bedoel , er ging [ @alt ene eene ] heftige woordenwisseling vooraf .
59-5|Op dit gebied stonden zij elkander , en geen van beide partijen behaalde de overwinning .
59-6|De handeling geschiedde in [ @alt ~de~den den ] tuin , terwijl ik voor het venster der eetkamer zwijgend , doch niet schreijend , stond toe te zien .
60-1|" Maar nu de katastrofe !
60-2|Na afloop van [ @alt ~de~den den ] strijd kwam de gedienstige in [ @alt ~mijn~mijne mijne ] zitkamer de bedden doen , en onder een praatje maakte ik haar mijn kompliment dat zij wat kraaijen en schelden aanging [ @alt ~haar~hare hare ] meesteres niets toegegeven had , doch betuigde tevens mijn leedwezen dat zij dapperder scheen in het roeren harer tong dan van [ @alt ~haar~hare hare ] handen .
60-3|Want de waardin , een gespierde virago en athletisch gebouwd vrouwspersoon , had de gewoonte [ @alt ~haar~hare hare ] knoken te doen nederkomen op het hoofd der arme maarte , veel kleiner dan zij .
60-4|Hebt gij geen nagels , vroeg ik haar , dat gij dit geduldig verdraagt ?
61-1|" [ @alt Lachend Lagchend ] antwoordde zij dat het haar minder aan moed dan aan krachten haperde .
61-2|- Denkt gij , vroeg ik , dat het in [ @alt ~de~den den ] oorlog bovenal op krachten aankomt ?
61-3|In iedere militaire ontmoeting is het plan het voornaamste .
61-4|- Zij vroeg welk plan ik haar aan de hand kon doen .
61-5|- De eerste maal dat zij weder de handen aan u slaat , [ @alt zei zeide ] ik , moet gij onmiddellijk haar de muts van het hoofd rukken ( want te Parijs hebben de vrouwen van [ @alt zekere zekeren ] leeftijd de zonderlinge hebbelijkheid zwarte mutsen te dragen ) en haar dan in het haar vliegen .
62-1|" Ik dacht in het minst niet dat zij deze scherts ernstig opnemen zou ; maar 's avonds , tegen etenstijd , kwam een der jonge mannen die met uw broeder en mij in ditzelfde kosthuis wonen , ademloos naar binnen [ @alt lopen loopen ] en riep : Vrienden , [ @alt zo zoo ] gij een bloedige kloppartij wilt zien , komt dan spoedig !
62-2|- Wij repten ons wat wij konden , en vonden onze hospita en haar meid slaags in [ @alt ~de~den den ] tuin .
62-3|Niet zonder moeite scheidden wij haar .
62-4|De stukken getuigden hoe moorddadig de strijd geweest was .
62-5|Hier [ @alt ene eene ] muts , daar een sluijer , de bodem bestrooid met vlokken haar ; [ @alt zo zoo ] meedogenloos waren zij elkander te lijf gegaan .
63-1|" Aan tafel verhaalde de waardin , ten zeerste verbolgen , hoe brutaal de maarte zich gedragen had .
63-2|- Ik wilde haar teregt zetten , [ @alt zei zeide ] zij ( zij meende : ik wilde haar de kracht mijner vuisten doen gevoelen ) , toen zij in een oogwenk mij de muts van het hoofd rukte .
63-3|( Het werd mij duidelijk dat ik niet te vergeefs gesproken had ) .
63-4|En toen , ging zij voort , toen smeet de helleveeg mij de muts in het gelaat ( dit punt was door mij niet aangeroerd ) , en toen , toen trok zij mij hier , en hier , en hier , de haren uit , ziet !
64-1|" Hemel en aarde nam zij tot getuige , nog nooit zulk een boosaardig klein ding in [ @alt ~haar~hare hare ] dienst gehad te hebben .
65-1|Wij vestigden [ @alt ~haar~hare hare ] aandacht op het [ @alt menselijk menschelijk ] : 't Kan [ @alt verkeren verkeeren ] , en op de wisselvalligheid der krijgskansen .
65-2|[ @alt Intussen Intusschen ] [ @alt wenste wenschte ] ik mijzelf geluk dat zij mij niet verdacht zijdelings in de zaak betrokken geweest te zijn , anders zou ik op [ @alt ~mijn~mijne mijne ] beurt ondervonden hebben dat zij [ @alt ene eene ] tong tot [ @alt ~haar~hare hare ] dienst had . " ( 27 )
66-1|Ook bij Dante vindt men ergens zulk een [ @alt toneel tooneel ] geschilderd , en zelfs gaat Dante nog verder ; hij deelt de eigen woorden der kijvenden mede . ( 28 ) Doch Erasmus heeft niet , [ @alt zoals zooals ] Dante op die plaats , een litterarisch bijoogmerk .
66-2|Hij [ @alt vist vischt ] alleen uit [ @alt ~de~den den ] weedom van zijn knechtsbestaan de vermakelijke anekdote en [ @alt tekent teekent ] , met hetzelfde nederlandsch schilderstalent als zijn toekomstige vriend Quinten Metsys het in die dagen de antwerpsche woekeraars doet , twee vechtende parijsche wijven .
67-1|De vrouwen hebben in het volgend leven van Erasmus [ @alt zo zoo ] weinig plaats ingenomen , en hoewel de boeken hem nooit van de gezelligheid konden vervreemden , doet [ @alt nochtans nogtans ] [ @alt ~zijn~zijne zijne ] bekende kamergeleerdheid dit op een afstand [ @alt zo zoo ] natuurlijk schijnen , dat wij van [ @alt ~zijn~zijne zijne ] verpligtingen aan het zwakkere geslacht , de [ @alt keren keeren ] dat die voor de geschiedenis zijner ontwikkeling in aanmerking komen , gaarne melding maken .
68-1|[ @alt Ene Eene ] nederlandsche vrouw uit het volk , [ @alt ~zijn~zijne zijne ] moeder , heeft met liefde over [ @alt ~zijn~zijne zijne ] kinderjaren gewaakt ; [ @alt ene eene ] nederlandsche poortersvrouw [ @alt de den ] [ @alt jonge jongen ] monnik [ @alt ~haar~hare hare ] vriendschap geschonken , en het eerst hem van [ @alt ~zijn~zijne zijne ] medekloosterlingen onderscheiden ; [ @alt ene eene ] nederlandsche edelvrouw het eerst in [ @alt ~zijn~zijne zijne ] toekomst geloofd , en hem ontvangen in haar huis .
69-1|Zij was weduwe en deugdzaam , evenals Bertha van Heyen , maar vele jaren jonger dan deze ; [ @alt ene eene ] vrouw van de [ @alt grote groote ] wereld , min of meer patrones van wetenschappen en letteren ; doordrongen van het besef dat zij [ @alt ~haar~hare hare ] kinderen , en in de eerste plaats haar [ @alt ~enigen~enige eenigen ] zoon , [ @alt ene eene ] waardige opvoeding schuldig was .
69-2|Had het van haar afgehangen , Erasmus ' kansen op lotsverbetering in de moeijelijke jaren van zijn zwerven [ @alt tussen tusschen ] Engeland en Frankrijk zouden niet enkel kansen gebleven , het uitzigt zou [ @alt ene eene ] werkelijkheid geworden zijn .
70-1|Door haar huwelijk met een afstammeling uit het Huis van Bourgondië , zoon eens halven broeders van Karel [ @alt ~de~den den ] Stoute , was Anna van Borssele [ @alt ene eene ] prinses van [ @alt ~de~den den ] bloede , vermaagschapt , toen Erasmus haar leerde kennen , aan [ @alt ~de~den den ] spaanschen troonopvolger Filips [ @alt ~de~den den ] [ @alt Schone Schoone ] ( 1478-1506 ) .
70-2|Haar moeder was [ @alt ene eene ] Bourbon ; haar vader , met of na [ @alt ~de~den den ] abt van Middelburg , eerste edele van Zeeland ; zijzelve , als [ @alt enig eenig ] kind , de erfgenaam van al haar vaders inkomsten en bezittingen als heer van Vlissingen , van Veere , van Cortgene , en verdere plaatsen op de zeeuwsche eilanden .
70-3|[ @alt ~Haar~Hare Hare ] beeldtenis , in half middeneeuwsch- , half renaissance-gewaad , vult nog heden [ @alt ene eene ] der zeven nissen van het fraaije veersche raadhuis , voltooid of aangevangen door haar kleinzoon , Maximiliaan van Bourgondië . ( 29 )
71-1|De geduchte aderlatingen aan welke Karel de Stoute , Maximiliaan van Oostenrijk , Filips van Spanje , als graven van Holland en Zeeland gewoon waren [ @alt ~hun~hunne hunne ] zeeuwsche en [ @alt hollandse hollandsche ] edelen te onderwerpen ; heffingen in geld , in schepen , in troepen , belastingen in [ @alt ~de~den den ] vorm van kostbare opdragten of gezantschappen ; schijnen ten laatste zelfs een [ @alt zo zoo ] aanzienlijk fortuin als dat van Anna's vader , Wolferd VI van Borssele , uitgeput te hebben .
71-2|De schitterende erfdochter aanvaardde [ @alt ene eene ] met schulden bezwaarde nalatenschap . ( 30 )
72-1|Misschien had een tweede huwelijk , met een man van een groot vermogen , al ware het van minder rang of meer leeftijd , alles weder in het gelijk kunnen brengen .
72-2|Doch de dertigjarige weduwe , die in haar eersten echt niet op rozen gesluimerd had , wilde daar niet van [ @alt horen hooren ] .
72-3|Juist in [ @alt ~de~den den ] tijd harer kennismaking met Erasmus , slechts vier of vijf jaren haar oudere , had zij [ @alt ~haar~hare hare ] zinnen op een jonkman van buitengewone schoonheid maar van middelmatige geboorte en weinig inkomsten gezet , [ @alt zekere zekeren ] heer Lodewijk van Montfoort , berooid Adonis .
72-4|Het pleit voor [ @alt ~haar~hare hare ] volharding dat zij ten slotte [ @alt ~de~den den ] man harer keus , [ @alt ~die~dien dien ] zij binnen weinige jaren verliezen zou , als heer van Veere heeft weten te doen huldigen ; doch het [ @alt huwelijk huwlijk ] mishaagde de bloedverwanten van bourgondische zijde zeer .
72-5|Processen en inbeslagnemingen waren het gevolg .
72-6|De schijnbare millionaire was inderdaad betrekkelijk arm . ( 31 )
73-1|Had Erasmus dit alles van het begin af geweten , hij zou , toen een zijner zeeuwsche of noordbrabantsche vrienden gouverneur van prinses Anna's zoontje geworden was en in brieven naar Parijs hem een- en andermaal [ @alt ~de~den den ] lof der moeder en van [ @alt ~de~den den ] knaap gezongen had , zich niet verblijd hebben met [ @alt ene eene ] [ @alt dode doode ] [ @alt mus musch ] .
73-2|Deze hersenschim was de laatste [ @alt grote groote ] teleurstelling zijner jeugd .
74-1|Sedert hij gehoor gegeven had aan de [ @alt uitnodiging uitnoodiging ] der prinses , haar op het kasteel Cortgene een bezoek te komen brengen ; hij aan haar voorgesteld was ; hij van haar beminlijk karakter , [ @alt ~haar~hare hare ] degelijkheid , haar smaak voor de fraaije letteren , [ @alt de den ] [ @alt gunstigste gunstigsten ] indruk ontvangen had en verblind was door [ @alt ~de~den den ] schijn van grootheid harer levenswijze , verbeeldde hij zich dat zij slechts één woord behoefde te spreken om hem tot het ondernemen der vurig begeerde [ @alt Italiaanse Italiaansche ] reis in staat te stellen .
74-2|[ @alt ~Haar~Hare Hare ] gulle ontvangst ; [ @alt ~haar~hare hare ] beloften in [ @alt de den ] [ @alt eerste eersten ] tijd , - toen zij [ @alt zelf zelve ] nog niet wist hoe vijandig de betrekkingen van haar eersten man haar gezind waren , en hoe afhankelijk [ @alt ~haar~hare hare ] nieuwe huwlijksplannen háár maken zouden , - versterkten hem in [ @alt ~die~dien dien ] waan .
74-3|De herinnering der goede dagen , op Cortgene [ @alt doorgebracht doorgebragt ] , liet hem niet weder los .
74-4|[ @alt Ene Eene ] vorstin van [ @alt ~die~dien dien ] rang , gebiedster over [ @alt ene eene ] halve provincie , nicht van [ @alt ~de~den den ] souverein , levend op zulk een voet , scheen hem toe zich in goud te baden .
74-5|Niemand moest het gemakkelijker vallen , niemand aangenamer zijn dan haar , een armen augustijner-monnik met een aanleg als [ @alt ~de~den den ] [ @alt ~zijn~zijne~zijnen zijnen ] en nog zonder betrekking , in de gelegenheid te stellen [ @alt ~zijn~zijne zijne ] studiën te gaan voltooijen .
74-6|Was het niet eervol voor [ @alt ene eene ] nederlandsche edelvrouw de erkende beschermster te [ @alt heten heeten ] van een geleerde , die zich voorbestemd grondlegger der noord-europeesche renaissance gevoelde ?
75-1|Een half dozijn brieven , onder [ @alt de den ] [ @alt verse verschen ] indruk der even snel verijdelde als opgewekte verwachting uit Nederland en uit Parijs geschreven , doen ons van dit jongste maatschappelijk stormpje in Erasmus ' binnenste met belangstelling getuigen zijn .
75-2|Twee of drie zijn gerigt aan [ @alt ~de~den den ] zeeuwschen gouverneur van [ @alt ~de~den den ] [ @alt ~kleine~kleinen kleinen ] Adolf van Bourgondië , Jacobus Battus , vriend van Erasmus ' jongelingsjaren , man van niet gewone bekwaamheden , door [ @alt ~de~den den ] dood weggenomen eer hij [ @alt ~zijn~zijne zijne ] volle maat had kunnen geven . ( 32 ) Een voert het adres van [ @alt ~de~den den ] jongen Mountjoy , Erasmus ' engelschen élève te Parijs . ( 33 ) Een het adres van prinses Anna [ @alt zelf zelve ] .
75-3|Het is een lofdicht in proza , geschreven toen de [ @alt schone schoone ] vooruitzigten nog niet vernietigd waren . ( 34 )
76-1|Moesten wij alleen naar [ @alt die dien ] [ @alt laatste laatsten ] brief [ @alt oordelen oordeelen ] , wij zouden van [ @alt ~de~den den ] stand der zaak geen duidelijke voorstelling , en bovendien noch van Erasmus ' [ @alt ~goeden~goede goeden ] smaak , noch van [ @alt de den ] [ @alt goede goeden ] smaak der prinses , [ @alt ene eene ] gunstige [ @alt mening meening ] bekomen .
76-2|Zulke offers aan de tijdsgelegenheid vormen zelden , na [ @alt zovele zoovele ] jaren , [ @alt ene eene ] aangename lektuur .
76-3|Het is niet natuurlijk [ @alt ~de~den den ] briefvorm te bezigen ten einde [ @alt ene eene ] dame [ @alt ~haar~hare hare ] eigen levensgeschiedenis te verhalen , uit te weiden in [ @alt ~haar~hare hare ] verdiensten als vorstin , als vrouw , als jonge moeder , en de lotgevallen van haar geslacht in herinnering te brengen .
76-4|Nog stijver is het , indien zij bij toeval Anna heet , daarbij de zuster van koningin Dido , de moeder der maagd Maria , en de moeder van [ @alt ~de~den den ] profeet Samuel , om beurten te pas te doen komen .
76-5|Erasmus zelf vond [ @alt ~die~dien dien ] stijl even slecht als wij , en hij heeft voor een keer er zich alleen van bediend , omdat hij zich voorstelde dat het [ @alt zo zoo ] behoorde .
77-1|[ @alt ~Zijn~Zijne Zijne ] eigenlijke [ @alt mening meening ] [ @alt leren leeren ] wij eerst uit de brieven aan Battus kennen ; eenerzijds [ @alt ~zijn~zijne zijne ] levendige hoop dat alles nu goed zal gaan , en tegelijk zeker voorgevoel dat de zaken [ @alt ene eene ] verkeerde wending zullen nemen .
77-2|Het treft hem [ @alt ene eene ] [ @alt zo zoo ] beleefde [ @alt uitnodiging uitnoodiging ] ontvangen te hebben ; en in zijn schroom is hij maar half zeker , ten huize der prinses [ @alt ene eene ] goede [ @alt vertoning vertooning ] te zullen maken .
77-3|Maar het verwondert hem tevens dat zij ten behoeve der reis hem een afgeleefd paard zendt , en als reisgeld [ @alt ene eene ] [ @alt zo zoo ] geringe som dat de kosten daarmede onmogelijk goedgemaakt kunnen worden .
77-4|Kan warmte het einde zijn van zulk een koel begin ? vraagt hij zich af .
78-1|Na de persoonlijke kennismaking is hij opgetogen over [ @alt ~haar~hare hare ] wellevendheid , [ @alt ~haar~hare hare ] vriendelijkheid , [ @alt ~haar~hare hare ] goedhartigheid .
78-2|Zij belooft hem een jaargeld van twee honderd gouden franken ; en hij twijfelt niet of Battus zal , opdat hij alvast naar Italië vertrekken kunne , haar weten te bewegen hem een wissel van dat bedrag op een parijsch huis te doen zenden .
78-3|Hij is bezig de eerste uitgaaf zijner Adagia ( achthonderd grieksche en [ @alt latijnse latijnsche ] spreekwoorden , toepasselijk uitgebreid ) voor de pers gereed te maken .
78-4|Zijn plan is , dat boek op te dragen aan haar zoontje Adolf .
78-5|Hij korrespondeert onderwijl met haar in het fransch ; ongetwijfeld [ @alt vrezend vreezend ] dat te veel latijn haar afschrikken zal .
78-6|Maar een vol jaar verloopt , en hij bekomt niets .
79-1|Zonder afgunst verneemt hij dat Battus [ @alt intussen intusschen ] een [ @alt andere anderen ] jongen Nederlander aan haar voorgesteld , en zij ook [ @alt ~dezen~deze dezen ] minzaam ontvangen heeft .
79-2|Die andere , Willem van Gouda , is een voormalig stadgenoot en mede-kloosterling , een talentvol dichter , een boezemvriend . ( 35 ) Het pleit , erkent Erasmus , voor het oordeel der prinses , behagen in hem te vinden .
79-3|Maar het zou hem niettemin leed doen , [ @alt zo zoo ] hijzelf [ @alt ~die~dien dien ] ten gevolge moest achterstaan ; en hij is niet overtuigd dat vriend Willem , die , als dichters zijn , gaarne in gezelschap gaat en een goed glas drinkt , van [ @alt ~haar~hare hare ] gaven een even nuttig gebruik zal maken als door hem gedaan zou zijn .
80-1|Battus schrijft naar Parijs dat de financiën der prinses niet in [ @alt ~de~den den ] bloeijendsten staat [ @alt verkeren verkeeren ] ; en over niet [ @alt ~lange~langen langen ] tijd , bij een nieuw bezoek aan Zeeland , zal Erasmus persoonlijk zich kunnen vergewissen dat dit helaas geen verzinselen zijn .
80-2|Hij zal dan bevinden dat [ @alt ~haar~hare hare ] goederen op hoog bevel zijn gesequestreerd , haar persoon onder toezicht is gesteld , en zij veeleer in de termen valt onderstand te ontvangen dan te [ @alt verlenen verleenen ] .
80-3|Doch aanvankelijk , nog onder [ @alt ~de~den den ] indruk van [ @alt ~de~den den ] staat [ @alt ~die~dien dien ] zij voert , houdt hij dit voor praatjes , en schrijft [ @alt ~haar~hare hare ] verlegenheid hieraan toe dat zij ter wille van [ @alt de den ] [ @alt jonge jongen ] bruidegom , [ @alt ~die~dien dien ] zij liefheeft , buitensporige verteringen maakt .
