1-1|INDISCHE MENSCHEN IN HOLLAND .
92-5|Zij werden nu begeleid door een neefje van Hortense , een [ @alt jongmens jongmensch ] uit Arnhem met een bloemzoet gezicht en hoogst affabele manieren , doch in de [ @alt ogen oogen ] van Louise , die verzot was op [ @alt ~groten~grote grooten ] chic , niet veel meer dan een heerenboertje .
92-6|Toen haar naam werd afgeroepen , bracht neef André de dames naar haar coupé en nam hij afscheid .
93-1|" Ik heb me gruwelijk verveeld van avond , " zei Louise , haar sortie nauwer aanhalend en tegen de zacht geelzijden doffen leunend .
94-1|" En ik dan ! " geeuwde Hortense uit het andere hoekje .
95-1|De fraai geornamenteerde lantaarns aan het hek van [ @alt ~de~den den ] tuin brandden en de jonge gitzwarte paarden sloegen vonken uit [ @alt ~de~den den ] bestraten toegangsweg .
95-2|En nauwelijks stond het rijtuig stil of de deuren onder de koetspoort vlogen open , en in een stroom van zacht goudgeel licht uit de albasten
96-1|( 17 ) lampen , beklommen ze de marmeren trap van [ @alt ~de~den den ] corridor .
97-1|" Bonsoir ! " zei Louise , stilstaand voor de deur van Hortenses kamer en haar de wang toestekend .
98-1|De stiefdochter drukte er even haar lippen tegen .
99-1|" Wel te rusten ! " zei ze , haar kamer binnengaande .
100-1|Er moest een einde aan komen , - dàt was mevrouw Van Velton met zichzelve eens .
100-2|Zulk een saai leven , ondanks haar groot vermogen en weelderige levenswijze slechts verveling brengende , wilde zij op [ @alt ~de~den den ] duur niet leiden .
100-3|Papa zag men alleen aan het ontbijt en bij het diner ; voor de rest ging hij geheel op in haar kind , zijn [ @alt ~enigen~enige eenigen ] kleinzoon , waarvan zij [ @alt intussen intusschen ] meer en meer vervreemdde .
100-4|Het was reeds [ @alt zó zóó ] ver , dat de oude heer [ @alt jaloers jaloersch ] werd en boos , als zij zich zelfs maar met de [ @alt kleding kleeding ] van 't [ @alt jongetje jongske ] bemoeide ; 't was zijn afgod , en ofschoon [ @alt fysiek physiek ] een allerliefst ventje , een naar , vervelend , bedorven kind , dat altijd zijn zin moest hebben .
100-5|Hortense ... . neen maar die was à propos van verveling een wereldwonder !
100-6|Die zeurde nu niet met haar kind , dat evenwel heel aardig en lief werd , [ @alt zo'n zoo'n ] bleek wurm als het in Indië was , maar die zeurde over haar man .
100-7|En dat was nu juist voor Louise geen aangenaam onderwerp .
100-8|Niet dat zij thans nog iets hoegenaamd om hem gaf !
100-9|Wat zij voor hem gevoeld had , en wat nog een [ @alt ogenblik oogenblik ] bij haar laatste bezoek te Batavia hel had opgeflikkerd , was thans voor goed gestorven , en zij had overigens , hoewel weduwe , weinig behoefte aan een huwelijk of aan omgang met een man , schoon ze gevoelig was voor vleierij en wel hield van een aardigheid .
100-10|Maar [ @alt zo zoo ] mooi ze overigens was , [ @alt zo zoo ] lief en levenslustig zij er uit zag , [ @alt zo zoo ] koket zij wezen
101-1|( 18 ) kon en [ @alt zo zoo ] schijnbaar hartstochtelijk soms haar [ @alt grote groote ] zwarte [ @alt ogen oogen ] gloeiden , [ @alt zo zoo ] rustig en normaal werkte haar gestel , dat trouwens in haar eerste huwelijk niet was verwend .
101-2|Zij had haar gevoel onder bedwang .
102-1|De altijd [ @alt enigszins eenigszins ] vermoeid uitziende Hortense daarentegen , met haar rustig onverschillig gezicht en kalmen oogopslag , leed geweldig onder de afwezigheid van Fournier .
102-2|Nacht en dag stond hij haar voor [ @alt ~de~den den ] geest ; zij had hem reeds lang vergeven , dat hij haar bedrogen had , door zijn vroegere verhouding tegenover haar stiefmoeder voor haar te verzwijgen .
102-3|Naderhand , toen ze alles wist , vond zij het weinig , alleen rekenend met [ @alt ~de~den den ] uitslag , niet met het doel .
102-4|'t Was een kinderachtigheid geweest , een vergissing vond ze ; en eenmaal uitgemaakt hebbende , dat het niet meer was , achtte zij het de moeite niet waard er verder over na te denken .
102-5|En nu streed de arme Hortense een [ @alt zware zwaren ] strijd tegen haar isolement .
102-6|Zij ging , toen ze uit de opera kwamen , eens kijken in de kinderkamer , - de kleine sliep als een roos , en in het ledikant naast het kinderbedje deed de bonne hetzelfde .
102-7|'t Was alles stil en rustig in het [ @alt grote groote ] huis .
102-8|Langzaam en zuchtend ontkleedde zij zich , nam een boek en ging aan de tafel zitten lezen ; daarmede verzette zij zich tant bien que mal , en tot laat in [ @alt ~de~den den ] nacht verslond zij boeken , haar best doende [ @alt zoveel zooveel ] mogelijk belang te stellen in de handelende personen , tot ze , doodmoe , naar bed ging en dadelijk insliep .
103-1|'t Was een koude , heldere ochtend , [ @alt de den ] [ @alt volgende volgenden ] dag ; de wind woei hardnekkig uit [ @alt dezelfde denzelfden ] guren hoek , maar de grauwe wolkenmassa was weggedreven ; de zon scheen
104-1|( 19 ) [ @alt vrolijk vroolijk ] en vriendelijk aan de staalblauwe , strakke lucht ; haar reeds [ @alt bleker bleeker ] schijnend licht verguldde de gele uiteinden der met zacht [ @alt geruis geruisch ] over 't Plein dwarrelende bladeren .
105-1|Zij ontbeten nog in de tuinkamer .
106-1|" Het is zulk lekker weer ; we moesten eens naar Scheveningen rijden , " meende Louise .
107-1|" Ga gerust je gang ; maar ik blijf thuis met het kind , " zei dokter Van der Linden , nu reeds met een [ @alt bezorgde bezorgden ] blik op zijn kleinzoon .
108-1|" U zult hem nog [ @alt helemaal heelemaal ] verwennen . "
109-1|" Laat dat maar aan mij over !
109-2|Ik ga met hem spelen in [ @alt ~de~den den ] tuin .
109-3|Rijdt jullie maar naar [ @alt ~de~den den ] zeekant ; wij hebben hier zeewind genoeg . "
110-1|Doch Hortense wilde wel , en ze hadden reeds orders gegeven om in te spannen , toen de knecht een paar visitekaartjes binnenbracht .
111-1|" God , hoe vervelend ! " zei Louise .
111-2|" Natuurlijk weer Indische lui . "
112-1|Voor één presentabele [ @alt Haagse Haagsche ] jonkersfamilie had zij gaarne 't [ @alt hele heele ] visschersdorp ook als badplaats een jaar lang willen ontberen .
113-1|Het waren kennissen uit Indië .
113-2|Zij had hun namen gelezen onder de passagiers der [ @alt Franse Fransche ] mail , en had wel gedacht , dat ze [ @alt ~de~den den ] een of anderen dag haar voor [ @alt ~de~den den ] neus zouden staan .
113-3|Nu kwamen ze al heel ongelegen , maar enfin ! ze moesten maar in de ontvangkamer worden gelaten , waar mevrouw Van Velton een [ @alt ogenblik oogenblik ] later , met een gezicht stralend van genoegen en een [ @alt vriendelijke vriendelijken ] lach op de lippen , hen verwelkomde .
114-1|De twee [ @alt heren heeren ] behoorden niet tot 's lands dienst ; de een ,
115-1|( 20 ) 's lands welvaren in persoon , was Mr. Mourant , advocaat , en de ander met het uiterlijk van een leverlijder , heette Veninga en was planter .
115-2|Beiden bezaten een aardig fortuintje , maar de advocaat had met pleiten toch niet half [ @alt zoveel zooveel ] verdiend als de planter met koffie-oogsten .
115-3|[ @alt Zo Zoo ] de [ @alt heren heeren ] van [ @alt dezelfde denzelfden ] leeftijd waren , - de dames scheelden veel in dat opzicht ; mevrouw Mourant liep naar de veertig en zag er in uiterlijk schoon zeer gewoon Indisch uit ; wel kon men 't haar aanzien , dat zij een zeer intellectueel ontwikkelde vrouw was , maar al mocht mevrouw Veninga op dit laatste niet bogen , toch stelden haar [ @alt grote groote ] schoonheid en haar twintig jaren de oudere vriendin ver in de schaduw ; die deden zelfs afbreuk aan de mooie Louise en dat voelde zij toen ze binnenkwam en het jonge vrouwtje in een snoeperig reiskostuum haar om [ @alt ~de~den den ] hals vloog en hartelijk kuste .
116-1|" We zijn nog heel vreemd in patria , " zei Mourant lachend .
117-1|" Het is al [ @alt zo zoo ] vèr in het seizoen , " meende Louise .
118-1|" Dat is het ook , " gaf Veninga toe , " en we zouden ook gewacht hebben tot [ @alt de den ] [ @alt volgende volgenden ] zomer , als mijn gezondheid het had gepermitteerd ! "
119-1|" En 't is erg lief van de Mourant's - vindt u niet ? - dat ze hun vertrek uit Indië om onzentwil hebben vervroegd . "
120-1|" Och , " zei mevrouw Mourant , " Jet overdrijft dat ; wij hebben elkaar [ @alt zo zoo ] lang gekend ; zij zijn , dat weet je , uit ons huis getrouwd , en als kind was ze altijd bij ons thuis ... . "
121-1|" Toch vind ik het erg hartelijk , " viel Louise met haar liefsten glimlach in , en [ @alt intussen intusschen ] dwaalde haar vlugge blik over dat viertal , waarvan twee der dames naast haar zaten op de ottomane , en Veninga zich vermoeid had neergevleid
122-1|( 21 ) in een leunstoel , terwijl Mourant achter [ @alt ~die~dien dien ] stoel staande met de armen rustend op de leuning en een glimlach om [ @alt ~de~den den ] mond naar de dames keek , nu en dan zich met een gepast woord in het gesprek mengend .
122-2|En er lag [ @mwu zoo iets ] meesterachtigs en cynisch in [ @alt ~die~dien dien ] glimlach , dat Louise er zich inwendig boos over maakte en de wenkbrauwen samentrok .
123-1|Er werd een glas morgenwijn rondgediend , en Veninga , die geen idéetje van spiritualiën aandurfde , uit vrees voor zijn lever , dronk een glas soda-water .
123-2|Al pratende en zich , ondanks zichzelve , weer warm makend over wat sedert haar vertrek in bekende families was voorgevallen , vloog voor mevrouw Van Velton de tijd voorbij .
124-1|" We moeten nu weg , anders komen we niet op tijd , " zei Mourant , op zijn horloge ziende .
125-1|" Blijft u dan niet hier ? " vroeg Louise .
126-1|Hij zag eens rond .
127-1|" We hadden afgesproken terug te gaan naar Amsterdam .
127-2|[ @alt Voorlopig Voorloopig ] namen we onzen intrek in het Amstel-hotel .
127-3|Daarna denken we hier te komen . "
128-1|Mevrouw Veninga was reeds opgestaan .
129-1|" En we gaan nu terug naar Amsterdam , " zei ze op een toon , die duidelijk aangaf , dat nu het itinéraire onherroepelijk was vastgesteld .
130-1|Men nam hartelijk afscheid .
131-1|" Die vervelende lui , " klaagde Louise toen ze terugkwam bij Hortense , die [ @alt dromerig droomerig ] voor zich uit zat te kijken met de handen in [ @alt ~de~den den ] schoot en zeker aan Fournier dacht : " die vervelende lui hebben me verschrikkelijk opgehouden .
131-2|Het is nu te laat om naar Scheveningen te gaan . "
132-1|( 22 )
133-1|" Och , " antwoordde Hortense , als ontwakend : " 't kan me eigenlijk ook niets schelen . "
134-1|" Ik heb , " ging ze voort , toen ze zag dat Louise zich ergerde aan haar verregaande onverschilligheid , " hen even in 't rijtuig zien stappen .
134-2|Ze zagen er netjes uit . "
135-1|" O ja !
135-2|Ze zijn in Amsterdam [ @alt mens mensch ] geworden .
135-3|Ik heb [ @alt zo zoo ] gelachen om het verhaal van [ @alt ~die~dien dien ] Mourant .
135-4|Het is een naar , pedant heer , maar hij praat wel aardig . "
136-1|" Wat was het ? "
137-1|" Och , the old story : ze hebben nette familie te Amsterdam , een beetje stijf en vervelend , maar die toch goed meeleven .
137-2|Nu , zij hadden zich maar vast in Indië van [ @alt Europese Europeesche ] [ @alt klederen kleederen ] voorzien , en meenden dat ze poes mooi waren . "
138-1|" Die is aardig ! "
139-1|" Nietwaar ?
139-2|Wel , ze begrepen er niets van , toen hun in vertrouwen verteld werd , dat ze zich moesten laten [ @alt kleden kleeden ] , want dat niemand van de familie zich op straat met hen durfde [ @alt vertonen vertoonen ] .
139-3|Ha , ha !
139-4|Aardig , ja ! "
140-1|Ook Hortense vond het erg grappig en lachte hartelijk mee .
141-1|" Waarom heb je een hekel aan [ @alt ~die~dien dien ] meneer Mourant ? "
142-1|" Ik ... . ik ... . kan het je haast niet zeggen , Stance !
142-2|Het is misschien heel [ @alt lelijk leelijk ] , maar ik vermoed iets ... . "
143-1|Hortense keek op ; zij zou geen vrouw moeten geweest zijn om tegenover onuitgesproken vermoedens geen nieuwsgierige belangstelling of belangstellende nieuwsgierigheid aan [ @alt ~de~den den ] dag te leggen .
144-1|" Zeg het maar , " drong ze aan , en met een uitdrukking op 't gezicht , die gebrek aan vertrouwen verweet , voegde ze er bij ... .
144-2|" onder ons ! "
145-1|( 23 )
146-1|" Hij heeft iets in zijn gezicht en in zijn manieren ; iets waarvoor ik geen naam weet , maar dat elke parvenu , die niets gewoon is , over zich heeft als hij op zijn manier een conquête heeft gemaakt .
146-2|Men kan 't hem aanzien , dat hij het wel zou willen uitschreeuwen van de daken ; dat hij er in stikt , en het springt te meer in het oog , naarmate hij haar behandelt , alsof er niets ... . niets ... . "
147-1|" Maar dàt is nu toch 'n beetje erg !
147-2|Mijn hemel , ik zou niet graag [ @mwu zoo iets ] [ @alt beoordelen beoordeelen ] op [ @alt zo'n zoo'n ] manier !
147-3|Je hebt 'n hekel aan [ @alt ~de~den den ] man , en dat is , geloof ik , alles !
147-4|En nu maar te denken , dat hij [ @alt ~die~dien dien ] armen zieken Veninga ... . "
148-1|" En toch is het [ @alt zo zoo ] , of bijna [ @alt zo zoo ] !
148-2|Geloof me , Stance , men begrijpt en gevoelt zulke verhoudingen 't best bij intuïtie .
148-3|Er zijn onder die vier [ @alt mensen menschen ] bedriegers en bedrogenen .
148-4|Daar zou ik mijn hoofd op durven geven . "
149-1|Er werd een groot pakket binnengebracht .
149-2|Het knappe werkmeisje , koket gekleed en met een heel air , [ @alt ~lei~lag~legde lei ] het op de tafel en zei nonchalant-weg :
150-1|" [ @alt Alsjeblieft Asjeblieft ] , mevrouw , de mijl , " - [ @alt zo zoo ] scherp , alsof 't woord mail met zes lange ij's werd geschreven .
151-1|Mevrouw Van Velton verroerde zich niet , maar keek met [ @alt bozen boozen ] blik de netgebouwde figuur der dienstbare fee na , die met een trippelpas de kamer verliet in een paars japonnetje , dat haar als geschilderd aan 't lijf zat , iets wat kapitein Roos in verrukking zou hebben gebracht .
152-1|Louise ergerde zich geweldig aan de vrouwelijke dienstboden .
152-2|De mannen waren beleefd en onderdanig , vond ze , maar de meisjes haatte ze , en ze bleef er altijd een beetje bang voor .
152-3|Die hadden ook iets in haar houding en manieren ,
153-1|( 24 ) dat sprak , en een [ @alt zo zoo ] scherpzienden blik als die van mevrouw Van Velton-Van der Linden ontging het niet , dat haar vrouwelijke bedienden voor haar niet de deferentie betoonden , als zij waarnam dat in echt [ @alt Hollandse Hollandsche ] voorname families aan [ @alt ~de~den den ] dag werd gelegd .
153-2|En of zij al vorstelijke [ @alt lonen loonen ] betaalde , - het baatte niet .
153-3|Het was , integendeel , of de schepsels insolenter werden , naarmate ze meer geld verdienden .
154-1|Zenuwachtig had Hortense het pakket losgemaakt , de couranten ter zijde geworpen en , onder de brieven grabbelend , er een uitgehaald ; ze scheurde er haastig 't couvert af en verslond [ @alt ~de~den den ] inhoud .
154-2|Langzaam naderde Louise de tafel .
154-3|'t Kon háár [ @alt zo zoo ] bitter weinig schelen , wat de post bracht !
154-4|'t Waren meest brieven over haar geldzaken , en die gaf ze ongelezen aan haar vader , of enkele korte episteltjes van oude vriendinnen , kennisgevingen van huwelijken en overlijden , en [ @alt zo zoo ] - enfin , dingen , waarin zij slechts matig belangstelde .
155-1|Ze liet ze één voor één onverschillig door de handen gaan .
156-1|" Hij komt ! hij komt ! "
157-1|'t Was een juichtoon , [ @alt zó zóó ] luid , dat Louise er van schrikte .
158-1|" Hij komt ! " riep Hortense nog eens , [ @alt ~de~den den ] brief als een zegeteeken boven haar hoofd houdend , met een kleur op de wangen en licht in de [ @alt ogen oogen ] , wat haar altijd [ @alt zo zoo ] mooi maakte .
159-1|" Het is jammer , Stance , dat je niet altijd [ @alt zo zoo ] verheugd bent .
159-2|Als je eens wist hoe goed het je staat ! "
160-1|" Hij kan al over een week of drie hier wezen .
160-2|God , hoe heerlijk ! "
161-1|En in de overstelping harer blijdschap kuste ze Louise telkens en telkens weer .
162-1|( 25 )
163-1|" Ik ga hem halen van Marseille , " riep ze : " wat een heerlijke winter zal dat zijn ! "
164-1|'t Deed [ @alt ~haar~hare hare ] jonge stiefmoeder pijnlijk aan .
164-2|Niet om Fournier ; maar zij benijdde Hortense , die [ @alt zo zoo ] gelukkig kon zijn om 't vooruitzicht van hereeniging .
164-3|Was dat geluk , en zou zij , die dat nooit had gesmaakt , ook nimmer te weten komen , wat het was ?
165-1|En [ @alt intussen intusschen ] dacht Hortense hardop ; ze sprak nu in tien minuten meer dan anders vaak in een [ @alt hele heelen ] dag ; ze maakte allerlei vooronderstellingen en verwierp die weer ; hij zou toch wel [ @alt telegraferen telegrapheeren ] , of neen , dat zou hij niet , want hij zou haar verrassen ; zij zou het wel tijdig lezen in de passagierslijsten , tenzij hij voor de grap zijn naam niet liet [ @alt publiceren publiceeren ] .
165-2|Zou hij dadelijk naar [ @alt ~De~Den Den ] Haag komen en bij haar zijn intrek nemen , of zouden ze eerst een reisje doen door Italië en [ @alt Duitsland Duitschland ] ?
165-3|Zij gaf zichzelve taal en antwoord , en toen zij nog met [ @alt ~de~den den ] brief in de hand , [ @alt vrolijk vroolijk ] en opgewonden naar haar kamer ging , hoorde Louise haar zingen - voor de eerste maal sedert zij daar woonden !
166-1|In eentonige regelmaat tikte zacht de slinger der pendule , die een marmeren Phryne , in verleidelijke houding haar [ @alt schone schoone ] lijnen [ @alt tonend toonend ] , omhooghield ; [ @alt tussen tusschen ] de donker damasten gordijnen drong flauw het weemoedig licht van [ @alt ~de~den den ] dalenden najaarsdag ; Louise leunde met [ @alt ~de~den den ] elleboog op de tafel en keek naar buiten zonder te zien ; zij voelde zich [ @alt zo zoo ] verlaten , [ @alt zo zoo ] heel , heel erg alleen !
166-2|Was er dan niets voor haar op de wereld ?
166-3|Volstrekt niets ?
166-4|Niets wat ze [ @alt zó zóó ] liefhad , dat ze er voor leefde , en dat haar gelukkig kon maken ?
166-5|Er welde als het ware iets op in haar binnenste , iets dat haar verschrikkelijk
167-1|( 26 ) benauwde ; zij voelde dat het zou losbarsten met teugellooze kracht , en ze vloog de kamer uit , de trappen op , naar de vertrekken van [ @alt ~de~den den ] dokter , - die waren eenzaam ; haar vader noch haar kind waren er , maar door het venster zag ze hoe de erg verouderde dokter in het zweet zijns aanschijns samen met njo een toren bouwde in [ @alt ~de~den den ] tuin van aarde en [ @alt stenen steenen ] , en hoe ze zich allebei kolossaal amuseerden , hij , met zijn weinige zilverwitte haren , 't [ @alt jongetje jongske ] met [ @alt ~de~den den ] dichten blonden krullebol .
167-2|Ook die twee hadden elkaar lief en leefden voor elkaar .
167-3|En zij was voor niemand iets , gelijk niemand iets was voor haar .
167-4|Ging er dan zulk een afstootende kracht van haar uit , [ @alt zó zóó ] , dat alles van haar vervreemd raakte : moederliefde , kinderliefde , de liefde ... .?
167-5|De [ @alt grote groote ] opwelling van smart , die haar daareven haast had doen stikken , kwam niet tot een uitbarsting ; slechts zuchtte zij diep en streek haar donker fraai gevormd handje over haar voorhoofd .
