1-1|Jules Verne
136-2|" Ziedaar [ @alt ene eene ] rij van honderd twee en dertig letters , die zich in [ @alt ene eene ] schijnbare wanorde voordoen .
136-3|Er zijn woorden , waarin alleen medeklinkers voorkomen , [ @alt zoals zooals ] het eerste " m.rnlls , " andere , in tegendeel , met veel klinkers , b.v. het vijfde " unteief , " of het voorlaatste " oseibo . "
136-4|Die schikking nu is blijkbaar niet willekeurig ; zij is op wiskunstige gronden ingegeven door de onbekende reden , die de opeenvolging dezer letters heeft geregeld .
136-5|Het is dunkt mij zeker , dat de oorspronkelijke volzin regelmatig is opgeschreven en daarna omgekeerd volgens [ @alt ene eene ] wet , die ik moet ondekken .
136-6|Wie [ @alt ~de~den den ] sleutel van dit geheimschrift bezat , zou het vlug lezen .
136-7|Maar welke is die sleutel ?
136-8|Axel ! hebt gij [ @alt ~die~dien dien ] sleutel ? "
137-1|Gräuben was een lieve blonde deern .
138-1|Op die vraag antwoordde ik niets en wel om de volgende reden .
138-2|Mijn oog was gevallen op een lief portret , dat aan [ @alt ~de~den den ] muur hing , het portret van Gräuben .
138-3|De pupil van mijn oom was toen te Altona bij [ @alt ene eene ] harer bloedverwanten , en [ @alt ~haar~hare hare ] afwezigheid maakte mij zeer treurig ; want , ik mag het nu bekennen , het lieve meisje en de neef van [ @alt ~de~den den ] professor beminden elkander met al het geduld en al de bedaardheid van [ @alt Duitsers Duitschers ] ; wij waren verloofd buiten weten van mijn oom , die te zeer geoloog was om dergelijke gevoelens te begrijpen .
138-4|Bladzijde 13Gräuben was [ @alt ene eene ] lieve blonde deern met blauwe [ @alt ogen oogen ] een [ @alt enigszins eenigszins ] zwaarmoedig karakter en een nadenkenden geest ; zij beminde mij daarom niet minder ; ik voor mij aanbad haar , als Bladzijde 14dat woord ten minste in de oud-duitsche taal bestaat !
138-5|De beeltenis mijner aangebedene wierp mij dus plotseling uit de wereld der naakte werkelijkheid in die der hersenschimmen , der herinneringen .
139-1|Ik zag de getrouwe gezellin van mijn arbeid en van [ @alt ~mijn~mijne mijne ] vermaken terug .
139-2|Zij hielp mij iedereen dag om de kostbare [ @alt stenen steenen ] van mijn oom te rangschikken ; zij plaatste er met mij de briefjes op .
139-3|Juffrouw Gräuben was zeer sterk in de delfstofkunde !
139-4|Meer dan één geleerde zou een lesje bij haar hebben kunnen halen .
139-5|Zij onderzocht gaarne grondig de netelige vraagstukken der wetenschap .
139-6|Wat al zoete uren hadden wij doorgebracht met samen te [ @alt studeren studeeren ] , en hoe benijdde ik [ @alt soms somtijds ] het lot dier [ @alt gevoelloze gevoellooze ] [ @alt stenen steenen ] , die zij met [ @alt ~haar~hare hare ] bekoorlijke handen aanraakte .
140-1|Als daarna het uur van uitspanning kwam , gingen wij beiden uit ; wij kozen de lommerrijke lanen van de Alster en begaven ons gezamenlijk naar [ @alt ~de~den den ] ouden geteerden molen , die zich [ @alt zo zoo ] goed voordoet aan het uiteinde van het meer ; onderweg keuvelden wij , elkander bij de hand houdende ; ik vertelde haar allerlei , waarover zij luidkeels lachte ; [ @alt zo zoo ] kwamen wij aan [ @alt ~de~den den ] oever der Elbe en na de zwanen , die [ @alt tussen tusschen ] de [ @alt grote groote ] witte plompen rondzwemmen , [ @alt ~goeden~goede goeden ] nacht [ @alt gewenst gewenscht ] te hebben , keerden wij per stoomboot naar de kaai terug .
141-1|[ @alt Zo Zoo ] ver was ik met mijn gepeins , toen mijn oom , met [ @alt ~zijn~zijne zijne ] vuist op de tafel slaande , mij met geweld tot de werkelijkheid terugvoerde .
142-1|" Laat eens zien , " [ @alt zei zeide ] hij , " de eerste gedachte die zich aan [ @alt ~de~den den ] geest moet voordoen om de letters van een volzin te verwarren is , dunkt mij , om de woorden onder in plaats van naast elkander te schrijven . "
143-1|" Wel mogelijk ! " dacht ik .
144-1|" Wij zullen zien , wat dat geeft Axel ! schrijf [ @alt ~de~den den ] een of anderen volzin op dit stukje papier ; maar zet de letters in plaats van achter elkander in geregelde rijen , elke van vijf of zes , onder elkander . "
145-1|" Ik begreep , wat hij bedoelde , en onmiddelijke schreef ik van boven naar beneden :
146-1|I i n i r n
147-1|k n i e ä !
148-1|b u g v u
149-1|e i , e b
150-1|m n l G e
151-1|" Goed , " [ @alt zei zeide ] de professor , zonder gelezen te hebben .
151-2|" Zet nu deze woorden op een regel naast elkander . "
152-1|Ik gehoorzaamde en kreeg [ @alt de den ] [ @alt volgende volgenden ] volzin :
153-1|linirn , knieä ! bugvu ei , eb , mnlGe .
154-1|" Heel goed ! " riep mijn oom , mij het papier uit de hand rukkende , " dat lijkt al een beetje op het oude document ; de klinkers Bladzijde 15staan in dezelfde wanorde als de medeklinkers ; er zijn zelfs hoofdletters en komma's in het midden der woorden , juist als op het perkament van Saknussemm ! "
155-1|Ik kon niet nalaten deze opmerkingen zeer schrander te vinden .
156-1|" Om nu , " hernam mijn oom , zich rechtstreeks tot mij wendende , " [ @alt ~de~den den ] volzin te lezen , [ @alt ~die~dien dien ] gij geschreven hebt en ik niet ken , zal het genoeg zijn om achtereenvolgens de eerste letter van ieder woord te nemen , dan de tweede , dan de derde , enz. "
157-1|En tot [ @alt ~zijn~zijne zijne ] [ @alt grote groote ] verwondering , maar vooral tot de [ @alt ~mijn~mijne mijne ] , las mijn oom :
158-1|" Ik bemin u innig , lieve Gräuben ! "
159-1|" Ei ! " riep de professor .
160-1|Ja , zonder er om te denken had ik , als een verliefde lomperd [ @alt die dien ] [ @alt gevaarlijke gevaarlijken ] volzin geschreven !
161-1|" [ @alt Zo Zoo ] , [ @alt zo zoo ] ! bemint gij Gräuben ! " hernam mijn oom op [ @alt de den ] [ @alt echte echten ] toon van een voogd .
162-1|" Ja ... .
162-2|Neen ... . " stamelde ik .
163-1|" [ @alt Zo Zoo ] , [ @alt zo zoo ] ! bemint gij Gräuben ! " herhaalde hij werktuiglijk .
163-2|" Welnu , wij zullen deze handelwijze op het voor ons liggende document toepassen . "
164-1|Weder in [ @alt ~zijn~zijne zijne ] alles [ @alt overheersende overheerschende ] beschouwing verdiept , vergat mijn oom reeds [ @alt ~mijn~mijne mijne ] onvoorzichtige woorden .
164-2|Ik zeg onvoorzichtige , want het hoofd van [ @alt ~de~den den ] geleerde kon [ @alt gene geene ] zaken van het hart begrijpen .
164-3|Maar gelukkig won het de [ @alt grote groote ] zaak van het document .
165-1|Op dat [ @alt ogenblik oogenblik ] , dat de voornaamste proef zou gedaan worden , schoten de [ @alt ogen oogen ] van professor Lidenbrock bliksemstralen door zijn bril ; [ @alt ~zijn~zijne zijne ] vingers beefden , toen hij het oude perkament weder opnam ; hij was diep ontroerd .
165-2|Eindelijk hoestte hij hevig , en met [ @alt ene eene ] ernstige stem achtereenvolgens de eerste , daarna de tweede letter van ieder woord noemende , gaf hij mij de volgende reeks op : mmessunkaSenrA . icefdoK.segnittamurtnecertserrette , rotaivsadua , ednecsedsadnelacartniiiluJsiratrac Sarbmutabiledmek meretarcsilucoYsleffenSnI .
166-1|Toen ik gereed was , was ik waarlijk aangedaan ; deze letters , één voor één opgenoemd , hadden geen zin opgeleverd ; ik verwachtte dus , dat de professor een sierlijken latijnschen volzin statig van [ @alt ~zijn~zijne zijne ] lippen zou laten vloeien .
167-1|Maar wie had [ @mwu zoo iets ] kunnen denken !
167-2|Een hevige vuistslag deed de tafel dreunen .
167-3|De inkt spatte uit [ @alt ~de~den den ] koker , de pen viel uit [ @alt ~mijn~mijne mijne ] hand .
168-1|" Dat is het niet , " riep mijn oom , " dat heeft geen gezonden zin ! "
169-1|Vervolgens het vertrek met bliksemsnelheid doorvliegende en de trap als [ @alt ene eene ] lawine afstormende , snelde hij de Koningstraat in en was in een [ @alt ogenblik oogenblik ] uit het oog verdwenen .
169-2|Bladzijde 16
170-1|Hoofdstuk IV
171-1|Vrees voor het raadselachtige werk .
171-2|- Waar is oom ?
171-3|- Moeilijkheden der ontcijfering .
171-4|- De sleutel gevonden .
172-1|" Is hij weg ? " riep Martha , die kwam [ @alt aanlopen aanloopen ] op het geraas van de huisdeur , die [ @alt zo zoo ] hard was toegetrokken , dat het [ @alt gehele geheele ] huis er van dreunde .
173-1|" Ja ! " antwoordde ik , " voor goed weg ! "
174-1|" Hoe is het met zijn middagmaal , " vroeg de oude meid .
175-1|" Hij zal niet eten ! "
176-1|" En met zijn avondeten ? "
177-1|" Hij zal niet eten ! "
178-1|" Wat ! " [ @alt zei zeide ] Martha , [ @alt ~haar~hare hare ] handen ineenslaande .
179-1|" Neen , goede Martha ! hij en niemand in huis zal meer eten !
179-2|Oom Lidenbrock wil ons allen honger laten lijden , tot hij een oude vod ontcijferd heeft , die volstrekt onmogelijk te ontcijferen is ! "
180-1|" Dan zit er niet anders op dan van honger te sterven ! "
181-1|Ik durfde er niet voor uitkomen , dat dit ons onvermijdelijk lot zou zijn met zulk een onhandelbaar [ @alt mens mensch ] als mijn oom .
182-1|De oude meid ging , hevig ontroerd , zuchtende naar haar keuken terug .
183-1|Toen ik alleen was , kwam ik op de gedachte om alles aan Gräuben te gaan vertellen ; maar hoe zou ik het huis uitkomen ?
183-2|De professor kon ieder [ @alt ogenblik oogenblik ] [ @alt terugkeren terugkeeren ] .
183-3|En als hij mij dan eens riep !
183-4|En als hij weer eens wilde beginnen met dat raadselachtige werk , dat men te vergeefs [ @alt ~de~den den ] ouden OEdipus zou voorgelegd hebben !
183-5|Antwoordde ik dan niet op zijn roep , wat zou er dan van komen ?
184-1|Blijven was dus het verstandigste .
184-2|Juist had een delfstofkundige uit Besançon ons [ @alt ene eene ] verzameling kiezelachtige adelaarsteenen gezonden , die gerangschikt moesten worden .
184-3|Ik ging aan het werk .
184-4|Ik schiftte en schikte in [ @alt ~hun~hunne hunne ] hokjes al die holle [ @alt stenen steenen ] , waarin kleine kristallen zweefden .
185-1|Maar die bezigheid gaf mij [ @alt gene geene ] afleiding ; de zaak van het oude document hield mij te zeer bezig .
185-2|Mijn hoofd gloeide en ik werd door [ @alt ene eene ] [ @alt naamloze naamlooze ] onrust bevangen .
185-3|Ik had een voorgevoel van een naderend onheil .
186-1|De oude meid ging zuchtende naar [ @alt ~haar~hare hare ] keuken terug .
187-1|Na verloop van een uur waren de adelaarsteenen ordelijk geschikt .
187-2|Ik liet mij toen met slingerende armen en achteroverhangend hoofd in [ @alt ~de~den den ] [ @alt ~groten~grote grooten ] Utrechtschen armstoel neervallen .
187-3|Ik stak mijn [ @alt grote groote ] duitsche pijp aan , welker gebeeldhouwde kop [ @alt ene eene ] achteloos uitgestrekte stroomnimf voorstelde ; daarna vermaakte ik mij met [ @alt ~de~den den ] voortgang der verbranding te volgen , die van [ @alt ~mijn~mijne mijne ] stroomnimf Bladzijde 17langzamerhand een volslagen negerin maakte .
187-4|Van tijd tot tijd luisterde ik , of er geen schreden op de trap klonken .
187-5|Maar neen .
187-6|Waar mocht mijn oom op dat [ @alt ogenblik oogenblik ] toch zijn ?
187-7|Ik verbeeldde Bladzijde 18mij hem te zien [ @alt lopen loopen ] onder de [ @alt schone schoone ] [ @alt bomen boomen ] op [ @alt ~de~den den ] weg naar Altona , met zijn stok zwaaiende en blind pareerende , met geweld op het gras slaande , de toppen der distelplanten afhakkende en de schuwe ooievaars in [ @alt ~hun~hunne hunne ] rust storende .
188-1|Zou hij zegepralend of moedeloos huiswaarts [ @alt keren keeren ] ?
188-2|Wie van beiden zou het winnen , het geheim of hij ?
188-3|[ @alt Zo Zoo ] ondervroeg ik mij [ @alt zelf zelven ] , en [ @alt werktuiglijk werktuigelijk ] nam ik het blad papier in handen , waarop de onverstaanbare reeks der door mij geschreven letters stond .
188-4|Ik herhaalde bij mij [ @alt zelf zelven ] : " Wat [ @alt betekent beteekent ] dat ? "
189-1|Ik beproefde die letters [ @alt zo zoo ] te schikken , dat zij woorden vormden .
189-2|Het was onmogelijk .
189-3|Of men ze bij tweeën , drieën , vijven of zessen [ @alt verenigde vereenigde ] , het gaf niets verstaanbaars ; wel vormden de veertiende , vijftiende en zestiende letter het woord " ice , " de vier- , vijf- en zes en tachtigste het woord " sir , " en eindelijk merkte ik in het midden van het document op [ @alt de den ] [ @alt tweede tweeden ] regel ook de [ @alt latijnse latijnsche ] woorden " rota , mutabile , ira , nec , atra " op .
190-1|" Drommels ! " dacht ik , " uit die laatste woorden zou men bijna opmaken , dat oom gelijk heeft wat de taal van het document betreft .
190-2|En zelfs bemerk ik nog op [ @alt de den ] [ @alt derde derden ] regel het woord " luco , " dat " heilig [ @alt bos bosch ] " [ @alt betekent beteekent ] .
190-3|Wel is waar leest men op [ @alt ~de~den den ] derden het woord " tabiled , " dat zuiver hebreeuwsch is , en de zelfstandige naamwoorden " mer , arc , mère , " die zuiver fransch zijn . "
191-1|Dat was genoeg om iemand razend te maken !
191-2|Vier verschillende talen in [ @alt die dien ] [ @alt dwaze dwazen ] volzin !
191-3|Welk verband kon er bestaan [ @alt tussen tusschen ] de woorden " ijs , mijnheer , toorn , wreed , heilig [ @alt bos bosch ] , veranderend , moeder , boog of zee ? "
191-4|Het eerste en laatste alleen konden gemakkelijk overeenkomen ; het was toch niet vreemd , dat in een document op IJsland geschreven , van [ @alt ene eene ] " IJszee " gesproken werd .
191-5|De verklaring van het raadsel was daarmede echter nog niets gevorderd .
192-1|Ik worstelde dus hevig tegen [ @alt ene eene ] onoplosbare zwarigheid ; [ @alt ~mijn~mijne mijne ] hersenen gloeiden ; ik pinkoogde op het blad papier ; de honderd twee en dertig letters schenen om mij heen te dansen , gelijk die zilveren tranen die na een [ @alt geweldige geweldigen ] aandrang van het bloed om ons hoofd in de lucht opstijgen .
193-1|Ik was ten prooi aan [ @alt ene eene ] soort van zinsbegoocheling , ik stikte , ik snakte naar lucht .
193-2|[ @alt Werktuiglijk Werktuigelijk ] bewaaide ik mij met het blad papier , welks beide zijden zich beurtelings aan mijn oog vertoonden .
194-1|Hoe groot was [ @alt ~mijn~mijne mijne ] verbazing , toen ik bij [ @alt ene eene ] van die snelle omdraaiingen , op het [ @alt ogenblik oogenblik ] dat de keerzijde naar mij gewend was , volkomen leesbare woorden , [ @alt latijnse latijnsche ] woorden meende te bespeuren , o.a. " craterem , terrestre . "
195-1|Terstond ging er een licht voor mij op ; deze eenvoudige kenteekenen deden mij de waarheid inzien ; ik had de wet van het geheimschrift ontdekt .
195-2|Om dit document te lezen was het niet eens [ @alt nodig noodig ] om door het omgekeerde blad heen te lezen !
195-3|Neen .
195-4|[ @alt Zo Zoo ] als het Bladzijde 19was , [ @alt zo zoo ] als het mij was voorgezegd , kon het vloeiend gespeld worden .
195-5|Alle vernuftige verbindingen van [ @alt ~de~den den ] professor werden bewaarheid ; hij had gelijk gehad ten aanzien van de schikking der letters , gelijk ook ten aanzien van de taal van het document !
195-6|Er was slechts [ @alt ene eene ] " beuzeling " [ @alt nodig noodig ] geweest om [ @alt ~die~dien dien ] latijnschen volzin van het [ @alt ene eene ] einde tot het andere te kunnen lezen , en het toeval had mij die " beuzeling " aan de hand gedaan !
196-1|Men kan nagaan hoe ontroerd ik was !
196-2|[ @alt ~Mijn~Mijne Mijne ] [ @alt ogen oogen ] werden dof .
196-3|Ik kon ze niet gebruiken .
196-4|Ik had het blad papier op de tafel gelegd .
196-5|Ik behoefde er slechts een blik op te slaan om bezitter van het geheim te worden .
197-1|Eindelijk gelukte het mij [ @alt ~mijn~mijne mijne ] ontroering meester te worden .
197-2|Ik maakte het mij tot een plicht om tweemaal de kamer rond te gaan , ten einde [ @alt ~mijn~mijne mijne ] zenuwen tot bedaren te brengen , vervolgens plaatste ik mij weder in [ @alt de den ] [ @alt grote grooten ] armstoel .
198-1|" Ik zal het lezen ! " riep ik uit na ruim adem gehaald te hebben .
199-1|Ik bukte over de tafel , legde mijn vinger achtereenvolgens op iedere letter , en zonder te stuiten , zonder één [ @alt ogenblik oogenblik ] te haperen , las ik luide [ @alt de den ] [ @alt gehele geheelen ] volzin .
200-1|Maar welk [ @alt ene eene ] ontsteltenis , welk een schrik greep mij aan !
200-2|Ik stond eerst als door [ @alt ~de~den den ] bliksem getroffen .
200-3|Hoe ! wat ik daar vernam was reeds volbracht ! iemand was vermetel genoeg geweest om door te dringen !
200-4|... .
201-1|" Ach ! " riep ik uit , terwijl ik opsprong , " neen ! neen ! oom mag het niet weten !
201-2|Dat ontbreekt er nog maar aan , dat hij de lucht kreeg van zulk [ @alt ene eene ] reis !
201-3|Hij zou er wellicht ook smaak in krijgen !
201-4|Niets zou hem kunnen tegenhouden !
201-5|Hij , zulk een vastberaden geoloog , zou vertrekken in ieder geval , in weerwil , in spijt van alles !
201-6|En hij zou mij medenemen en wij zouden niet terugkomen !
201-7|Nooit , nooit ! "
202-1|Ik verkeerde in een onbeschrijfelijken toestand van opgewondenheid .
203-1|" Neen , neen ! het mag niet gebeuren , " [ @alt zei zeide ] ik vastbesloten , " en daar ik kan beletten , dat zulk een denkbeeld bij mijn dwingeland opkomt , zal ik het doen .
203-2|Door dit document telkens te wenden en te [ @alt keren keeren ] , zou hij bij toeval [ @alt ~de~den den ] sleutel kunnen ontdekken .
203-3|Ik zal het vernietigen ! "
204-1|Er lag nog [ @alt enig eenig ] vuur in [ @alt ~de~den den ] haard .
204-2|Ik greep niet alleen het blad papier maar ook het perkament van Saknussemm ; met koortsachtig bevende hand wilde ik alles op de kolen werpen en dit gevaarlijke geheim vernietigen , toen de kamerdeur geopend werd en mijn oom verscheen .
204-3|Bladzijde 20
205-1|Hoofdstuk V
206-1|De professor aan het werk .
206-2|- De neef valt in slaap .
206-3|- De huissleutel verdwenen .
206-4|- De vreugde van mijn oom .
206-5|- De lezing van het document .
206-6|- De valiezen moeten gepakt worden .
207-1|Ik had maar even [ @alt ~de~den den ] tijd om het onheil-aanbrengend document weder op de tafel te leggen .
208-1|Professor Lidenbrock scheen in diep gepeins verzonken .
208-2|De gedachte , die hem [ @alt beheerste beheerschte ] , liet hem geen [ @alt ogenblik oogenblik ] rust ; hij had klaarblijkelijk onder de wandeling de zaak onderzocht , ontleed , alle hulpbronnen zijner verbeeldingskracht aangewend , en kwam nu terug om de [ @alt ene eene ] of andere nieuwe verbinding toe te passen .
209-1|Hij ging inderdaad in zijn armstoel zitten en met de pen in de hand begon hij formules neer te schrijven , die op een algebraïsch vraagstuk geleken .
210-1|Ik volgde met [ @alt ~mijn~mijne mijne ] [ @alt ogen oogen ] [ @alt ~zijn~zijne zijne ] sidderende hand ; geen enkele zijner bewegingen ontging mij .
210-2|Welke onverwachte uitkomst zou hij misschien verkrijgen ?
210-3|Ik beefde , maar zonder reden , omdat de ware , de " [ @alt enige eenige ] " verbinding reeds gevonden zijnde , iedere andere nasporing noodwendig vergeefs moest zijn .
211-1|Drie uur lang werkte mijn oom zonder te spreken , zonder het hoofd op te heffen , duizendmaal uitwisschende , weder opnemende , doorschrappende , weder beginnende .
212-1|Ik wist wel dat , als het hem gelukte om die letters te schikken naar al de betrekkelijke plaatsen , die zij konden innemen , de zin klaar zou zijn .
212-2|Maar ik wist ook , dat twintig letters reeds twee trillioenen , vier honderd twee en dertig duizend negen honderd twee billioenen , acht duizend één honderd zes en zeventig [ @alt miljoenen millioenen ] , zes honderd veertig duizend verbindingen moesten opleveren .
212-3|In [ @alt ~de~den den ] zin waren honderd twee en dertig letters , en die honderd tweeën dertig letters gaven een getal verschillende volzinnen , dat uit minstens honderd drie en dertig cijfers bestaat , een getal bijna onmogelijk uit te spreken en dat alle bevatting te boven gaat .
213-1|Ik was dus gerust over dit heldhaftige middel om het vraagstuk op te lossen .
214-1|[ @alt Intussen Intusschen ] verliep de tijd ; het werd nacht ; het gerucht op straat hield op ; steeds over zijn werk gebukt zag mijn oom niets , zelfs de goede Martha niet , die de deur half opende ; hij hoorde niets , zelfs de stem dezer waardige dienstbode niet die vroeg :
215-1|" Zal Mijnheer [ @alt ~dezen~deze dezen ] avond eten ? "
216-1|Martha moest zonder antwoord heengaan ; ik voor mij , na mij [ @alt ~enigen~enige eenigen ] tijd er tegen verzet te hebben , werd door [ @alt ~de~den den ] slaap overmand Bladzijde 21en sliep in op het einde van de canapé , terwijl oom Lidenbrock nog maar altijd berekende en doorschrapte .
217-1|Tot een besluit gekomen sloeg ik de armen over elkander en wachtte .
218-1|Toen ik [ @alt de den ] [ @alt volgende volgenden ] morgen ontwaakte , was de onvermoeide Bladzijde 22werkezel nog aan [ @alt ~de~den den ] arbeid .
218-2|[ @alt ~Zijn~Zijne Zijne ] [ @alt rode roode ] [ @alt ogen oogen ] , zijn bleek gezicht , [ @alt ~zijn~zijne zijne ] haren , waarin hij met [ @alt ene eene ] koortsige hand had gewoeld , de purperroode rand onder [ @alt ~zijn~zijne zijne ] [ @alt ogen oogen ] bewezen genoegzaam [ @alt ~zijn~zijne zijne ] verschrikkelijke worsteling met het onmogelijke , en onder welk [ @alt ene eene ] vermoeinis van zijn geest en inspanning van [ @alt ~zijn~zijne zijne ] hersenen de uren voor hem moesten [ @alt verlopen verloopen ] zijn .
219-1|Ik kreeg waarlijk medelijden met hem .
219-2|In weerwil van de verwijten , die ik het recht meende te hebben om hem te doen , gevoelde ik zekere aandoening .
219-3|De arme man werd [ @alt zo zoo ] door [ @alt ~zijn~zijne zijne ] gedachten [ @alt overheerst overheerscht ] , dat hij vergat om boos te worden ; al [ @alt ~zijn~zijne zijne ] levenskrachten trokken zich op één punt samen , en daar zij niet door [ @alt ~haar~hare hare ] gewone veiligheidsklep ontsnapten , stond het te [ @alt vrezen vreezen ] dat [ @alt ~haar~hare hare ] spanning hem binnen kort zou doen springen .
220-1|Ik kon door een gebaar , door een woord slechts die ijzeren schroef losmaken , die op [ @alt ~zijn~zijne zijne ] hersenpan drukte .
220-2|En ik deed het niet !
221-1|Mijn hart was toch goed genoeg .
221-2|Waarom bleef ik dan stom in zulk een geval ?
221-3|In het belang van mijn oom .
222-1|" Neen , neen ! " herhaalde ik , " neen , ik zal niet spreken !
222-2|Hij zou er heen willen gaan , ik ken hem ; niets zou hem kunnen tegenhouden .
222-3|Hij heeft [ @alt ene eene ] vulkanische verbeeldingskracht , en om te doen wat andere geologen niet gedaan hebben , zou hij zijn leven wagen .
222-4|Ik zal zwijgen , ik zal het geheim bewaren , waarvan het toeval mij bezitter heeft gemaakt ; het te ontdekken zou [ @alt zo zoo ] goed zijn als professor Lidenbrock te [ @alt doden dooden ] .
222-5|Laat hij het raden , als hij kan , ik wil mij later niet te verwijten hebben , dat ik hem in het verderf heb gestort ! "
223-1|Nadat ik hieromtrent tot een besluit was gekomen , sloeg ik de armen over elkaar en wachtte .
223-2|Maar ik had niet op een voorval gerekend , dat [ @alt enige eenige ] uren later plaats had .
224-1|Toen de goede Martha het huis wilde verlaten om naar de markt te gaan , vond zij de deur gesloten ; de huissleutel stak niet in het slot .
